Name,Desc,Runs,Balls,Minutes,Fours,Sixes,Strike_Rate,Batting_Position,Match_Id
PWH de Silva,c Iftikhar Ahmed b Shadab Khan,30,23,-,1,2,130.43,8,1198487
Isuru Udana,c †Sarfaraz Ahmed b Usman Shinwari,1,4,-,0,0,25,9,1198487
Lahiru Kumara,lbw b Wahab Riaz,1,8,-,0,0,12.5,10,1198487
Nuwan Pradeep,not out,0,0,-,0,0,0,11,1198487
Danushka Gunathilaka,b Mohammad Amir,133,134,-,16,1,99.25,1,1198488
Avishka Fernando,c †Sarfaraz Ahmed b Mohammad Amir,4,6,-,1,0,66.67,2,1198488
Lahiru Thirimanne,c & b Mohammad Nawaz,36,53,-,4,0,67.92,3,1198488
Angelo Perera,c Haris Sohail b Usman Shinwari,13,25,-,0,0,52,4,1198488
Minod Bhanuka,run out (Mohammad Nawaz/†Sarfaraz Ahmed),36,39,-,0,2,92.31,5,1198488
Shehan Jayasuriya,c Iftikhar Ahmed b Shadab Khan,3,6,-,0,0,50,6,1198488
Dasun Shanaka,c Haris Sohail b Wahab Riaz,43,24,-,5,2,179.17,7,1198488
PWH de Silva,b Mohammad Amir,10,12,-,0,0,83.33,8,1198488
Lakshan Sandakan,run out (Mohammad Amir),0,1,-,0,0,0,9,1198488
Nuwan Pradeep,not out,1,2,-,0,0,50,10,1198488
