Name,Desc,Runs,Balls,Minutes,Fours,Sixes,Strike_Rate,Batting_Position,Match_Id
Niroshan Dickwella,c Root b Ali,95,97,-,12,0,97.94,1,1140383
Sadeera Samarawickrama,b Ali,54,48,-,8,0,112.5,2,1140383
Dinesh Chandimal,c Roy b TK Curran,80,73,-,6,2,109.59,3,1140383
Kusal Mendis,c Stokes b Plunkett,56,33,-,1,6,169.7,4,1140383
Dasun Shanaka,c Roy b Rashid,18,11,-,3,0,163.64,5,1140383
Thisara Perera,c Hales b TK Curran,11,12,-,0,1,91.67,6,1140383
Dhananjaya de Silva,not out,19,15,-,1,1,126.67,7,1140383
Akila Dananjaya,not out,18,11,-,1,1,163.64,8,1140383
Niroshan Dickwella,b Neesham,76,50,-,8,3,152,1,1153840
Danushka Gunathilaka,c †Seifert b Neesham,43,62,-,3,0,69.35,2,1153840
Kusal Perera,c †Seifert b Boult,102,86,-,13,1,118.6,3,1153840
Kusal Mendis,c †Seifert b Sodhi,18,20,-,2,0,90,4,1153840
Dinesh Chandimal,c Taylor b Neesham,10,18,-,0,0,55.56,5,1153840
Asela Gunaratne,c Ferguson b Sodhi,11,23,-,0,0,47.83,6,1153840
Thisara Perera,c Munro b Ferguson,4,5,-,0,0,80,7,1153840
Seekkuge Prasanna,c †Seifert b Ferguson,16,14,-,0,1,114.29,8,1153840
Lasith Malinga,b Henry,11,7,-,0,1,157.14,9,1153840
Lakshan Sandakan,b Boult,6,7,-,1,0,85.71,10,1153840
Nuwan Pradeep,not out,6,3,-,0,1,200,11,1153840
Niroshan Dickwella,b Southee,9,10,-,1,0,90,1,1153841
Danushka Gunathilaka,c †Seifert b Neesham,71,73,-,9,0,97.26,2,1153841
Kusal Perera,c Boult b Henry,4,23,-,0,0,17.39,3,1153841
Kusal Mendis,c †Seifert b Sodhi,20,30,-,2,0,66.67,4,1153841
Dinesh Chandimal,b Sodhi,3,12,-,0,0,25,5,1153841
Asela Gunaratne,run out (Neesham/†Seifert),6,5,-,1,0,120,6,1153841
Thisara Perera,c Boult b Henry,140,74,-,8,13,189.19,7,1153841
Seekkuge Prasanna,b Sodhi,0,4,-,0,0,0,8,1153841
Lasith Malinga,b Boult,17,22,-,2,0,77.27,9,1153841
Lakshan Sandakan,c Taylor b Neesham,6,20,-,0,0,30,10,1153841
Nuwan Pradeep,not out,3,5,-,0,0,60,11,1153841
Niroshan Dickwella,c Ferguson b Neesham,46,37,-,3,2,124.32,1,1153842
Dhananjaya de Silva,lbw b Southee,36,29,-,5,1,124.14,2,1153842
Kusal Perera,c †Seifert b Ferguson,43,49,-,5,1,87.76,3,1153842
Kusal Mendis,run out (Williamson/†Seifert),0,0,-,0,0,0,4,1153842
Dasun Shanaka,lbw b Sodhi,2,7,-,0,0,28.57,5,1153842
Thisara Perera,c Guptill b Ferguson,80,63,-,7,3,126.98,6,1153842
Danushka Gunathilaka,b Ferguson,31,52,-,1,0,59.62,7,1153842
Dushmantha Chameera,c Southee b Ferguson,1,8,-,0,0,12.5,8,1153842
Lasith Malinga,st †Seifert b Sodhi,0,1,-,0,0,0,9,1153842
Lakshan Sandakan,not out,0,1,-,0,0,0,10,1153842
Nuwan Pradeep,b Sodhi,0,3,-,0,0,0,11,1153842
Niroshan Dickwella,c & b Ngidi,8,7,7,2,0,114.29,1,1144167
