,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_humidity,bowling_cloud,bowling_pressure,bowling_venue,bowling_opposition,season
991,1.887431753539747,-0.2624030035671957,0.6961642138076032,-0.936990036749918,0.9083162177370637,-0.23894987833256212,-0.45084087270825757,2.3969105585556094,-0.4742756667808926,0.4719721942239301
992,0.19872216462822465,-0.34029561584274104,0.6961642138076032,-0.936990036749918,0.9083162177370637,-0.23894987833256212,-0.45084087270825757,-0.35213019972009263,-0.9077333840279553,0.4719721942239301
993,-0.3631970221598578,-0.5283966221025268,0.6961642138076032,-0.936990036749918,0.9083162177370637,-0.23894987833256212,-0.45084087270825757,-0.0712536480719048,0.047198611023037254,0.4719721942239301
994,-0.3822193634167349,1.454746267950527,0.6961642138076032,-0.936990036749918,0.9083162177370637,-0.23894987833256212,-0.45084087270825757,1.113679197518574,-0.624361955462663,0.4719721942239301
995,-1.119046241630846,-0.04645875042254113,0.6961642138076032,-0.936990036749918,0.9083162177370637,-0.23894987833256212,-0.45084087270825757,0.06087719797398214,-0.5418123678041619,0.4719721942239301
996,-1.0433156531065548,-0.4439207899717144,0.6961642138076032,-0.936990036749918,0.9083162177370637,-0.23894987833256212,-0.45084087270825757,0.1703538253899399,-1.196282257331887,0.4719721942239301
997,0.06537781895628816,-0.3100961506623686,0.6961642138076032,-0.936990036749918,0.9083162177370637,-0.23894987833256212,-0.45084087270825757,1.430791903607853,-0.46072319424545777,0.4719721942239301
998,1.887431753539747,-0.2624030035671957,0.11921390414152816,-1.3148138795162387,1.2183059414530724,1.1920993005907303,-0.651722199604029,1.6846304036144157,-0.4742756667808926,0.4719721942239301
999,0.19872216462822465,-0.34029561584274104,0.11921390414152816,-1.3148138795162387,1.2183059414530724,1.1920993005907303,-0.651722199604029,-0.08451110077495017,-0.9077333840279553,0.4719721942239301
1000,-0.9549383310474314,0.28789335616680645,0.11921390414152816,-1.3148138795162387,1.2183059414530724,1.1920993005907303,-0.651722199604029,0.4443036559954775,-1.416491840522719,0.4719721942239301
1001,-1.0433156531065548,-0.4439207899717144,0.11921390414152816,-1.3148138795162387,1.2183059414530724,1.1920993005907303,-0.651722199604029,0.6437084590894356,-1.196282257331887,0.4719721942239301
1002,-0.3822193634167349,1.454746267950527,0.11921390414152816,-1.3148138795162387,1.2183059414530724,1.1920993005907303,-0.651722199604029,-0.09685470309187152,-0.624361955462663,0.4719721942239301
