batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,strike_rate,player_name,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,economy,deliveries,wickets_taken,runs_conceded
17.6814,2.5703,29,30,0,77,6,1009,3,2,1,0,17.6814,16.8161,21,0,0,0,0,2,0.0,Dushmantha Chameera,79.9514,13.4264,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,79.9514,28.0594,1.0,1.0,0.0,20.0
29.9675,29.9675,29,30,0,77,6,1009,3,2,1,0,29.9675,22.0457,21,1,0,0,0,0,0.0,Milinda Siriwardana,63.9646,63.9646,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,63.9646,31.699,1.0,1.0,0.0,20.0
26.8548,26.8548,29,30,0,77,6,1009,3,2,1,0,26.8548,24.5838,21,1,0,0,0,2,0.0,Sachith Pathirana,70.8099,70.8099,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,70.8099,31.1445,1.0,1.0,0.0,20.0
36.6786,32.812,29,30,0,77,6,1009,3,2,1,0,49.3362,35.555,21,3,3,1,0,0,100.0,Danushka Gunathilaka,39.0088,5.8954,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,4.1979,6.5329,1.0,0.0,0.0,10.0
0.0,0.0,29,30,0,77,6,1009,3,2,1,0,35.2388,32.09,21,1,1,0,0,0,100.0,Shehan Jayasuriya,50.2655,50.2655,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,36.5161,38.4984,1.0,1.0,0.0,20.0
0.0,0.0,29,30,0,77,6,1009,3,2,1,0,0.0,10.4875,21,0,0,0,0,1,0.0,Jeffrey Vandersay,48.4599,48.4599,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,48.4599,28.4438,1.0,1.0,0.0,20.0
42.0114,25.1647,29,30,0,77,6,1009,3,2,1,0,42.0114,14.3522,21,1,0,0,0,0,0.0,Kusal Mendis,0.0,0.0,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.1031,27.9185,29,30,0,77,6,1009,3,2,1,0,46.3981,44.1677,21,2,2,1,1,2,100.0,Dasun Shanaka,30.0292,13.3592,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,11.1901,11.8072,1.0,0.0,0.0,10.0
31.1971,26.0701,29,30,0,77,6,1009,3,2,1,0,31.1971,3.19997,21,1,0,0,0,2,0.0,Dhananjaya de Silva,92.2034,28.0515,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,92.2034,2.2347,1.0,1.0,0.0,20.0
28.35,22.4449,29,30,0,77,6,1009,3,2,1,0,6.53039,6.36638,21,0,0,0,0,2,0.0,Avishka Fernando,0.0,0.0,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.7883,16.8071,29,30,0,77,6,1009,3,2,1,0,29.7883,21.0294,21,1,0,0,0,2,0.0,Asela Gunaratne,73.8808,19.0921,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,73.8808,10.4887,1.0,1.0,0.0,20.0
9.12361,8.62515,29,30,0,77,6,1009,3,2,1,0,0.2566,0.2238,21,0,0,0,0,2,0.0,Lakshan Sandakan,87.0907,116.231,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,22.9365,24.1757,1.0,1.0,0.0,20.0
0.0,0.0,29,30,0,77,6,1009,3,2,1,0,2.6031,2.5703,21,0,0,0,0,1,0.0,Lahiru Kumara,52.6447,52.6447,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,22.9795,24.2451,1.0,1.0,0.0,20.0
0.0,0.0,29,30,0,77,6,1009,3,2,1,0,26.1601,25.1761,21,1,0,0,0,2,0.0,PWH de Silva,39.3799,39.3799,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,19.3615,20.4349,1.0,1.0,0.0,20.0
22.8727,22.4626,29,30,0,77,6,1009,3,2,1,0,22.8727,19.2596,21,0,0,0,0,2,0.0,Akila Dananjaya,140.869,35.3934,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,140.869,44.9196,1.0,1.0,0.0,20.0
22.7797,36.675,29,30,0,77,6,1009,3,2,1,0,4.4906,4.4578,21,0,0,0,0,2,0.0,Isuru Udana,62.0616,22.1548,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,21.2549,22.4052,1.0,1.0,0.0,20.0
