,fielding_consistency
0,0.15454632098677967
1,0.3791999487406925
2,0.6198977368443199
3,0.5743442729942492
4,-2.9905966047106887
5,0.44940347027091715
6,-0.07842620980560341
7,0.5743442729942492
8,0.06718211336821796
9,0.15454632098677967
10,-2.9905966047106887
11,0.5180973231968068
12,-2.9905966047106887
13,0.12391262889048625
14,0.06718211336821796
15,-0.07842620980560341
16,-2.9905966047106887
17,0.6198977368443199
18,0.5743442729942492
19,-0.07842620980560341
20,-0.07842620980560341
21,0.5743442729942492
22,-2.9905966047106887
23,0.5743442729942492
24,0.06718211336821796
25,0.3791999487406925
26,-0.042025111869312265
27,-2.9905966047106887
28,0.6198977368443199
29,0.3922601547396514
30,-0.042025111869312265
31,-0.07842620980560341
32,0.5180973231968068
33,-2.9905966047106887
34,0.5180973231968068
35,0.3791999487406925
36,-0.042025111869312265
37,0.5040070828896825
38,-0.07842620980560341
39,-2.9905966047106887
40,0.5040070828896825
41,-0.07842620980560341
42,0.3922601547396514
43,0.3922601547396514
44,0.3791999487406925
45,0.5040070828896825
46,-0.0659989638204414
47,-0.07842620980560341
48,-0.07842620980560341
49,-0.11394273629404202
50,-0.13137469095972043
51,0.5743442729942492
52,-0.07842620980560341
53,-2.9905966047106887
54,-0.0659989638204414
55,0.5743442729942492
56,0.12391262889048625
57,0.6198977368443199
58,0.06718211336821796
59,0.5743442729942492
60,0.12391262889048625
61,0.5040070828896825
62,-0.07842620980560341
63,0.6198977368443199
64,0.12391262889048625
65,0.5743442729942492
66,-2.9905966047106887
67,-0.13137469095972043
68,0.5743442729942492
69,0.5040070828896825
70,0.3791999487406925
71,0.12391262889048625
72,0.4783112651867342
73,-0.0659989638204414
74,-0.07842620980560341
75,0.6198977368443199
76,0.5743442729942492
77,-0.07842620980560341
78,0.5743442729942492
79,-2.9905966047106887
80,-0.07842620980560341
81,0.5040070828896825
82,0.5743442729942492
83,-0.0659989638204414
84,-0.07842620980560341
85,0.5180973231968068
86,-2.9905966047106887
87,-0.07842620980560341
88,0.12391262889048625
89,0.5743442729942492
90,-2.9905966047106887
91,-2.9905966047106887
92,-0.0659989638204414
93,0.5743442729942492
94,0.12391262889048625
95,0.06718211336821796
96,0.5180973231968068
97,-0.042025111869312265
98,-0.0659989638204414
99,-2.9905966047106887
100,0.5743442729942492
101,0.12391262889048625
102,0.5040070828896825
103,-2.9905966047106887
104,0.3791999487406925
105,0.4783112651867342
106,0.12391262889048625
107,0.5743442729942492
108,0.5743442729942492
109,0.12391262889048625
110,0.5180973231968068
111,0.9408320524111465
112,0.3791999487406925
113,-0.0659989638204414
114,-0.07842620980560341
115,0.5040070828896825
116,-2.9905966047106887
117,0.5743442729942492
118,0.12391262889048625
119,-0.07842620980560341
120,0.5743442729942492
121,0.12391262889048625
122,0.4783112651867342
123,-0.07842620980560341
124,0.5040070828896825
125,0.5743442729942492
126,0.3791999487406925
127,-0.07842620980560341
128,-2.9905966047106887
129,0.12391262889048625
130,0.5743442729942492
131,0.5180973231968068
132,0.3791999487406925
133,-0.07842620980560341
134,0.12391262889048625
135,0.5743442729942492
136,-2.9905966047106887
137,-0.07842620980560341
138,0.3791999487406925
139,0.12391262889048625
140,-0.0659989638204414
141,0.5743442729942492
142,-0.07842620980560341
143,0.12391262889048625
144,0.5743442729942492
145,-0.07842620980560341
146,0.5743442729942492
147,0.15454632098677967
148,-0.07842620980560341
149,-2.9905966047106887
150,-0.0659989638204414
151,0.6198977368443199
152,-0.11394273629404202
153,0.5743442729942492
154,0.15454632098677967
155,0.3922601547396514
156,-2.9905966047106887
157,0.12391262889048625
158,0.5743442729942492
159,0.15454632098677967
160,-0.07842620980560341
161,0.06718211336821796
162,0.6198977368443199
163,0.5743442729942492
164,0.6198977368443199
165,-0.0659989638204414
166,-0.07842620980560341
167,0.12391262889048625
168,0.3922601547396514
169,-0.042025111869312265
170,0.15454632098677967
171,0.12391262889048625
172,0.5743442729942492
173,0.12391262889048625
174,-0.042025111869312265
175,-0.07842620980560341
176,0.06718211336821796
177,0.6198977368443199
178,0.3922601547396514
179,0.12391262889048625
180,-2.9905966047106887
181,0.9408320524111465
182,0.5743442729942492
183,-0.9092510964865037
184,-0.07842620980560341
185,0.06718211336821796
186,0.5743442729942492
187,0.12391262889048625
188,-2.9905966047106887
189,0.5743442729942492
190,0.3922601547396514
191,-0.0659989638204414
192,0.5180973231968068
193,-0.042025111869312265
194,-0.07842620980560341
195,0.12391262889048625
196,0.5180973231968068
197,-0.9092510964865037
198,-0.11394273629404202
199,-0.0659989638204414
200,0.3922601547396514
201,0.5743442729942492
202,-0.042025111869312265
203,-2.9905966047106887
204,0.5743442729942492
205,-0.042025111869312265
206,0.5180973231968068
207,0.3922601547396514
208,-0.07842620980560341
209,0.5743442729942492
210,0.12391262889048625
211,-0.0659989638204414
212,0.9408320524111465
213,-0.07842620980560341
214,0.5743442729942492
215,0.3922601547396514
216,0.6198977368443199
217,-0.11394273629404202
218,-0.0659989638204414
219,0.5743442729942492
220,0.6198977368443199
221,-0.07842620980560341
222,-0.07842620980560341
223,0.5743442729942492
224,0.3922601547396514
225,0.44940347027091715
226,-0.0659989638204414
227,-0.07842620980560341
228,0.5180973231968068
229,0.6198977368443199
230,-0.11394273629404202
231,-0.07842620980560341
232,0.5158131631470193
233,0.5743442729942492
234,0.12391262889048625
235,0.6198977368443199
236,0.44940347027091715
237,-0.07842620980560341
238,0.6198977368443199
239,0.5180973231968068
240,0.5743442729942492
241,0.12391262889048625
242,0.5158131631470193
243,-0.0659989638204414
244,-0.13137469095972043
245,0.5180973231968068
246,0.6198977368443199
247,-0.11394273629404202
248,-0.0659989638204414
249,0.5743442729942492
