,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,bowling_contribution,economy,fielding_consistency
19,0.0,4.4578,22,11,0,51,0,1010,3,2,1,1,4.4906,4.4578,0,0,0,0,10,0.0,0.0,283,5,288,280.0,18,0.0,20.1244,28.0,9.0,0.0,36.0,0.0,1010.0,3.0,0.0,19.6409,20.5927,66.0,60.0,0.2332155477031802,6.6,0.0
20,23.6093,0.2238,22,11,0,51,0,1010,3,2,1,1,5.44928,7.6117,0,0,0,0,10,0.0,0.0,283,5,288,280.0,18,288.64,36.1368,28.0,9.0,0.0,36.0,0.0,1010.0,3.0,0.0,58.5641,45.2125,48.0,48.0,0.1696113074204947,6.0,0.8
21,62.9666,26.0915,24,5,0,50,0,1012,3,2,1,1,34.4715,40.7923,118,126,18,0,1,0.4682539682539682,93.65,252,1,257,250.0,9,0.0,0.0,30.0,7.0,0.0,30.0,0.0,1013.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740741
22,60.1022,51.1083,24,5,0,50,0,1012,3,2,1,1,36.6574,27.3898,108,117,13,0,2,0.4285714285714285,92.31,252,1,257,250.0,9,0.0,0.0,30.0,7.0,0.0,30.0,0.0,1013.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792208
23,72.1185,45.5833,24,5,0,50,0,1012,3,2,1,1,41.6504,42.9488,17,14,2,0,3,0.0674603174603174,121.43,252,1,257,250.0,9,0.0,0.0,30.0,7.0,0.0,30.0,0.0,1013.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90678
24,33.3753,47.0303,24,5,0,50,0,1012,3,2,1,1,50.5071,29.1962,0,0,0,0,10,0.0,0.0,252,1,257,250.0,9,0.0,8.4375,30.0,7.0,0.0,30.0,0.0,1013.0,3.0,0.0,8.8007,4.2857,17.0,6.0,0.0674603174603174,17.0,0.857143
25,0.0,0.0,24,5,0,50,0,1012,3,2,1,1,0.0,0.0,0,0,0,0,10,0.0,0.0,252,1,257,250.0,9,0.0,20.1396,30.0,7.0,0.0,30.0,0.0,1013.0,3.0,0.0,20.4327,21.5387,44.0,60.0,0.1746031746031746,4.4,0.0
26,22.8244,20.5623,24,5,0,50,0,1012,3,2,1,1,22.3991,22.8244,0,0,0,0,10,0.0,0.0,252,1,257,250.0,9,105.123,30.9399,30.0,7.0,0.0,30.0,0.0,1013.0,3.0,0.0,30.2562,16.1213,40.0,60.0,0.1587301587301587,4.0,0.777778
27,55.6003,43.7288,24,5,0,50,0,1012,3,2,1,1,44.0018,28.2395,0,0,0,0,10,0.0,0.0,252,1,257,250.0,9,441.988,19.0567,30.0,7.0,0.0,30.0,0.0,1013.0,3.0,0.0,48.9939,51.752,32.0,60.0,0.1269841269841269,3.2,0.892473
28,0.0,21.7998,24,5,0,50,0,1012,3,2,1,1,22.7182,0.0,0,0,0,0,10,0.0,0.0,252,1,257,250.0,9,0.0,25.6873,30.0,7.0,0.0,30.0,0.0,1013.0,3.0,0.0,25.5441,23.4307,67.0,54.0,0.2658730158730158,7.44,0.0
29,38.8512,38.8512,24,5,0,50,0,1012,3,2,1,1,9.5933,13.4982,0,0,0,0,10,0.0,0.0,252,1,257,250.0,9,413.386,17.9419,30.0,7.0,0.0,30.0,0.0,1013.0,3.0,0.0,31.5971,31.7433,48.0,60.0,0.1904761904761904,4.8,0.918367
30,62.9666,26.0915,30,5,0,35,0,1012,3,1,0,1,34.4715,29.9183,0,4,0,0,1,0.0,0.0,213,10,277,213.0,10,0.0,0.0,24.0,3.0,0.0,57.0,0.0,1012.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740741
31,74.1419,45.9018,30,5,0,35,0,1012,3,1,0,1,31.9185,38.0494,33,17,8,0,2,0.1549295774647887,194.12,213,10,277,213.0,10,0.0,0.0,24.0,3.0,0.0,57.0,0.0,1012.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740741
32,72.1185,45.5833,30,5,0,35,0,1012,3,1,0,1,41.6504,38.9143,68,78,9,0,3,0.3192488262910798,87.18,213,10,277,213.0,10,0.0,0.0,24.0,3.0,0.0,57.0,0.0,1012.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90678
