,batting_consistency,batting_form,batting_inning,venue,opposition,season
0,0.834542958022754,0.34580996257143765,1.0,0.2754215253639697,0.39842881443157213,0.0
1,0.9826574809411216,0.6083705321641767,1.0,0.2548705036087047,0.586225658310843,0.0
2,0.9558398630093412,0.6041492159087294,1.0,0.33320990377324167,0.4196080973314004,0.0
3,0.44234755548015653,0.6233273779860676,1.0,0.40450415930785005,0.28454192250729704,0.0
4,0.32553439080508517,0.14035048190599386,1.0,0.08423342998404541,0.10180296441212633,0.0
5,0.834542958022754,0.34580996257143765,1.0,0.2754215253639697,0.29163376585622636,0.0
6,0.7026735444742507,0.3111342020718247,1.0,0.2324189349531585,0.29559954115645853,0.0
7,0.9558398630093412,0.6041492159087294,1.0,0.33320990377324167,0.3799847183101357,0.0
8,0.44234755548015653,0.6233273779860676,1.0,0.40450415930785005,0.2886717108028583,0.0
9,0.0,0.1618082872986757,1.0,0.10096242857855836,0.15848467706135855,0.0
10,0.3025086679460944,0.2725273822272645,1.0,0.17824167615196004,0.1908796989232105,0.0
11,0.7369119315470826,0.5795701546976556,1.0,0.3521380951384317,0.26747376774188475,0.0
12,0.834542958022754,0.34580996257143765,1.0,0.2754215253639697,0.39842881443157213,0.0
13,0.7965789445781599,0.6773761305440394,1.0,0.2930174824555614,0.26680101982691223,0.0
14,0.9558398630093412,0.6041492159087294,1.0,0.33320990377324167,0.4196080973314004,0.0
15,0.834542958022754,0.34580996257143765,0.0,0.2754215253639697,0.29163376585622636,0.0
16,0.9826574809411216,0.6083705321641767,0.0,0.2548705036087047,0.3714904165340812,0.0
17,0.9558398630093412,0.6041492159087294,0.0,0.33320990377324167,0.3799847183101357,0.0
18,0.7965789445781599,0.6773761305440394,0.0,0.2930174824555614,0.37085204260016574,0.0
19,0.44234755548015653,0.6233273779860676,0.0,0.40450415930785005,0.2886717108028583,0.0
20,0.0,0.1618082872986757,0.0,0.10096242857855836,0.15848467706135855,0.0
21,0.7369119315470826,0.5795701546976556,0.0,0.3521380951384317,0.26747376774188475,0.0
22,0.3025086679460944,0.2725273822272645,0.0,0.17824167615196004,0.1908796989232105,0.0
23,0.0,0.28892888573155345,0.0,0.18081035262752018,0.21190086151017665,0.0
24,0.0,0.05908252308801543,0.0,0.03408265809314209,0.041582695941513155,0.0
25,0.31291152863338034,0.002966187057987764,0.0,0.041799796180230775,0.07255758132883916,0.0
26,0.834542958022754,0.34580996257143765,1.0,0.2754215253639697,0.29163376585622636,0.0
27,0.9826574809411216,0.6083705321641767,1.0,0.2548705036087047,0.3714904165340812,0.0
28,0.9558398630093412,0.6041492159087294,1.0,0.33320990377324167,0.3799847183101357,0.0
29,0.7965789445781599,0.6773761305440394,1.0,0.2930174824555614,0.37085204260016574,0.0
30,0.44234755548015653,0.6233273779860676,1.0,0.40450415930785005,0.2886717108028583,0.0
31,0.0,0.1618082872986757,1.0,0.10096242857855836,0.15848467706135855,0.0
32,0.3025086679460944,0.2725273822272645,1.0,0.17824167615196004,0.1908796989232105,0.0
33,0.7369119315470826,0.5795701546976556,1.0,0.3521380951384317,0.26747376774188475,0.0
34,0.834542958022754,0.34580996257143765,0.0,0.27080338154062633,0.29163376585622636,0.05
35,0.9826574809411216,0.6083705321641767,0.0,0.5593613003250492,0.3714904165340812,0.05
36,0.44234755548015653,0.6233273779860676,0.0,0.16643429710353758,0.2886717108028583,0.05
37,1.0,1.0,0.0,0.37352468135049116,0.44200323704690175,0.05
38,0.3232918579623169,0.3232918579623169,0.0,0.12454740258590295,0.1998012201781161,0.05
39,0.32553439080508517,0.14035048190599386,0.0,0.1400254694213998,0.29855570352735966,0.05
40,0.7369119315470826,0.5795701546976556,0.0,0.2873488457457856,0.26747376774188475,0.05
41,0.5149237114713772,0.5149237114713772,0.0,0.2351590711871938,0.18321037269252374,0.05
42,0.3025086679460944,0.2725273822272645,0.0,0.06447047913745277,0.1908796989232105,0.05
43,0.0,0.0,0.0,0.0,0.06808336574308689,0.05
44,0.26138231208847135,0.26138231208847135,0.0,0.12894095827490554,0.165026536713376,0.05
45,0.834542958022754,0.34580996257143765,1.0,0.27080338154062633,0.4879730350850313,0.05
46,0.9826574809411216,0.6083705321641767,1.0,0.5593613003250492,0.9999999999999999,0.05
47,0.7790654522706307,0.7790654522706307,1.0,0.15849965466555688,0.33541934292662035,0.05
48,0.834542958022754,0.34580996257143765,1.0,0.2594934772843995,0.29163376585622636,0.05
49,0.9826574809411216,0.6083705321641767,1.0,0.5243818996453279,0.3714904165340812,0.05
50,0.7790654522706307,0.7790654522706307,1.0,0.34304428813611176,0.25940864967217037,0.05
51,0.3232918579623169,0.3232918579623169,1.0,0.19391132713072964,0.1998012201781161,0.05
52,0.4163013052283354,0.4163013052283354,1.0,0.26935442583520225,0.36682635836151994,0.05
53,0.44234755548015653,0.6233273779860676,1.0,0.2728126001188144,0.2886717108028583,0.05
54,0.834542958022754,0.34580996257143765,0.0,0.2594934772843995,0.4879730350850313,0.05
55,0.9826574809411216,0.6083705321641767,0.0,0.5243818996453279,0.9999999999999999,0.05
56,0.7790654522706307,0.7790654522706307,0.0,0.34304428813611176,0.33541934292662035,0.05
57,0.3232918579623169,0.3232918579623169,0.0,0.19391132713072964,0.16177574021912922,0.05
58,0.44234755548015653,0.6233273779860676,0.0,0.2728126001188144,0.2263153449379893,0.05
59,0.4163013052283354,0.4163013052283354,0.0,0.26935442583520225,0.15938429325130718,0.05
60,0.7026735444742507,0.3111342020718247,0.0,0.14224639652765814,0.16903847135959899,0.05
