,runs_conceded,deliveries,wickets_taken,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,batting_inning,bowling_session,toss,bowling_venue,bowling_opposition,season,result,weather
49,50,59,1,0.0,25.6873,20,12,0,40,4,1020,3,1,0,0,15.1481,22.1714,2,0,0
50,37,54,0,58.5243,0.0,20,12,0,40,4,1020,3,1,0,0,15.9834,16.4044,2,0,0
51,24,12,0,441.988,19.0567,20,12,0,40,4,1020,3,1,0,0,16.9057,17.7583,2,0,1
52,38,54,0,105.123,30.9399,20,12,0,40,4,1020,3,1,0,0,31.6447,21.1845,2,0,0
53,42,48,0,122.804,0.0,20,12,0,40,4,1020,3,1,0,0,27.8866,17.01,2,0,0
54,35,48,1,264.519,9.7462,20,12,0,40,4,1020,3,1,0,0,14.8218,9.65158,2,0,3
55,8,12,0,0.0,0.0,20,12,0,40,4,1020,3,1,0,0,4.1979,4.4447,2,0,0
56,17,42,1,413.386,17.9419,23,3,0,46,9,1020,3,2,0,1,20.4915,29.9097,2,1,1
57,36,54,3,58.5243,0.0,23,3,0,46,9,1020,3,2,0,1,15.9834,16.4044,2,1,0
58,44,60,2,183.552,0.0,23,3,0,46,9,1020,3,2,0,1,24.4245,12.7384,2,1,3
59,14,24,0,354.802,0.0,23,3,0,46,9,1020,3,2,0,1,7.8393,11.8636,2,1,1
60,36,48,0,105.123,30.9399,23,3,0,46,9,1020,3,2,0,1,31.6447,21.1845,2,1,0
61,36,54,2,122.804,0.0,23,3,0,46,9,1020,3,2,0,1,27.8866,17.01,2,1,0
62,14,12,0,264.519,9.7462,23,3,0,46,9,1020,3,2,0,1,14.8218,9.65158,2,1,3
63,25,54,0,413.386,17.9419,24,3,6,99,34,1011,2,1,1,1,37.0663,57.8118,2,1,1
64,34,60,5,594.115,0.0,24,3,6,99,34,1011,2,1,1,1,43.6984,92.8711,2,1,2
65,38,60,2,354.802,0.0,24,3,6,99,34,1011,2,1,1,1,35.1855,73.4666,2,1,1
66,53,48,0,75.058,0.0,24,3,6,99,34,1011,2,1,1,1,17.2465,33.9319,2,1,0
67,71,60,1,68.7865,0.0,24,3,6,99,34,1011,2,1,1,1,26.1973,26.3519,2,1,0
68,39,36,1,413.386,17.9419,24,3,8,99,57,1010,1,1,1,1,37.0663,31.7433,2,1,1
69,35,50,2,594.115,0.0,24,3,8,99,57,1010,1,1,1,1,43.6984,34.5052,2,1,2
70,37,60,3,264.519,9.7462,24,3,8,99,57,1010,1,1,1,1,26.4389,18.1202,2,1,3
71,38,48,2,68.7865,0.0,24,3,8,99,57,1010,1,1,1,1,26.1973,10.282,2,1,0
72,31,48,2,0.0,20.1244,24,3,8,99,57,1010,1,1,1,1,18.8491,20.1245,2,1,0
73,42,45,0,0.0,20.1244,27,5,4,91,51,1009,2,2,0,1,18.8491,20.5927,2,1,0
74,42,60,5,75.058,0.0,27,5,4,91,51,1009,2,2,0,1,17.2465,22.5661,2,1,0
75,37,36,1,354.802,0.0,27,5,4,91,51,1009,2,2,0,1,35.1855,82.1064,2,1,1
76,31,42,2,235.698,0.0,27,5,4,91,51,1009,2,2,0,1,13.8605,44.2538,2,1,3
77,40,54,0,105.123,30.9399,27,5,4,91,51,1009,2,2,0,1,23.9232,53.84,2,1,0
78,14,18,0,0.0,18.8501,27,5,4,91,51,1009,2,2,0,1,12.6297,18.8668,2,1,0
79,44,54,1,413.386,17.9419,27,5,10,95,60,1008,1,2,0,0,37.0663,72.3546,2,0,1
80,57,60,2,594.115,0.0,27,5,10,95,60,1008,1,2,0,0,43.6984,93.0253,2,0,2
81,41,36,0,75.058,0.0,27,5,10,95,60,1008,1,2,0,0,17.2465,22.5661,2,0,0
82,16,18,0,354.802,0.0,27,5,10,95,60,1008,1,2,0,0,35.1855,82.1064,2,0,1
83,34,60,0,68.7865,0.0,27,5,10,95,60,1008,1,2,0,0,26.1973,37.9249,2,0,0
84,37,42,2,0.0,18.8501,27,5,10,95,60,1008,1,2,0,0,12.6297,18.8668,2,0,0
85,30,30,0,264.519,9.7462,27,5,10,95,60,1008,1,2,0,0,26.4389,51.7822,2,0,3
86,35,60,3,594.115,0.0,27,8,1,74,29,1010,3,2,0,0,43.6984,51.0771,2,1,2
87,35,49,1,413.386,17.9419,27,8,1,74,29,1010,3,2,0,0,37.0663,58.0883,2,1,1
88,36,60,3,354.802,0.0,27,8,1,74,29,1010,3,2,0,0,35.1855,37.8722,2,1,1
89,42,60,1,183.552,0.0,27,8,1,74,29,1010,3,2,0,0,20.1545,20.6891,2,1,3
90,35,60,2,235.698,0.0,27,8,1,74,29,1010,3,2,0,0,13.8605,46.0288,2,1,3
91,34,42,0,594.115,0.0,24,4,3,95,47,1010,2,1,1,1,43.6984,93.0253,2,0,2
92,23,30,0,413.386,17.9419,24,4,3,95,47,1010,2,1,1,1,37.0663,72.3546,2,0,1
93,32,42,2,354.802,0.0,24,4,3,95,47,1010,2,1,1,1,35.1855,82.1064,2,0,1
94,33,48,2,58.5243,0.0,24,4,3,95,47,1010,2,1,1,1,9.39425,22.1115,2,0,0
95,38,45,0,105.123,30.9399,24,4,3,95,47,1010,2,1,1,1,23.9232,53.84,2,0,0
96,21,54,2,594.115,0.0,28,3,11,89,66,1010,1,2,0,0,43.6984,93.0253,2,1,2
97,31,54,2,413.386,17.9419,28,3,11,89,66,1010,1,2,0,0,37.0663,72.3546,2,1,1
98,20,48,1,354.802,0.0,28,3,11,89,66,1010,1,2,0,0,35.1855,82.1064,2,1,1
99,28,46,5,441.988,19.0567,28,3,11,89,66,1010,1,2,0,0,29.0246,85.9906,2,1,1
100,49,54,2,594.115,0.0,23,6,3,95,45,1008,2,1,1,1,43.6984,93.0253,2,1,2
101,47,54,0,413.386,17.9419,23,6,3,95,45,1008,2,1,1,1,37.0663,72.3546,2,1,1
102,48,60,1,354.802,0.0,23,6,3,95,45,1008,2,1,1,1,35.1855,82.1064,2,1,1
103,36,54,3,441.988,19.0567,23,6,3,95,45,1008,2,1,1,1,29.0246,85.9906,2,1,1
104,40,59,3,105.123,30.9399,23,6,3,95,45,1008,2,1,1,1,23.9232,53.84,2,1,0
105,39,60,1,594.115,29.2376,13,13,0,56,44,1022,3,2,0,0,20.5008,79.1412,3,1,2
106,60,60,1,413.386,47.8475,13,13,0,56,44,1022,3,2,0,0,22.9209,70.4721,3,1,1
107,46,48,5,441.988,17.9622,13,13,0,56,44,1022,3,2,0,0,13.18,47.0055,3,1,1
108,36,54,0,68.7865,26.2859,13,13,0,56,44,1022,3,2,0,0,17.9165,19.8315,3,1,0
109,35,54,1,105.123,36.8008,13,13,0,56,44,1022,3,2,0,0,17.7774,19.8435,3,1,0
110,17,24,0,264.519,19.259,13,13,0,56,44,1022,3,2,0,0,20.9627,64.7436,3,1,3
111,34,46,1,594.115,29.2376,15,15,0,77,47,1023,3,1,1,1,25.0992,79.1412,3,1,2
112,48,48,2,413.386,47.8475,15,15,0,77,47,1023,3,1,1,1,18.5488,70.4721,3,1,1
113,39,48,2,441.988,17.9622,15,15,0,77,47,1023,3,1,1,1,20.7557,47.0055,3,1,1
114,30,42,2,68.7865,26.2859,15,15,0,77,47,1023,3,1,1,1,8.333,19.8315,3,1,0
115,53,42,2,105.123,36.8008,15,15,0,77,47,1023,3,1,1,1,9.93265,19.8435,3,1,0
116,31,36,0,594.115,29.2376,20,15,0,89,67,1019,3,1,0,1,19.2237,79.1412,3,0,2
117,47,48,2,58.5243,23.8935,20,15,0,89,67,1019,3,1,0,1,10.368,10.9412,3,0,0
118,19,28,0,441.988,17.9622,20,15,0,89,67,1019,3,1,0,1,11.8309,47.0055,3,0,1
119,10,6,0,122.804,21.1663,20,15,0,89,67,1019,3,1,0,1,3.0727,63.9574,3,0,0
120,11,12,0,105.123,36.8008,20,15,0,89,67,1019,3,1,0,1,4.6152,19.8435,3,0,0
121,51,60,3,594.115,29.2376,32,9,0,60,19,1011,3,0,0,0,12.1425,31.587,3,-1,2
122,35,60,1,413.386,47.8475,32,9,0,60,19,1011,3,0,0,0,15.7275,29.248,3,-1,1
123,35,42,0,354.802,30.6851,32,9,0,60,19,1011,3,0,0,0,36.9335,24.5498,3,-1,1
124,42,60,0,68.7865,26.2859,32,9,0,60,19,1011,3,0,0,0,23.4508,24.7404,3,-1,0
