,balls,maidens,runs,wickets,dots,fours,sixes,econ,wides,no_balls,player_consistency,player_form,temp,wind,rain,humidity,cloud,pressure,viscosity,result,inning,bowling_session,toss,venue,opposition,season,bowling_performance
132,42,0,27,0,26,1,0,3.86,1,0,0.250933787,0.018269893,0.024664688,0.02087012,0.0,0.075891346,0.092018257,0.959076887,0.0,1,2,0,1,0.02613679,0.030266702,3,1
133,54,1,33,1,33,1,1,3.67,1,0,0.225145485,0.012331429,0.024835945,0.021015031,0.0,0.076418293,0.09265718,0.965736176,0.0,1,2,0,1,0.021785805,0.023513813,3,0
134,60,1,45,2,36,4,1,4.5,2,0,0.057748438,0.023576742,0.026642058,0.018748115,0.000986743,0.076965947,0.038482973,0.993650105,0.002960229,1,1,0,0,0.01177579,0.012422994,3,0
135,54,2,36,3,36,4,0,4.0,0,0,0.400386015,0.016271513,0.024458633,0.017211631,0.000905875,0.070658274,0.035329137,0.912216433,0.002717626,1,1,0,0,0.009270637,0.007622397,3,0
136,36,0,33,0,16,3,0,5.5,2,0,0.330632287,0.028594779,0.025160714,0.017705688,0.000931878,0.072686508,0.036343254,0.938401454,0.002795635,1,1,0,0,0.034417527,0.022877426,3,3
137,60,1,46,4,31,2,0,4.6,1,0,0.17842192,0.028803915,0.026245379,0.018468971,0.000972051,0.075819984,0.037909992,0.97885544,0.002916153,1,1,0,0,0.014446429,0.027277697,3,0
138,6,0,7,0,3,1,0,7.0,1,0,0.0,0.004112017,0.026696275,0.018786268,0.000988751,0.077122573,0.038561287,0.995672195,0.002966253,1,1,0,0,0.007188813,0.007618227,3,4
139,18,0,25,0,5,1,1,8.33,0,0,0.25279888,0.018405686,0.025803703,0.018158162,0.000955693,0.074544031,0.037272016,0.96238256,0.002867078,1,1,0,0,0.026331054,0.030491663,3,4
140,60,0,54,1,29,2,2,5.4,1,0,0.226842487,0.012424375,0.025985571,0.018286143,0.000962429,0.075069428,0.037534714,0.96916556,0.002887286,1,1,0,0,0.021950012,0.023691045,3,2
141,36,2,16,3,26,2,0,2.67,0,0,0.375864395,0.043504549,0.022730837,0.009092335,0.0,0.080921781,0.021821604,0.921053525,0.0027277,1,1,1,1,0.028964724,0.004841514,3,1
142,42,0,24,3,30,3,0,3.43,0,0,0.398235462,0.016184116,0.022525242,0.009010097,0.0,0.080189861,0.021624232,0.912722795,0.002703029,1,1,1,1,0.023586811,0.005784302,3,1
143,47,3,18,1,37,2,0,2.3,1,0,0.177368501,0.028633854,0.0241578,0.00966312,0.0,0.086001768,0.023191488,0.978874061,0.002898936,1,1,1,1,0.026635811,0.014039064,3,0
144,54,0,38,2,37,2,2,4.22,3,1,0.067416373,0.025762323,0.024502036,0.009800815,0.0,0.087227249,0.023521955,0.99282251,0.002940244,1,1,1,1,0.010383571,0.010956919,3,0
145,30,0,14,0,17,0,0,2.8,0,0,0.250405973,0.018231464,0.023666161,0.009466465,0.0,0.084251534,0.022719515,0.958952855,0.002839939,1,1,1,1,0.094954319,0.009235672,3,1
146,12,0,4,1,8,0,0,2.0,0,0,0.0,0.003611361,0.024568418,0.009827367,0.0,0.087463568,0.023585681,0.995512298,0.00294821,1,1,1,1,0.003578636,0.003792086,3,4
147,60,1,64,0,33,9,1,6.4,1,0,0.377601778,0.043705643,0.026489653,0.008220927,0.0,0.053892742,0.018268726,0.92074379,0.002740309,-1,2,0,0,0.030561386,0.052807397,3,2
148,54,0,62,2,28,9,0,6.89,2,0,0.399309224,0.016227753,0.026199733,0.008130952,0.0,0.053302905,0.018068781,0.910666574,0.002710317,-1,2,0,0,0.041936376,0.072725309,3,2
