batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity
30,5,0,45,0,1008,3
30,5,0,45,0,1008,3
30,5,0,45,0,1008,3
30,5,0,45,0,1008,3
30,5,0,45,0,1008,3
30,5,0,45,0,1008,3
30,5,0,45,0,1008,3
32,15,0,47,0,1006,3
32,15,0,47,0,1006,3
32,15,0,47,0,1006,3
32,15,0,47,0,1006,3
32,15,0,47,0,1006,3
32,15,0,47,0,1006,3
32,15,0,47,0,1006,3
32,15,0,47,0,1006,3
32,15,0,47,0,1006,3
32,15,0,47,0,1006,3
32,15,0,47,0,1006,3
27,10,0,85,35,1011,3
27,10,0,85,35,1011,3
27,6,1,86,14,1011,3
27,6,1,86,14,1011,3
27,6,1,86,14,1011,3
27,6,1,86,14,1011,3
27,6,1,86,14,1011,3
27,6,1,86,14,1011,3
27,6,1,86,14,1011,3
30,15,0,61,0,1008,3
30,15,0,61,0,1008,3
30,15,0,61,0,1008,3
30,15,0,61,0,1008,3
30,15,0,61,0,1008,3
30,15,0,61,0,1008,3
30,15,0,61,0,1008,3
30,15,0,61,0,1008,3
17,17,2,92,98,1015,3
17,17,2,92,98,1015,3
17,17,2,92,98,1015,3
17,17,2,92,98,1015,3
17,17,2,92,98,1015,3
17,17,2,92,98,1015,3
17,17,2,92,98,1015,3
17,17,2,92,98,1015,3
17,17,2,92,98,1015,3
17,17,2,92,98,1015,3
17,17,2,92,98,1015,3
17,5,0,64,75,1026,3
17,5,0,64,75,1026,3
17,5,0,64,75,1026,3
17,5,0,64,75,1026,3
17,5,0,64,75,1026,3
17,5,0,64,75,1026,3
17,5,0,64,75,1026,3
21,6,0,66,39,1017,3
21,6,0,66,39,1017,3
21,6,0,66,39,1017,3
21,6,0,66,39,1017,3
21,6,0,66,39,1017,3
21,6,0,66,39,1017,3
17,20,1,66,78,1002,3
17,20,1,66,78,1002,3
17,20,1,66,78,1002,3
17,20,1,66,78,1002,3
17,20,1,66,78,1002,3
17,20,1,66,78,1002,3
17,20,1,66,78,1002,3
17,20,1,66,78,1002,3
17,20,1,66,78,1002,3
17,20,1,66,78,1002,3
17,20,1,66,78,1002,3
17,22,0,68,10,1011,3
17,22,0,68,10,1011,3
17,22,0,68,10,1011,3
17,22,0,68,10,1011,3
17,22,0,68,10,1011,3
17,22,0,68,10,1011,3
17,22,0,68,10,1011,3
17,22,0,68,10,1011,3
17,22,0,68,10,1011,3
17,22,0,68,10,1011,3
17,22,0,68,10,1011,3
16,6,0,74,42,1022,3
16,6,0,74,42,1022,3
16,6,0,74,42,1022,3
16,6,0,74,42,1022,3
16,6,0,74,42,1022,3
16,6,0,74,42,1022,3
16,6,0,74,42,1022,3
16,6,0,74,42,1022,3
16,6,0,74,42,1022,3
27,15,5,67,19,1007,2
27,15,5,67,19,1007,2
27,15,5,67,19,1007,2
27,15,5,67,19,1007,2
27,15,5,67,19,1007,2
27,15,5,67,19,1007,2
27,15,5,67,19,1007,2
27,15,5,67,19,1007,2
27,15,5,67,19,1007,2
27,15,5,67,19,1007,2
27,15,5,67,19,1007,2
28,26,0,79,26,1010,3
28,26,0,79,26,1010,3
28,26,0,79,26,1010,3
28,26,0,79,26,1010,3
28,26,0,79,26,1010,3
28,26,0,79,26,1010,3
28,26,0,79,26,1010,3
28,26,0,79,26,1010,3
28,26,0,79,26,1010,3
28,26,0,79,26,1010,3
28,26,0,79,26,1010,3
27,23,0,80,47,1010,3
27,23,0,80,47,1010,3
27,23,0,80,47,1010,3
27,23,0,80,47,1010,3
27,23,0,80,47,1010,3
27,23,0,80,47,1010,3
27,23,0,80,47,1010,3
27,23,0,80,47,1010,3
27,23,0,80,47,1010,3
27,23,0,80,47,1010,3
29,17,3,72,25,1007,2
29,17,3,72,25,1007,2
29,17,3,72,25,1007,2
29,17,3,72,25,1007,2
29,17,3,72,25,1007,2
29,17,3,72,25,1007,2
29,17,3,72,25,1007,2
29,17,3,72,25,1007,2
29,17,3,72,25,1007,2
29,17,3,72,25,1007,2
29,17,3,72,25,1007,2
27,15,2,79,22,1009,3
27,15,2,79,22,1009,3
27,15,2,79,22,1009,3
27,15,2,79,22,1009,3
27,15,2,79,22,1009,3
27,15,2,79,22,1009,3
27,15,2,79,22,1009,3
27,15,2,79,22,1009,3
27,12,0,42,0,1015,3
27,12,0,42,0,1015,3
27,12,0,42,0,1015,3
27,12,0,42,0,1015,3
27,12,0,42,0,1015,3
27,12,0,42,0,1015,3
27,12,0,42,0,1015,3
27,12,0,42,0,1015,3
27,12,0,42,0,1015,3
27,12,0,42,0,1015,3
27,12,0,42,0,1015,3
28,12,0,48,0,1014,3
28,12,0,48,0,1014,3
28,12,0,48,0,1014,3
28,12,0,48,0,1014,3
28,12,0,48,0,1014,3
28,12,0,48,0,1014,3
28,12,0,48,0,1014,3
28,12,0,48,0,1014,3
28,12,0,48,0,1014,3
27,13,0,70,0,1014,3
27,13,0,70,0,1014,3
27,13,0,70,0,1014,3
27,13,0,70,0,1014,3
27,13,0,70,0,1014,3
27,13,0,70,0,1014,3
27,13,0,70,0,1014,3
27,13,0,70,0,1014,3
27,13,0,70,0,1014,3
27,13,0,70,0,1014,3
27,13,0,70,0,1014,3
29,17,0,54,3,1015,3
29,17,0,54,3,1015,3
29,17,0,54,3,1015,3
29,17,0,54,3,1015,3
29,17,0,54,3,1015,3
29,17,0,54,3,1015,3
29,17,0,54,3,1015,3
29,17,0,54,3,1015,3
29,17,0,54,3,1015,3
29,17,0,54,3,1015,3
29,17,0,54,3,1015,3
27,22,0,61,15,1013,3
27,22,0,61,15,1013,3
27,22,0,61,15,1013,3
27,22,0,61,15,1013,3
27,22,0,61,15,1013,3
27,22,0,61,15,1013,3
27,22,0,61,15,1013,3
27,22,0,61,15,1013,3
27,22,0,61,15,1013,3
27,22,0,61,15,1013,3
18,10,0,68,0,1010,3
18,10,0,68,0,1010,3
18,10,0,68,0,1010,3
18,10,0,68,0,1010,3
18,10,0,68,0,1010,3
18,10,0,68,0,1010,3
18,10,0,68,0,1010,3
18,10,0,68,0,1010,3
18,10,0,68,0,1010,3
18,10,0,68,0,1010,3
18,10,0,68,0,1010,3
23,13,0,76,88,1019,3
23,13,0,76,88,1019,3
23,13,0,76,88,1019,3
23,13,0,76,88,1019,3
23,13,0,76,88,1019,3
23,13,0,76,88,1019,3
23,13,0,76,88,1019,3
29,11,0,28,6,1009,3
29,11,0,28,6,1009,3
29,11,0,28,6,1009,3
29,11,0,28,6,1009,3
29,11,0,28,6,1009,3
29,11,0,28,6,1009,3
29,11,0,28,6,1009,3
29,11,0,28,6,1009,3
29,11,0,28,6,1009,3
29,11,0,28,6,1009,3
25,20,6,56,25,1007,2
25,20,6,56,25,1007,2
25,20,6,56,25,1007,2
25,20,6,56,25,1007,2
25,20,6,56,25,1007,2
25,20,6,56,25,1007,2
25,20,6,56,25,1007,2
25,7,6,66,19,1005,2
25,7,6,66,19,1005,2
25,7,6,66,19,1005,2
25,7,6,66,19,1005,2
25,7,6,66,19,1005,2
25,7,6,66,19,1005,2
25,7,6,66,19,1005,2
25,7,6,66,19,1005,2
25,7,6,66,19,1005,2
25,7,6,66,19,1005,2
33,15,0,25,8,1012,3
33,15,0,25,8,1012,3
33,15,0,25,8,1012,3
33,15,0,25,8,1012,3
33,15,0,25,8,1012,3
33,15,0,25,8,1012,3
33,15,0,25,8,1012,3
33,15,0,25,8,1012,3
33,15,0,25,8,1012,3
33,15,0,25,8,1012,3
24,2,0,78,0,1011,3
24,2,0,78,0,1011,3
24,2,0,78,0,1011,3
24,2,0,78,0,1011,3
24,2,0,78,0,1011,3
24,2,0,78,0,1011,3
24,2,0,78,0,1011,3
24,2,0,78,0,1011,3
24,2,0,78,0,1011,3
24,2,0,78,0,1011,3
24,2,0,78,0,1011,3
29,13,0,36,47,1013,3
29,13,0,36,47,1013,3
29,13,0,36,47,1013,3
29,13,0,36,47,1013,3
29,13,0,36,47,1013,3
29,13,0,36,47,1013,3
29,13,0,36,47,1013,3
29,13,0,36,47,1013,3
29,13,0,36,47,1013,3
29,13,0,36,47,1013,3
29,13,0,36,47,1013,3
22,17,0,80,31,1016,3
22,17,0,80,31,1016,3
22,17,0,80,31,1016,3
22,17,0,80,31,1016,3
29,9,2,76,19,1007,3
29,9,2,76,19,1007,3
29,9,2,76,19,1007,3
29,9,2,76,19,1007,3
29,9,2,76,19,1007,3
29,9,2,76,19,1007,3
29,9,2,76,19,1007,3
29,9,2,76,19,1007,3
15,8,0,90,0,1017,3
15,8,0,90,0,1017,3
15,8,0,90,0,1017,3
15,8,0,90,0,1017,3
15,8,0,90,0,1017,3
15,8,0,90,0,1017,3
15,8,0,90,0,1017,3
15,8,0,90,0,1017,3
15,8,0,90,0,1017,3
16,27,0,59,37,1017,3
16,27,0,59,37,1017,3
16,27,0,59,37,1017,3
16,27,0,59,37,1017,3
16,27,0,59,37,1017,3
16,27,0,59,37,1017,3
17,11,0,76,87,1015,0
17,11,0,76,87,1015,0
17,11,0,76,87,1015,0
17,11,0,76,87,1015,0
17,11,0,76,87,1015,0
17,11,0,76,87,1015,0
17,11,0,76,87,1015,0
17,11,0,76,87,1015,0
17,11,0,76,87,1015,0
17,11,0,76,87,1015,0
17,11,0,76,87,1015,0
24,18,1,90,73,1013,3
24,18,1,90,73,1013,3
24,18,1,90,73,1013,3
24,18,1,90,73,1013,3
24,18,1,90,73,1013,3
24,18,1,90,73,1013,3
24,18,1,90,73,1013,3
24,18,1,90,73,1013,3
24,18,1,90,73,1013,3
24,18,1,90,73,1013,3
24,18,1,90,73,1013,3
18,23,0,71,11,1024,3
18,23,0,71,11,1024,3
18,23,0,71,11,1024,3
18,23,0,71,11,1024,3
21,9,0,53,33,1015,3
21,9,0,53,33,1015,3
21,9,0,53,33,1015,3
21,9,0,53,33,1015,3
21,9,0,53,33,1015,3
21,9,0,53,33,1015,3
21,9,0,53,33,1015,3
21,9,0,53,33,1015,3
21,9,0,53,33,1015,3
21,9,0,53,33,1015,3
21,9,0,53,33,1015,3
29,11,0,40,6,1009,3
29,11,0,40,6,1009,3
29,11,0,40,6,1009,3
29,11,0,40,6,1009,3
29,11,0,40,6,1009,3
29,11,0,40,6,1009,3
29,11,0,40,6,1009,3
29,11,0,40,6,1009,3
29,11,0,40,6,1009,3
29,11,0,40,6,1009,3
29,11,0,40,6,1009,3
33,12,0,25,4,1010,3
33,12,0,25,4,1010,3
33,12,0,25,4,1010,3
33,12,0,25,4,1010,3
33,12,0,25,4,1010,3
33,12,0,25,4,1010,3
33,12,0,25,4,1010,3
33,12,0,25,4,1010,3
33,12,0,25,4,1010,3
33,12,0,25,4,1010,3
33,12,0,25,4,1010,3
33,4,0,44,49,1007,3
33,4,0,44,49,1007,3
33,4,0,44,49,1007,3
33,4,0,44,49,1007,3
33,4,0,44,49,1007,3
33,4,0,44,49,1007,3
33,4,0,44,49,1007,3
33,4,0,44,49,1007,3
33,4,0,44,49,1007,3
33,4,0,44,49,1007,3
33,4,0,44,49,1007,3
26,22,1,70,33,1006,3
26,22,1,70,33,1006,3
26,22,1,70,33,1006,3
26,22,1,70,33,1006,3
26,22,1,70,33,1006,3
26,22,1,70,33,1006,3
26,22,1,70,33,1006,3
26,22,1,70,33,1006,3
26,22,1,70,33,1006,3
26,22,1,70,33,1006,3
26,19,0,75,28,1006,3
26,19,0,75,28,1006,3
26,19,0,75,28,1006,3
26,19,0,75,28,1006,3
26,19,0,75,28,1006,3
26,19,0,75,28,1006,3
28,21,0,73,49,1007,3
28,21,0,73,49,1007,3
28,21,0,73,49,1007,3
28,21,0,73,49,1007,3
28,21,0,73,49,1007,3
28,21,0,73,49,1007,3
28,21,0,73,49,1007,3
28,21,0,73,49,1007,3
28,21,0,73,49,1007,3
28,21,0,73,49,1007,3
27,16,0,79,80,1012,3
27,16,0,79,80,1012,3
27,16,0,79,80,1012,3
27,16,0,79,80,1012,3
27,16,0,79,80,1012,3
27,16,0,79,80,1012,3
27,16,0,79,80,1012,3
27,16,0,79,80,1012,3
27,16,0,79,80,1012,3
27,16,0,79,80,1012,3
26,24,0,81,14,1010,3
26,24,0,81,14,1010,3
26,24,0,81,14,1010,3
26,24,0,81,14,1010,3
26,24,0,81,14,1010,3
26,24,0,81,14,1010,3
26,24,0,81,14,1010,3
26,24,0,81,14,1010,3
26,24,0,81,14,1010,3
26,24,0,81,14,1010,3
26,24,0,81,14,1010,3
27,25,0,81,19,1009,3
27,25,0,81,19,1009,3
27,25,0,81,19,1009,3
29,17,0,73,31,1007,3
29,17,0,73,31,1007,3
29,17,0,73,31,1007,3
29,17,0,73,31,1007,3
29,17,0,73,31,1007,3
29,17,0,73,31,1007,3
29,17,0,73,31,1007,3
28,18,0,73,33,1009,3
28,18,0,73,33,1009,3
28,18,0,73,33,1009,3
28,18,0,73,33,1009,3
28,18,0,73,33,1009,3
28,18,0,73,33,1009,3
28,18,0,73,33,1009,3
28,18,0,73,33,1009,3
28,18,0,73,33,1009,3
28,18,0,73,33,1009,3
22,12,0,84,8,1009,3
22,12,0,84,8,1009,3
22,12,0,84,8,1009,3
22,12,0,84,8,1009,3
22,12,0,84,8,1009,3
22,12,0,84,8,1009,3
22,12,0,84,8,1009,3
22,12,0,84,8,1009,3
22,12,0,84,8,1009,3
22,12,0,84,8,1009,3
22,12,0,84,8,1009,3
23,2,3,93,58,1010,2
23,2,3,93,58,1010,2
23,2,3,93,58,1010,2
23,2,3,93,58,1010,2
23,2,3,93,58,1010,2
23,0,3,94,58,1011,2
23,0,3,94,58,1011,2
23,0,3,94,58,1011,2
23,0,3,94,58,1011,2
23,0,3,94,58,1011,2
26,8,3,83,15,1011,2
26,8,3,83,15,1011,2
26,8,3,83,15,1011,2
26,8,3,83,15,1011,2
26,8,3,83,15,1011,2
26,2,5,82,37,1012,2
26,2,5,82,37,1012,2
26,2,5,82,37,1012,2
26,2,5,82,37,1012,2
26,2,5,82,37,1012,2
26,2,5,82,37,1012,2
26,2,5,82,37,1012,2
26,2,5,82,37,1012,2
26,2,5,82,37,1012,2
20,16,0,61,2,1003,3
20,16,0,61,2,1003,3
20,16,0,61,2,1003,3
20,16,0,61,2,1003,3
20,16,0,61,2,1003,3
20,16,0,61,2,1003,3
20,16,0,61,2,1003,3
20,16,0,61,2,1003,3
20,16,0,61,2,1003,3
20,16,0,61,2,1003,3
20,16,0,61,2,1003,3
19,20,0,63,8,1018,3
19,20,0,63,8,1018,3
19,20,0,63,8,1018,3
19,20,0,63,8,1018,3
24,20,0,76,42,1008,3
24,20,0,76,42,1008,3
24,20,0,76,42,1008,3
24,20,0,76,42,1008,3
24,20,0,76,42,1008,3
24,20,0,76,42,1008,3
24,20,0,76,42,1008,3
24,20,0,76,42,1008,3
22,8,0,84,73,1016,3
22,8,0,84,73,1016,3
12,13,0,73,51,1022,3
12,13,0,73,51,1022,3
12,13,0,73,51,1022,3
12,13,0,73,51,1022,3
12,13,0,73,51,1022,3
12,13,0,73,51,1022,3
12,13,0,73,51,1022,3
12,13,0,73,51,1022,3
12,13,0,73,51,1022,3
12,13,0,73,51,1022,3
12,13,0,73,51,1022,3
27,3,1,80,16,1010,3
27,3,1,80,16,1010,3
27,3,1,80,16,1010,3
27,3,1,80,16,1010,3
27,9,7,82,29,1010,2
27,9,7,82,29,1010,2
28,8,6,74,50,1008,2
28,8,6,74,50,1008,2
28,8,6,74,50,1008,2
28,8,6,74,50,1008,2
28,8,6,74,50,1008,2
28,8,6,74,50,1008,2
28,8,6,74,50,1008,2
28,8,6,74,50,1008,2
28,8,6,74,50,1008,2
28,8,6,74,50,1008,2
28,8,6,74,50,1008,2
14,14,0,70,10,1017,3
14,14,0,70,10,1017,3
14,14,0,70,10,1017,3
14,14,0,70,10,1017,3
14,14,0,70,10,1017,3
14,14,0,70,10,1017,3
14,14,0,70,10,1017,3
14,14,0,70,10,1017,3
14,14,0,70,10,1017,3
14,14,0,70,10,1017,3
14,14,0,70,10,1017,3
15,18,0,65,78,1013,3
15,18,0,65,78,1013,3
15,18,0,65,78,1013,3
15,18,0,65,78,1013,3
15,18,0,65,78,1013,3
19,18,0,61,47,1014,3
19,18,0,61,47,1014,3
19,18,0,61,47,1014,3
19,18,0,61,47,1014,3
19,18,0,61,47,1014,3
19,18,0,61,47,1014,3
19,18,0,61,47,1014,3
19,18,0,61,47,1014,3
19,18,0,61,47,1014,3
19,18,0,61,47,1014,3
18,9,0,90,87,1012,3
18,9,0,90,87,1012,3
18,9,0,90,87,1012,3
18,9,0,90,87,1012,3
18,9,0,90,87,1012,3
18,9,0,90,87,1012,3
18,9,0,90,87,1012,3
18,9,0,90,87,1012,3
18,9,0,90,87,1012,3
18,9,0,90,87,1012,3
29,15,3,78,47,1013,2
29,15,3,78,47,1013,2
29,15,3,78,47,1013,2
29,15,3,78,47,1013,2
29,15,3,78,47,1013,2
29,15,3,78,47,1013,2
29,15,3,78,47,1013,2
29,15,3,78,47,1013,2
29,15,3,78,47,1013,2
29,15,3,78,47,1013,2
29,15,3,78,47,1013,2
27,18,2,85,67,1016,3
27,18,2,85,67,1016,3
27,18,2,85,67,1016,3
28,9,1,77,30,1014,3
28,9,1,77,30,1014,3
28,9,1,77,30,1014,3
28,9,1,77,30,1014,3
28,9,1,77,30,1014,3
28,9,1,77,30,1014,3
28,9,1,77,30,1014,3
28,9,1,77,30,1014,3
28,9,1,77,30,1014,3
28,22,0,71,15,1013,3
28,22,0,71,15,1013,3
28,22,0,71,15,1013,3
28,22,0,71,15,1013,3
28,22,0,71,15,1013,3
28,22,0,71,15,1013,3
28,22,0,71,15,1013,3
28,22,0,71,15,1013,3
28,22,0,71,15,1013,3
28,22,0,71,15,1013,3
28,22,0,71,15,1013,3
28,15,0,70,51,1015,3
28,15,0,70,51,1015,3
28,15,0,70,51,1015,3
28,15,0,70,51,1015,3
28,15,0,70,51,1015,3
28,15,0,70,51,1015,3
28,15,0,70,51,1015,3
28,15,0,70,51,1015,3
28,15,0,70,51,1015,3
28,15,0,70,51,1015,3
28,15,0,70,51,1015,3
27,16,0,81,36,1007,3
27,16,0,81,36,1007,3
27,16,0,81,36,1007,3
27,16,0,81,36,1007,3
27,16,0,81,36,1007,3
27,16,0,81,36,1007,3
27,16,0,81,36,1007,3
28,17,2,74,28,1007,3
28,17,2,74,28,1007,3
28,17,2,74,28,1007,3
28,17,2,74,28,1007,3
28,17,2,74,28,1007,3
28,17,2,74,28,1007,3
28,17,2,74,28,1007,3
28,17,2,74,28,1007,3
28,17,2,74,28,1007,3
28,17,2,74,28,1007,3
28,17,2,74,28,1007,3
22,12,0,77,19,1009,3
22,12,0,77,19,1009,3
22,12,0,77,19,1009,3
22,12,0,77,19,1009,3
22,12,0,77,19,1009,3
22,12,0,77,19,1009,3
22,12,0,77,19,1009,3
22,12,0,77,19,1009,3
22,12,0,77,19,1009,3
22,12,0,77,19,1009,3
22,12,0,77,19,1009,3
23,9,1,86,21,1012,3
23,9,1,86,21,1012,3
23,9,1,86,21,1012,3
23,9,1,86,21,1012,3
27,18,1,78,29,1006,3
27,18,1,78,29,1006,3
27,18,1,78,29,1006,3
27,18,1,78,29,1006,3
27,18,1,78,29,1006,3
27,18,1,78,29,1006,3
26,3,3,84,40,1010,2
26,3,3,84,40,1010,2
26,3,3,84,40,1010,2
26,3,3,84,40,1010,2
26,3,3,84,40,1010,2
26,3,3,84,40,1010,2
26,3,3,84,40,1010,2
26,3,3,84,40,1010,2
26,3,3,84,40,1010,2
26,3,3,84,40,1010,2
26,3,3,84,40,1010,2
27,6,8,79,63,1009,1
27,6,8,79,63,1009,1
27,6,8,79,63,1009,1
29,6,0,71,19,1010,3
29,6,0,71,19,1010,3
29,6,0,71,19,1010,3
29,6,0,71,19,1010,3
29,6,0,71,19,1010,3
29,6,0,71,19,1010,3
29,6,0,71,19,1010,3
29,6,0,71,19,1010,3
29,6,0,71,19,1010,3
29,6,0,71,19,1010,3
24,11,0,46,9,1018,3
24,11,0,46,9,1018,3
24,11,0,46,9,1018,3
24,11,0,46,9,1018,3
24,11,0,46,9,1018,3
24,11,0,46,9,1018,3
24,11,0,46,9,1018,3
24,11,0,46,9,1018,3
24,11,0,46,9,1018,3
24,11,0,46,9,1018,3
24,11,0,46,9,1018,3
23,35,0,59,0,1016,3
23,35,0,59,0,1016,3
23,35,0,59,0,1016,3
23,35,0,59,0,1016,3
23,35,0,59,0,1016,3
23,35,0,59,0,1016,3
23,35,0,59,0,1016,3
23,35,0,59,0,1016,3
23,35,0,59,0,1016,3
23,35,0,59,0,1016,3
22,9,1,60,11,1018,3
22,9,1,60,11,1018,3
22,9,1,60,11,1018,3
22,9,1,60,11,1018,3
22,9,1,60,11,1018,3
22,9,1,60,11,1018,3
22,9,1,60,11,1018,3
22,9,1,60,11,1018,3
22,9,1,60,11,1018,3
22,9,1,60,11,1018,3
22,9,1,60,11,1018,3
22,26,0,33,0,1023,3
22,26,0,33,0,1023,3
22,26,0,33,0,1023,3
22,26,0,33,0,1023,3
22,26,0,33,0,1023,3
22,26,0,33,0,1023,3
22,26,0,33,0,1023,3
22,26,0,33,0,1023,3
22,26,0,33,0,1023,3
22,26,0,33,0,1023,3
22,26,0,33,0,1023,3
20,21,0,68,2,1022,3
20,21,0,68,2,1022,3
20,21,0,68,2,1022,3
20,21,0,68,2,1022,3
20,21,0,68,2,1022,3
20,21,0,68,2,1022,3
20,21,0,68,2,1022,3
20,21,0,68,2,1022,3
20,21,0,68,2,1022,3
20,21,0,68,2,1022,3
23,10,0,64,24,1013,3
23,10,0,64,24,1013,3
