performance,temp,wind,rain,humidity,cloud,pressure,viscosity
0,0.019791913,0.010885552,0,0.049479783,0.005937574,0.998502019,3
2,0.019791913,0.010885552,0,0.049479783,0.005937574,0.998502019,3
2,0.019791913,0.010885552,0,0.049479783,0.005937574,0.998502019,3
1,0.019791913,0.010885552,0,0.049479783,0.005937574,0.998502019,3
0,0.019791913,0.010885552,0,0.049479783,0.005937574,0.998502019,3
0,0.02174803,0.010874015,0,0.050415887,0,0.99843228,3
0,0.02174803,0.010874015,0,0.050415887,0,0.99843228,3
1,0.02174803,0.010874015,0,0.050415887,0,0.99843228,3
2,0.02174803,0.010874015,0,0.050415887,0,0.99843228,3
0,0.02174803,0.010874015,0,0.050415887,0,0.99843228,3
0,0.02174803,0.010874015,0,0.050415887,0,0.99843228,3
2,0.02174803,0.010874015,0,0.050415887,0,0.99843228,3
2,0.023679592,0.004933248,0,0.049332484,0,0.998489482,3
2,0.023679592,0.004933248,0,0.049332484,0,0.998489482,3
0,0.023679592,0.004933248,0,0.049332484,0,0.998489482,3
0,0.029613201,0.004935534,0,0.034548735,0,0.998951993,3
1,0.029613201,0.004935534,0,0.034548735,0,0.998951993,3
1,0.029613201,0.004935534,0,0.034548735,0,0.998951993,3
0,0.029613201,0.004935534,0,0.034548735,0,0.998951993,3
0,0.029613201,0.004935534,0,0.034548735,0,0.998951993,3
0,0.029613201,0.004935534,0,0.034548735,0,0.998951993,3
0,0.029613201,0.004935534,0,0.034548735,0,0.998951993,3
1,0.029613201,0.004935534,0,0.034548735,0,0.998951993,3
0,0.029613201,0.004935534,0,0.034548735,0,0.998951993,3
0,0.029613201,0.004935534,0,0.034548735,0,0.998951993,3
0,0.029613201,0.004935534,0,0.034548735,0,0.998951993,3
0,0.019657275,0.008845774,0,0.041280278,0.051108916,0.997606717,3
1,0.019657275,0.008845774,0,0.041280278,0.051108916,0.997606717,3
1,0.019657275,0.008845774,0,0.041280278,0.051108916,0.997606717,3
1,0.019657275,0.008845774,0,0.041280278,0.051108916,0.997606717,3
0,0.019657275,0.008845774,0,0.041280278,0.051108916,0.997606717,3
0,0.019657275,0.008845774,0,0.041280278,0.051108916,0.997606717,3
0,0.019657275,0.008845774,0,0.041280278,0.051108916,0.997606717,3
0,0.019657275,0.008845774,0,0.041280278,0.051108916,0.997606717,3
0,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,3
1,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,3
0,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,3
1,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,3
0,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,3
0,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,3
1,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,3
1,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,3
0,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,3
0,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,3
0,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,3
1,0.013597374,0.014568614,0,0.072843072,0.071871832,0.99455075,3
2,0.013597374,0.014568614,0,0.072843072,0.071871832,0.99455075,3
0,0.013597374,0.014568614,0,0.072843072,0.071871832,0.99455075,3
0,0.021526852,0.007827946,0,0.037182744,0.00293548,0.999041613,3
0,0.021526852,0.007827946,0,0.037182744,0.00293548,0.999041613,3
2,0.021526852,0.007827946,0,0.037182744,0.00293548,0.999041613,3
1,0.021526852,0.007827946,0,0.037182744,0.00293548,0.999041613,3
1,0.021526852,0.007827946,0,0.037182744,0.00293548,0.999041613,3
1,0.021526852,0.007827946,0,0.037182744,0.00293548,0.999041613,3
1,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,3
2,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,3
0,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,3
0,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,3
0,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,3
0,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,3
0,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,3
0,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,3
0,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,3
0,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,3
0,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,3
1,0.023551459,0.003925243,0,0.038271121,0.003925243,0.998974392,3
2,0.023551459,0.003925243,0,0.038271121,0.003925243,0.998974392,3
0,0.023551459,0.003925243,0,0.038271121,0.003925243,0.998974392,3
0,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,3
0,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,3
1,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,3
1,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,3
0,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,3
1,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,3
0,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,3
0,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,3
0,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,3
0,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,3
0,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,3
1,0.026600275,0.001970391,0.006896368,0.089652779,0.055170941,0.994062136,3
2,0.026600275,0.001970391,0.006896368,0.089652779,0.055170941,0.994062136,3
1,0.026600275,0.001970391,0.006896368,0.089652779,0.055170941,0.994062136,3
1,0.026600275,0.001970391,0.006896368,0.089652779,0.055170941,0.994062136,3
1,0.026600275,0.001970391,0.006896368,0.089652779,0.055170941,0.994062136,3
1,0.026600275,0.001970391,0.006896368,0.089652779,0.055170941,0.994062136,3
1,0.024591557,0.003934649,0.005901974,0.097382566,0.053117763,0.993498908,3
1,0.024591557,0.003934649,0.005901974,0.097382566,0.053117763,0.993498908,3
