wickets,econ,performance
2,5.04,0.595238095
1,2.2,0.909090909
3,5.14,0.778210117
0,6,0.166666667
5,5.4,1.111111111
1,5,0.4
0,7.22,0.138504155
0,4.6,0.217391304
0,6,0.166666667
0,8.5,0.117647059
1,6.75,0.296296296
1,3.8,0.526315789
0,5.88,0.170068027
0,6.5,0.153846154
3,4.6,0.869565217
0,5.08,0.196850394
0,6,0.166666667
0,4.44,0.225225225
2,4,0.75
0,5.17,0.193423598
0,7.6,0.131578947
0,4,0.25
1,4.4,0.454545455
0,7,0.142857143
0,5.25,0.19047619
1,5.7,0.350877193
1,5,0.4
0,5.3,0.188679245
2,8.5,0.352941176
0,6,0.166666667
0,7.5,0.133333333
2,5,0.6
0,4.6,0.217391304
2,7.9,0.379746835
0,5.33,0.187617261
0,9.14,0.10940919
1,5.56,0.35971223
0,6,0.166666667
0,4.78,0.209205021
1,5.44,0.367647059
0,4.75,0.210526316
1,4.7,0.425531915
2,3.21,0.934579439
1,7.4,0.27027027
0,5.4,0.185185185
2,4.8,0.625
2,3.9,0.769230769
2,4.11,0.729927007
2,6,0.5
2,4.5,0.666666667
0,1,1
2,5.3,0.566037736
1,3.9,0.512820513
0,7,0.142857143
2,5,0.6
0,3.3,0.303030303
0,5,0.2
1,4.75,0.421052632
0,3.63,0.275482094
2,2.25,1.333333333
1,6.5,0.307692308
2,4.14,0.724637681
1,2.4,0.833333333
2,6.88,0.436046512
3,4.44,0.900900901
1,5.2,0.384615385
0,3,0.333333333
4,5.16,0.968992248
0,5,0.2
1,5.6,0.357142857
1,5.9,0.338983051
1,4,0.5
1,5,0.4
2,6.14,0.488599349
0,8.75,0.114285714
1,12.52,0.159744409
0,8.88,0.112612613
1,7,0.285714286
0,8.43,0.118623962
0,6.29,0.158982512
0,5,0.2
4,4.9,1.020408163
2,4.15,0.722891566
0,2,0.5
1,5,0.4
0,9.6,0.104166667
1,6,0.333333333
1,4.3,0.465116279
0,8,0.125
1,9.25,0.216216216
1,6,0.333333333
1,7.11,0.281293952
0,3.89,0.257069409
2,7.29,0.411522634
1,5.14,0.389105058
1,4,0.5
0,5.7,0.175438596
3,4,1
0,7.1,0.14084507
0,5.8,0.172413793
1,4.1,0.487804878
2,4.21,0.712589074
0,6.9,0.144927536
3,4,1
3,3.6,1.111111111
0,6.7,0.149253731
1,6.7,0.298507463
0,5.4,0.185185185
0,5,0.2
2,5.7,0.526315789
0,7,0.142857143
0,5.5,0.181818182
0,3.14,0.318471338
2,4.63,0.647948164
1,6.26,0.319488818
1,3.29,0.607902736
0,6.5,0.153846154
0,3.63,0.275482094
2,5,0.6
1,6.14,0.325732899
2,4.75,0.631578947
0,7.67,0.130378096
0,6,0.166666667
1,3.43,0.583090379
1,3.22,0.621118012
0,3,0.333333333
0,5.03,0.198807157
1,3,0.666666667
2,3.96,0.757575758
2,5,0.6
0,4.8,0.208333333
6,4.4,1.590909091
0,3.7,0.27027027
1,3,0.666666667
1,1,2
0,0,0
2,4.29,0.699300699
1,4,0.5
1,3.67,0.544959128
1,4.9,0.408163265
4,4.2,1.19047619
1,5.2,0.384615385
2,5.3,0.566037736
0,4.1,0.243902439
0,4,0.25
1,6.75,0.296296296
2,3.33,0.900900901
1,4,0.5
0,8.3,0.120481928
1,5.8,0.344827586
3,7,0.571428571
0,5.6,0.178571429
0,5.2,0.192307692
2,4.8,0.625
0,7,0.142857143
3,2.38,1.680672269
3,2,2
1,4.2,0.476190476
2,6,0.5
1,6.33,0.315955766
0,7,0.142857143
0,5.65,0.17699115
1,4,0.5
0,4.67,0.214132762
0,4.75,0.210526316
1,5.13,0.389863548
0,8.5,0.117647059
1,3,0.666666667
1,6.5,0.307692308
0,6.29,0.158982512
1,6.17,0.324149109
0,7.5,0.133333333
3,6.4,0.625
1,5.3,0.377358491
0,5.8,0.172413793
2,6.3,0.476190476
1,5,0.4
0,5,0.2
2,3.9,0.769230769
1,5,0.4
1,5.43,0.368324125
1,7.43,0.269179004
1,2.8,0.714285714
0,5.67,0.176366843
1,5.71,0.350262697
1,6.43,0.311041991
1,3,0.666666667
0,5.5,0.181818182
2,6.8,0.441176471
0,4.5,0.222222222
0,6.67,0.149925037
0,6.33,0.157977883
2,3.4,0.882352941
0,3.17,0.315457413
1,3.2,0.625
1,3.83,0.522193211
3,3.75,1.066666667
1,5.3,0.377358491
1,6.1,0.327868852
1,5.75,0.347826087
1,6.2,0.322580645
0,4.25,0.235294118
0,7,0.142857143
0,8.25,0.121212121
1,2.67,0.74906367
2,2.4,1.25
2,4.44,0.675675676
3,3.56,1.123595506
1,5.23,0.382409178
0,3.5,0.285714286
1,2.5,0.8
5,2.2,2.727272727
3,2,2
0,4.67,0.214132762
1,4.5,0.444444444
0,5,0.2
3,3,1.333333333
2,3.3,0.909090909
2,6.4,0.46875
2,3.7,0.810810811
1,3.14,0.636942675
1,5.7,0.350877193
0,6.29,0.158982512
1,4.9,0.408163265
0,3.4,0.294117647
1,6.5,0.307692308
2,5.1,0.588235294
1,7.44,0.268817204
1,5.63,0.355239787
2,4,0.75
1,4.6,0.434782609
0,3,0.333333333
0,7.25,0.137931034
2,4.83,0.621118012
2,7.8,0.384615385
2,4.33,0.692840647
0,8.8,0.113636364
4,3.4,1.470588235
2,5.63,0.53285968
1,3.6,0.555555556
1,1.85,1.081081081
0,2,0.5
1,4.2,0.476190476
2,5.8,0.517241379
2,8,0.375
0,4.67,0.214132762
2,4.6,0.652173913
0,7.25,0.137931034
1,5,0.4
3,4.67,0.856531049
1,6.67,0.299850075
2,4.8,0.625
1,7,0.285714286
1,3.14,0.636942675
0,4.5,0.222222222
0,6.75,0.148148148
0,4.17,0.239808153
1,2.5,0.8
0,3.5,0.285714286
1,9.33,0.214362272
0,4.86,0.205761317
1,4.88,0.409836066
1,5.3,0.377358491
0,5.6,0.178571429
1,6.17,0.324149109
0,3.82,0.261780105
1,4.11,0.486618005
1,2.88,0.694444444
2,4.6,0.652173913
3,3.7,1.081081081
