Name;Desc;Runs;Balls;Minutes;Fours;Sixes;Strike_Rate;Batting_Position;Match_Id
Extras;0;24;0;0;0;0;0;0;434258
Extras;0;18;0;0;0;0;0;0;434259
Extras;0;9;0;0;0;0;0;0;434261
Extras;0;10;0;0;0;0;0;0;434262
Extras;0;6;0;0;0;0;0;0;434264
Extras;0;7;0;0;0;0;0;0;452147
Extras;0;9;0;0;0;0;0;0;452148
Extras;0;6;0;0;0;0;0;0;452150
Extras;0;9;0;0;0;0;0;0;452151
Extras;0;7;0;0;0;0;0;0;452152
Extras;0;11;0;0;0;0;0;0;455231
Extras;0;13;0;0;0;0;0;0;455233
Extras;0;16;0;0;0;0;0;0;455236
Extras;0;18;0;0;0;0;0;0;455237
Extras;0;13;0;0;0;0;0;0;456664
Extras;0;11;0;0;0;0;0;0;456663
Extras;0;7;0;0;0;0;0;0;473315
Extras;0;11;0;0;0;0;0;0;456666
Extras;0;24;0;0;0;0;0;0;456668
Extras;0;14;0;0;0;0;0;0;446957
Extras;0;13;0;0;0;0;0;0;446958
Extras;0;25;0;0;0;0;0;0;446959
Extras;0;19;0;0;0;0;0;0;464991
Extras;0;16;0;0;0;0;0;0;464992
Extras;0;12;0;0;0;0;0;0;433560
Extras;0;29;0;0;0;0;0;0;433567
Extras;0;8;0;0;0;0;0;0;433571
Extras;0;6;0;0;0;0;0;0;433577
Extras;0;15;0;0;0;0;0;0;433583
Extras;0;19;0;0;0;0;0;0;433594
Extras;0;21;0;0;0;0;0;0;433603
Extras;0;12;0;0;0;0;0;0;433604
Extras;0;12;0;0;0;0;0;0;433606
Extras;0;10;0;0;0;0;0;0;474467
Extras;0;16;0;0;0;0;0;0;474468
Extras;0;25;0;0;0;0;0;0;474469
Extras;0;10;0;0;0;0;0;0;474470
Extras;0;13;0;0;0;0;0;0;474471
Extras;0;12;0;0;0;0;0;0;506208
Extras;0;5;0;0;0;0;0;0;516206
Extras;0;11;0;0;0;0;0;0;516207
Extras;0;14;0;0;0;0;0;0;516208
Extras;0;14;0;0;0;0;0;0;516209
Extras;0;22;0;0;0;0;0;0;516210
Extras;0;19;0;0;0;0;0;0;530427
Extras;0;25;0;0;0;0;0;0;530428
Extras;0;15;0;0;0;0;0;0;530429
Extras;0;10;0;0;0;0;0;0;530430
Extras;0;17;0;0;0;0;0;0;530431
Extras;0;4;0;0;0;0;0;0;514035
Extras;0;6;0;0;0;0;0;0;514036
Extras;0;9;0;0;0;0;0;0;514037
Extras;0;17;0;0;0;0;0;0;514038
Extras;0;21;0;0;0;0;0;0;514039
Extras;0;13;0;0;0;0;0;0;518957
Extras;0;9;0;0;0;0;0;0;518958
Extras;0;8;0;0;0;0;0;0;518960
Extras;0;10;0;0;0;0;0;0;518961
Extras;0;22;0;0;0;0;0;0;518963
Extras;0;15;0;0;0;0;0;0;518964
Extras;0;14;0;0;0;0;0;0;518966
Extras;0;8;0;0;0;0;0;0;518967
Extras;0;17;0;0;0;0;0;0;518968
Extras;0;20;0;0;0;0;0;0;518969
Extras;0;21;0;0;0;0;0;0;518970
Extras;0;8;0;0;0;0;0;0;535795
Extras;0;9;0;0;0;0;0;0;535796
Extras;0;11;0;0;0;0;0;0;535799
Extras;0;31;0;0;0;0;0;0;562439
Extras;0;16;0;0;0;0;0;0;562440
Extras;0;26;0;0;0;0;0;0;562442
Extras;0;22;0;0;0;0;0;0;562443
Extras;0;23;0;0;0;0;0;0;564781
Extras;0;24;0;0;0;0;0;0;564782
Extras;0;20;0;0;0;0;0;0;564783
Extras;0;15;0;0;0;0;0;0;564784
Extras;0;29;0;0;0;0;0;0;564785
Extras;0;14;0;0;0;0;0;0;582188
Extras;0;14;0;0;0;0;0;0;582189
Extras;0;17;0;0;0;0;0;0;582190
Extras;0;6;0;0;0;0;0;0;582191
Extras;0;13;0;0;0;0;0;0;573014
Extras;0;5;0;0;0;0;0;0;573015
Extras;0;5;0;0;0;0;0;0;573016
Extras;0;1;0;0;0;0;0;0;573017
Extras;0;19;0;0;0;0;0;0;573018
Extras;0;17;0;0;0;0;0;0;602474
Extras;0;5;0;0;0;0;0;0;602475
Extras;0;17;0;0;0;0;0;0;602476
Extras;0;3;0;0;0;0;0;0;578617
Extras;0;13;0;0;0;0;0;0;578621
Extras;0;18;0;0;0;0;0;0;578625
Extras;0;13;0;0;0;0;0;0;566947
Extras;0;11;0;0;0;0;0;0;597923
Extras;0;23;0;0;0;0;0;0;597925
Extras;0;31;0;0;0;0;0;0;597927
Extras;0;11;0;0;0;0;0;0;597928
Extras;0;23;0;0;0;0;0;0;597929
Extras;0;22;0;0;0;0;0;0;635653
Extras;0;28;0;0;0;0;0;0;635654
Extras;0;11;0;0;0;0;0;0;635655
Extras;0;20;0;0;0;0;0;0;635656
Extras;0;16;0;0;0;0;0;0;635657
Extras;0;16;0;0;0;0;0;0;668961
Extras;0;8;0;0;0;0;0;0;668963
Extras;0;14;0;0;0;0;0;0;668965
Extras;0;16;0;0;0;0;0;0;657637
Extras;0;17;0;0;0;0;0;0;657639
Extras;0;5;0;0;0;0;0;0;657641
Extras;0;11;0;0;0;0;0;0;657643
Extras;0;12;0;0;0;0;0;0;657645
Extras;0;10;0;0;0;0;0;0;690355
Extras;0;7;0;0;0;0;0;0;690357
Extras;0;7;0;0;0;0;0;0;690359
Extras;0;18;0;0;0;0;0;0;710291
Extras;0;8;0;0;0;0;0;0;710297
Extras;0;18;0;0;0;0;0;0;710303
Extras;0;9;0;0;0;0;0;0;710309
Extras;0;8;0;0;0;0;0;0;710311
Extras;0;19;0;0;0;0;0;0;706767
Extras;0;15;0;0;0;0;0;0;667889
Extras;0;20;0;0;0;0;0;0;667891
Extras;0;7;0;0;0;0;0;0;667893
Extras;0;20;0;0;0;0;0;0;667895
Extras;0;18;0;0;0;0;0;0;667897
Extras;0;11;0;0;0;0;0;0;730083
Extras;0;13;0;0;0;0;0;0;730085
Extras;0;28;0;0;0;0;0;0;730087
Extras;0;13;0;0;0;0;0;0;745159
Extras;0;25;0;0;0;0;0;0;745161
Extras;0;12;0;0;0;0;0;0;745163
Extras;0;18;0;0;0;0;0;0;792289
Extras;0;18;0;0;0;0;0;0;792291
Extras;0;16;0;0;0;0;0;0;792293
Extras;0;16;0;0;0;0;0;0;792295
Extras;0;13;0;0;0;0;0;0;792297
Extras;0;19;0;0;0;0;0;0;750663
Extras;0;7;0;0;0;0;0;0;750665
Extras;0;13;0;0;0;0;0;0;750667
Extras;0;20;0;0;0;0;0;0;750669
Extras;0;19;0;0;0;0;0;0;750671
Extras;0;23;0;0;0;0;0;0;750673
Extras;0;10;0;0;0;0;0;0;750675
Extras;0;7;0;0;0;0;0;0;749781
Extras;0;9;0;0;0;0;0;0;749783
Extras;0;16;0;0;0;0;0;0;749787
Extras;0;16;0;0;0;0;0;0;749789
Extras;0;9;0;0;0;0;0;0;749791
Extras;0;11;0;0;0;0;0;0;749793
Extras;0;11;0;0;0;0;0;0;656399
Extras;0;6;0;0;0;0;0;0;656421
Extras;0;14;0;0;0;0;0;0;656433
Extras;0;12;0;0;0;0;0;0;656441
Extras;0;11;0;0;0;0;0;0;656461
Extras;0;13;0;0;0;0;0;0;656467
Extras;0;15;0;0;0;0;0;0;656483
Extras;0;18;0;0;0;0;0;0;860269
Extras;0;9;0;0;0;0;0;0;860271
Extras;0;11;0;0;0;0;0;0;860273
Extras;0;15;0;0;0;0;0;0;860275
Extras;0;9;0;0;0;0;0;0;860277
Extras;0;13;0;0;0;0;0;0;915777
Extras;0;13;0;0;0;0;0;0;915779
Extras;0;10;0;0;0;0;0;0;915781
Extras;0;8;0;0;0;0;0;0;914207
Extras;0;7;0;0;0;0;0;0;914209
Extras;0;7;0;0;0;0;0;0;914211
Extras;0;12;0;0;0;0;0;0;914215
Extras;0;10;0;0;0;0;0;0;913619
Extras;0;18;0;0;0;0;0;0;913621
Extras;0;6;0;0;0;0;0;0;913623
Extras;0;16;0;0;0;0;0;0;913625
Extras;0;9;0;0;0;0;0;0;913627
Extras;0;7;0;0;0;0;0;0;913629
Extras;0;15;0;0;0;0;0;0;913631
Extras;0;3;0;0;0;0;0;0;995457
Extras;0;20;0;0;0;0;0;0;995459
Extras;0;18;0;0;0;0;0;0;995461
Extras;0;21;0;0;0;0;0;0;995463
Extras;0;9;0;0;0;0;0;0;995465
Extras;0;3;0;0;0;0;0;0;1059710
Extras;0;4;0;0;0;0;0;0;1059711
Extras;0;12;0;0;0;0;0;0;1059714
Extras;0;6;0;0;0;0;0;0;1059716
Extras;0;17;0;0;0;0;0;0;936159
Extras;0;6;0;0;0;0;0;0;936161
Extras;0;9;0;0;0;0;0;0;936163
Extras;0;10;0;0;0;0;0;0;936165
Extras;0;24;0;0;0;0;0;0;936167
Extras;0;9;0;0;0;0;0;0;1083446
Extras;0;22;0;0;0;0;0;0;1083447
Extras;0;19;0;0;0;0;0;0;1083448
Extras;0;15;0;0;0;0;0;0;1022351
Extras;0;17;0;0;0;0;0;0;1022361
Extras;0;19;0;0;0;0;0;0;1022369
Extras;0;9;0;0;0;0;0;0;1104478
Extras;0;12;0;0;0;0;0;0;1104479
Extras;0;22;0;0;0;0;0;0;1104480
Extras;0;13;0;0;0;0;0;0;1104481
Extras;0;27;0;0;0;0;0;0;1104482
Extras;0;16;0;0;0;0;0;0;1109605
Extras;0;22;0;0;0;0;0;0;1109606
Extras;0;19;0;0;0;0;0;0;1109607
Extras;0;13;0;0;0;0;0;0;1109608
Extras;0;14;0;0;0;0;0;0;1109609
Extras;0;10;0;0;0;0;0;0;1120286
Extras;0;11;0;0;0;0;0;0;1120287
Extras;0;13;0;0;0;0;0;0;1120288
Extras;0;13;0;0;0;0;0;0;1120289
Extras;0;9;0;0;0;0;0;0;1120290
Extras;0;13;0;0;0;0;0;0;1122726
Extras;0;11;0;0;0;0;0;0;1122727
Extras;0;8;0;0;0;0;0;0;1122728
Extras;0;18;0;0;0;0;0;0;1130738
Extras;0;8;0;0;0;0;0;0;1130739
Extras;0;7;0;0;0;0;0;0;1130740
Extras;0;9;0;0;0;0;0;0;1130742
Extras;0;9;0;0;0;0;0;0;1130743
Extras;0;19;0;0;0;0;0;0;1142584
Extras;0;11;0;0;0;0;0;0;1142585
Extras;0;10;0;0;0;0;0;0;1142586
Extras;0;22;0;0;0;0;0;0;1142587
Extras;0;25;0;0;0;0;0;0;1142588
Extras;0;1;0;0;0;0;0;0;1153243
Extras;0;13;0;0;0;0;0;0;1153245
Extras;0;7;0;0;0;0;0;0;1140380
Extras;0;12;0;0;0;0;0;0;1140381
Extras;0;19;0;0;0;0;0;0;1140382
Extras;0;15;0;0;0;0;0;0;1140383
Extras;0;23;0;0;0;0;0;0;1153840
Extras;0;19;0;0;0;0;0;0;1153841
Extras;0;10;0;0;0;0;0;0;1153842
Extras;0;7;0;0;0;0;0;0;1144167
Extras;0;14;0;0;0;0;0;0;1144168
Extras;0;10;0;0;0;0;0;0;1144169
Extras;0;14;0;0;0;0;0;0;1144170
Extras;0;23;0;0;0;0;0;0;1144171
Extras;0;13;0;0;0;0;0;0;1169332
Extras;0;11;0;0;0;0;0;0;1144485
Extras;0;35;0;0;0;0;0;0;1144489
Extras;0;8;0;0;0;0;0;0;1144502
Extras;0;10;0;0;0;0;0;0;1144509
Extras;0;20;0;0;0;0;0;0;1144517
Extras;0;19;0;0;0;0;0;0;1144521
Extras;0;15;0;0;0;0;0;0;1144526
Extras;0;18;0;0;0;0;0;0;1193504
Extras;0;22;0;0;0;0;0;0;1193505
Extras;0;4;0;0;0;0;0;0;1193506
Extras;0;21;0;0;0;0;0;0;1198487
Extras;0;18;0;0;0;0;0;0;1198488
