Score;Wickets;Overs;RPO;Target;Inning;Result;Opposition;Ground;Date;Match_Id;URL_Text;Batting_Session;Bowling_Session;Venue;Toss_Won;Toss;Series;Season;Player Of The Match;Match number;Hours of play (local time);Match days;ODI debut;Umpires;TV Umpire;Reserve Umpire;Match Referee;Points;Player Of The Series;Series result;LIST-A debut
121;5;24.0;5.04;193;2;lost;South Africa;Durban;10 Mar 2019;1144169;ODI # 4112;;;Kingsmead, Durban;True;Sri Lanka, elected to field first;Sri Lanka tour of South Africa;2018/19;Quinton de Kock;ODI No. 4112;;10 March 2019 - day match (50-over match);Kamindu Mendis;Adrian HoldstockRichard Kettleborough;Aleem Dar;Bongani Jele;Richie Richardson;;;South Africa led the 5-match series 3-0 ;
189;10;39.2;4.80;;1;lost;South Africa;Port Elizabeth;13 Mar 2019;1144170;ODI # 4114;;;St George's Park, Port Elizabeth;False;South Africa, elected to field first;Sri Lanka tour of South Africa;2018/19;Isuru Udana;ODI No. 4114;;13 March 2019 - daynight match (50-over match);Priyamal Perera;Aleem DarShaun George;Richard Kettleborough;Adrian Holdstock;Richie Richardson;;;South Africa led the 5-match series 4-0 ;
225;10;49.3;4.54;;1;lost;South Africa;Cape Town;16 Mar 2019;1144171;ODI # 4115;;;Newlands, Cape Town;True;Sri Lanka, elected to bat first;Sri Lanka tour of South Africa;2018/19;Aiden Markram;ODI No. 4115;;16 March 2019 - daynight match (50-over match);;Richard KettleboroughShaun George;Aleem Dar;Adrian Holdstock;Richie Richardson;;Quinton de Kock;South Africa won the 5-match series 5-0 ;
322;8;50.0;6.44;;1;won;Scotland;Edinburgh;21 May 2019;1169332;ODI # 4142;11.00-14.30;15.15-18.45;Grange Cricket Club, Raeburn Place, Edinburgh;False;Scotland, elected to field first;Sri Lanka tour of England and Scotland;2019;Nuwan Pradeep;ODI No. 4142;11.00 start, First Session 11.00-14.30 Interval 14.30-15.15, Second Session 15.15-18.45;21 May 2019 - day match (50-over match);;David McLeanGregory Brathwaite;;Allan Haggo;Javagal Srinath;;;Sri Lanka won the 2-match series 1-0 ;
136;10;29.2;4.63;;1;lost;New Zealand;Cardiff;1 Jun 2019;1144485;ODI # 4145;10.30-14.00;14.45-18.15;Sophia Gardens, Cardiff;False;New Zealand, elected to field first;ICC Cricket World CupSri Lanka tour of England and Scotland;2019;Matt Henry;ODI No. 4145;10.30 start, First Session 10.30-14.00 Interval 14.00-14.45, Second Session 14.45-18.15;01 June 2019 - day match (50-over match);;Ian GouldRod Tucker;Nigel Llong;Paul Wilson;Andy Pycroft;New Zealand 2, Sri Lanka 0;;;
201;10;36.5;5.45;;1;won;Afghanistan;Cardiff;4 Jun 2019;1144489;ODI # 4149;10.30-14.00;14.30-18.00;Sophia Gardens, Cardiff;False;Afghanistan, elected to field first;ICC Cricket World CupAfghanistan tour of England and Scotland;2019;Nuwan Pradeep;ODI No. 4149;10.30 start, First Session 10.30-14.00 Interval 14.00-14.30, Second Session 14.30-18.00;04 June 2019 - day match (50-over match);;Nigel LlongPaul Wilson;Rod Tucker;Ian Gould;Andy Pycroft;Sri Lanka 2, Afghanistan 0;;;
247;10;45.5;5.38;335;2;lost;Australia;The Oval;15 Jun 2019;1144502;ODI # 4159;14.30-18.00;10.30-14.00;Kennington Oval, London;True;Sri Lanka, elected to field first;ICC Cricket World CupSri Lanka tour of England and Scotland;2019;Aaron Finch;ODI No. 4159;10.30 start, First Session 10.30-14.00 Interval 14.00-14.30, Second Session 14.30-18.00;15 June 2019 - day match (50-over match);;Aleem DarRichard Illingworth;Michael Gough;Richard Kettleborough;Jeff Crowe;Australia 2, Sri Lanka 0;;;
232;9;50.0;4.64;;1;won;England;Leeds;21 Jun 2019;1144509;ODI # 4168;10.30-14.00;14.30-18.00;Headingley, Leeds;True;Sri Lanka, elected to bat first;ICC Cricket World CupSri Lanka tour of England and Scotland;2019;Lasith Malinga;ODI No. 4168;10.30 start, First Session 10.30-14.00 Interval 14.00-14.30, Second Session 14.30-18.00;21 June 2019 - day match (50-over match);;Marais ErasmusPaul Wilson;Bruce Oxenford;Paul Reiffel;Richie Richardson;Sri Lanka 2, England 0;;;
203;10;49.3;4.10;;1;lost;South Africa;Chester-le-Street;28 Jun 2019;1144517;ODI # 4176;10.30-14.00;14.30-18.00;Riverside Ground, Chester-le-Street;False;South Africa, elected to field first;ICC Cricket World CupSri Lanka tour of England and Scotland;2019;Dwaine Pretorius;ODI No. 4176;10.30 start, First Session 10.30-14.00 Interval 14.00-14.30, Second Session 14.30-18.00;28 June 2019 - day match (50-over match);;Rod TuckerSundaram Ravi;Bruce Oxenford;Paul Reiffel;David Boon;South Africa 2, Sri Lanka 0;;;
338;6;50.0;6.76;;1;won;West Indies;Chester-le-Street;1 Jul 2019;1144521;ODI # 4180;10.30-14.00;14.30-18.00;Riverside Ground, Chester-le-Street;False;West Indies, elected to field first;ICC Cricket World CupSri Lanka tour of England and Scotland;2019;Avishka Fernando;ODI No. 4180;10.30 start, First Session 10.30-14.00 Interval 14.00-14.30, Second Session 14.30-18.00;01 July 2019 - day match (50-over match);;Bruce OxenfordPaul Reiffel;Sundaram Ravi;Rod Tucker;David Boon;Sri Lanka 2, West Indies 0;;;
264;7;50.0;5.28;;1;lost;India;Leeds;6 Jul 2019;1144526;ODI # 4187;10.30-14.00;14.30-18.00;Headingley, Leeds;True;Sri Lanka, elected to bat first;ICC Cricket World CupSri Lanka tour of England and Scotland;2019;Rohit Sharma;ODI No. 4187;10.30 start, First Session 10.30-14.00 Interval 14.00-14.30, Second Session 14.30-18.00;06 July 2019 - day match (50-over match);;Ian GouldPaul Wilson;Chris Gaffaney;Nigel Llong;Chris Broad;India 2, Sri Lanka 0;;;
314;8;50.0;6.28;;1;won;Bangladesh;Colombo (RPS);26 Jul 2019;1193504;ODI # 4193;;;R.Premadasa Stadium, Khettarama, Colombo;True;Sri Lanka, elected to bat first;Bangladesh tour of Sri Lanka;2019;Kusal Perera;ODI No. 4193;;26 July 2019 - daynight match (50-over match);;Nitin MenonRaveendra Wimalasiri;Marais Erasmus;Lyndon Hannibal;Chris Broad;;;Sri Lanka led the 3-match series 1-0 ;
242;3;44.4;5.41;239;2;won;Bangladesh;Colombo (RPS);28 Jul 2019;1193505;ODI # 4194;;;R.Premadasa Stadium, Khettarama, Colombo;False;Bangladesh, elected to bat first;Bangladesh tour of Sri Lanka;2019;Avishka Fernando;ODI No. 4194;;28 July 2019 - daynight match (50-over match);;Lyndon HannibalMarais Erasmus;Nitin Menon;Raveendra Wimalasiri;Chris Broad;;;Sri Lanka led the 3-match series 2-0 ;
294;8;50.0;5.88;;1;won;Bangladesh;Colombo (RPS);31 Jul 2019;1193506;ODI # 4195;;;R.Premadasa Stadium, Khettarama, Colombo;True;Sri Lanka, elected to bat first;Bangladesh tour of Sri Lanka;2019;Angelo Mathews;ODI No. 4195;;31 July 2019 - daynight match (50-over match);;Nitin MenonRaveendra Wimalasiri;Marais Erasmus;Lyndon Hannibal;Chris Broad;;Angelo Mathews;Sri Lanka won the 3-match series 3-0 ;
238;10;46.5;5.08;306;2;lost;Pakistan;Karachi;30 Sep 2019;1198487;ODI # 4211;19.15-22.45;15.00-18.30;National Stadium, Karachi;False;Pakistan, elected to bat first;Sri Lanka tour of Pakistan;2019/20;Usman Shinwari;ODI No. 4211;15.00 start, First Session 15.00-18.30, Interval 18.30-19.15, Second Session 19.15-22.45;30 September 2019 - daynight match (50-over match);;Michael GoughShozab Raza;Joel Wilson;Ahsan Raza;David Boon;;;Pakistan led the 3-match series 1-0 ;
297;9;50.0;5.94;;1;lost;Pakistan;Karachi;2 Oct 2019;1198488;ODI # 4212;15.00-18.30;19.15-22.45;National Stadium, Karachi;True;Sri Lanka, elected to bat first;Sri Lanka tour of Pakistan;2019/20;Abid Ali;ODI No. 4212;15.00 start, First Session 15.00-18.30, Interval 18.30-19.15, Second Session 19.15-22.45;02 October 2019 - daynight match (50-over match);Minod Bhanuka;Aleem DarJoel Wilson;Michael Gough;Asif Yaqoob;David Boon;;Babar Azam;Pakistan won the 3-match series 2-0 ;
