Score;Wickets;Overs;RPO;Target;Inning;Result;Opposition;Ground;Date;Match_Id;URL_Text;Batting_Session;Bowling_Session;Venue;Toss_Won;Toss;Series;Season;Player Of The Match;Match number;Hours of play (local time);Match days;ODI debut;Umpires;TV Umpire;Reserve Umpire;Match Referee;Points;Player Of The Series;Series result;LIST-A debut
213;3;41.1;5.17;;1;won;Australia;Sydney;5 Nov 2010;446958;ODI # 3066;14.20-17.50;18.35-22.05;Sydney Cricket Ground;True;Sri Lanka, elected to bat first;Sri Lanka tour of Australia;2010/11;Upul Tharanga;ODI No. 3066;14.20 start, First Session 14.20-17.50 Interval 17.50-18.35, Second Session 18.35-22.05;5 November 2010 - daynight match (50-over match);;Bruce OxenfordMarais Erasmus;Paul Reiffel;;Chris Broad;;;Sri Lanka led the 3-match series 2-0 ;
115;10;32.0;3.59;;1;lost;Australia;Brisbane;7 Nov 2010;446959;ODI # 3068;13.20-16.50;17.35-21.05;Brisbane Cricket Ground, Woolloongabba, Brisbane;True;Sri Lanka, elected to bat first;Sri Lanka tour of Australia;2010/11;Clint McKay;ODI No. 3068;13.20 start, First Session 13.20-16.50 Interval 16.50-17.35, Second Session 17.35-21.05;7 November 2010 - daynight match (50-over match);;Marais ErasmusPaul Reiffel;Bruce Oxenford;Ashley Barrow;Chris Broad;;Lasith Malinga;Sri Lanka won the 3-match series 2-1 ;
DNB;0;0.0;-;;0;n/r;West Indies;Colombo (SSC);31 Jan 2011;464990;ODI # 3092;13.45-17.15;09.30-13.00;Sinhalese Sports Club Ground, Colombo;False;West Indies, elected to bat first;West Indies tour of Sri Lanka;2010/11;;ODI No. 3092;09.30 start, First Session 09.30-13.00, Interval 13.00-13.45, Second Session 13.45-17.15;31 January 2011 - day match (50-over match);;Asoka de SilvaBruce Oxenford;Tyron Wijewardene;Rohitha Kottahachchi;Andy Pycroft;;;3-match series level 0-0 ;
199;2;42.3;4.68;197;2;won;West Indies;Colombo (SSC);3 Feb 2011;464991;ODI # 3096;13.45-17.15;09.30-13.00;Sinhalese Sports Club Ground, Colombo;True;Sri Lanka, elected to field first;West Indies tour of Sri Lanka;2010/11;Upul Tharanga;ODI No. 3096;09.30 start, First Session 09.30-13.00, Interval 13.00-13.45, Second Session 13.45-17.15;3 February 2011 - day match (50-over match);;Bruce OxenfordKumar Dharmasena;Ranmore Martinesz;Prageeth Rambukwella;Andy Pycroft;;;Sri Lanka led the 3-match series 1-0 ;
277;9;50.0;5.54;;1;won;West Indies;Colombo (SSC);6 Feb 2011;464992;ODI # 3099;09.30-13.00;13.45-17.15;Sinhalese Sports Club Ground, Colombo;False;West Indies, elected to field first;West Indies tour of Sri Lanka;2010/11;Kumar Sangakkara;ODI No. 3099;09.30 start, First Session 09.30-13.00, Interval 13.00-13.45, Second Session 13.45-17.15;6 February 2011 - day match (50-over match);;Asoka de SilvaBruce Oxenford;Tyron Wijewardene;Gamini Dissanayake;Andy Pycroft;;Upul Tharanga;Sri Lanka won the 3-match series 2-0 ;
332;7;50.0;6.64;;1;won;Canada;Hambantota;20 Feb 2011;433560;ODI # 3102;14.30-18.00;18.45-22.15;Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota;True;Sri Lanka, elected to bat first;ICC Cricket World Cup;2010/11;Mahela Jayawardene;ODI No. 3102;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;20 February 2011 - daynight match (50-over match);Tyson Gordon;Ian GouldShavir Tarapore;Tony Hill;Daryl Harper;Chris Broad;Sri Lanka 2, Canada 0;;;
266;9;50.0;5.32;278;2;lost;Pakistan;Colombo (RPS);26 Feb 2011;433567;ODI # 3109;18.45-22.15;14.30-18.00;R.Premadasa Stadium, Khettarama, Colombo;False;Pakistan, elected to bat first;ICC Cricket World Cup;2010/11;Shahid Afridi;ODI No. 3109;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;26 February 2011 - daynight match (50-over match);;Daryl HarperIan Gould;Nigel Llong;Tony Hill;Chris Broad;Pakistan 2, Sri Lanka 0;;;
146;1;18.4;7.82;143;2;won;Kenya;Colombo (RPS);1 Mar 2011;433571;ODI # 3113;18.45-22.15;14.30-18.00;R.Premadasa Stadium, Khettarama, Colombo;False;Kenya, elected to bat first;ICC Cricket World Cup;2010/11;Lasith Malinga;ODI No. 3113;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;1 March 2011 - daynight match (50-over match);;Shavir TaraporeTony Hill;Ian Gould;Daryl Harper;Chris Broad;Sri Lanka 2, Kenya 0;;;
146;3;32.5;4.44;;1;n/r;Australia;Colombo (RPS);5 Mar 2011;433577;ODI # 3119;14.30-18.00;18.45-22.15;R.Premadasa Stadium, Khettarama, Colombo;True;Sri Lanka, elected to bat first;ICC Cricket World Cup;2010/11;;ODI No. 3119;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;5 March 2011 - daynight match (50-over match);;Ian GouldTony Hill;Shavir Tarapore;Nigel Llong;Chris Broad;Sri Lanka 1, Australia 1;;;
327;6;50.0;6.54;;1;won;Zimbabwe;Pallekele;10 Mar 2011;433583;ODI # 3125;14.30-18.00;18.45-22.15;Pallekele International Cricket Stadium;False;Zimbabwe, elected to field first;ICC Cricket World Cup;2010/11;Tillakaratne Dilshan;ODI No. 3125;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;10 March 2011 - daynight match (50-over match);;Marais ErasmusNigel Llong;Tony Hill;Ranmore Martinesz;Chris Broad;Sri Lanka 2, Zimbabwe 0;;;
265;9;50.0;5.30;;1;won;New Zealand;Mumbai;18 Mar 2011;433594;ODI # 3137;14.30-18.00;18.45-22.15;Wankhede Stadium, Mumbai;True;Sri Lanka, elected to bat first;ICC Cricket World Cup;2010/11;Kumar Sangakkara;ODI No. 3137;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;18 March 2011 - daynight match (50-over match);;Asad RaufRichard Kettleborough;Amiesh Saheba;Billy Bowden;Andy Pycroft;Sri Lanka 2, New Zealand 0;;;
231;0;39.3;5.84;230;2;won;England;Colombo (RPS);26 Mar 2011;433603;ODI # 3145;18.45-22.15;14.30-18.00;R.Premadasa Stadium, Khettarama, Colombo;False;England, elected to bat first;ICC Cricket World Cup;2010/11;Tillakaratne Dilshan;ODI No. 3145;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;26 March 2011 - daynight match (50-over match);;Billy DoctroveSimon Taufel;Tony Hill;Shavir Tarapore;Jeff Crowe;;;Sri Lanka advanced ;
220;5;47.5;4.59;218;2;won;New Zealand;Colombo (RPS);29 Mar 2011;433604;ODI # 3146;18.45-22.15;14.30-18.00;R.Premadasa Stadium, Khettarama, Colombo;False;New Zealand, elected to bat first;ICC Cricket World Cup;2010/11;Kumar Sangakkara;ODI No. 3146;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;29 March 2011 - daynight match (50-over match);;Aleem DarSteve Davis;Marais Erasmus;Billy Doctrove;Chris Broad;;;Sri Lanka advanced ;
274;6;50.0;5.48;;1;lost;India;Mumbai;2 Apr 2011;433606;ODI # 3148;14.30-18.00;18.45-22.15;Wankhede Stadium, Mumbai;True;Sri Lanka, elected to bat first;ICC Cricket World Cup;2010/11;MS Dhoni;ODI No. 3148;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;2 April 2011 - daynight match (50-over match);;Aleem DarSimon Taufel;Ian Gould;Steve Davis;Jeff Crowe;;Yuvraj Singh;India won the 2010/11 ICC Cricket World Cup ;
121;10;27.0;4.48;232;2;lost;England;The Oval;28 Jun 2011;474467;ODI # 3165;17.15-20.45;13.00-16.30;Kennington Oval, London;True;Sri Lanka, elected to field first;Sri Lanka tour of England and Scotland;2011;James Anderson;ODI No. 3165;13.00 start, First Session 13.00-16.30, Interval 16.30-17.15, Second Session 17.15-20.45;28 June 2011 - daynight match (50-over match);Jade Dernbach;Billy BowdenRichard Illingworth;Rob Bailey;Nigel Llong;Alan Hurst;;;England led the 5-match series 1-0 ;
309;5;50.0;6.18;;1;won;England;Leeds;1 Jul 2011;474468;ODI # 3167;10.45-14.15;15.00-18.30;Headingley, Leeds;False;England, elected to field first;Sri Lanka tour of England and Scotland;2011;Mahela Jayawardene;ODI No. 3167;10.45 start, First Session 10.45-14.15, Interval 14.15-15.00, Second Session 15.00-18.30;1 July 2011 - day match (50-over match);;Billy BowdenRichard Kettleborough;Nigel Llong;Rob Bailey;Alan Hurst;;;5-match series level 1-1 ;
249;4;48.2;5.15;247;2;won;England;Lord's;3 Jul 2011;474469;ODI # 3168;15.00-18.30;10.45-14.15;Lord's, London;False;England, elected to bat first;Sri Lanka tour of England and Scotland;2011;Dinesh Chandimal;ODI No. 3168;10.45 start, First Session 10.45-14.15, Interval 14.15-15.00, Second Session 15.00-18.30;3 July 2011 - day match (50-over match);;Billy BowdenNigel Llong;Richard Illingworth;Jeremy Lloyds;Alan Hurst;;;Sri Lanka led the 5-match series 2-1 ;
174;10;43.4;3.98;;1;lost;England;Nottingham;6 Jul 2011;474470;ODI # 3169;14.00-17.30;18.15-21.45;Trent Bridge, Nottingham;False;England, elected to field first;Sri Lanka tour of England and Scotland;2011;Alastair Cook;ODI No. 3169;14.00 start, First Session 14.00-17.30, Interval 17.30-18.15, Second Session 18.15-21.45;6 July 2011 - daynight match (50-over match);;Billy BowdenRichard Illingworth;Nigel Llong;Rob Bailey;Alan Hurst;;;5-match series level 2-2 ;
252;10;48.2;5.21;269;2;lost;England;Manchester;9 Jul 2011;474471;ODI # 3170;15.00-18.30;10.45-14.15;Old Trafford, Manchester;False;England, elected to bat first;Sri Lanka tour of England and Scotland;2011;Jonathan Trott;ODI No. 3170;10.45 start, First Session 10.45-14.15, Interval 14.15-15.00, Second Session 15.00-18.30;9 July 2011 - day match (50-over match);Dimuth Karunaratne;Billy BowdenNigel Llong;Rob Bailey;Richard Illingworth;Alan Hurst;;Alastair Cook;England won the 5-match series 3-2 ;
284;7;50.0;5.68;;1;won;Scotland;Edinburgh;13 Jul 2011;506208;ODI # 3172;10.45-14.15;15.00-18.30;Grange Cricket Club, Raeburn Place, Edinburgh;False;Scotland, elected to field first;Tri-Nation Tournament in ScotlandSri Lanka tour of England and Scotland;2011;;ODI No. 3172;10.45 start, First Session 10.45-14.15, Interval 14.15-15.00, Second Session 15.00-18.30;13 July 2011 - day match (50-over match);;Ian RamageMarais Erasmus;;Brian Anderson;David Jukes;Sri Lanka 5, Scotland 0;;Sri Lanka won the 2011 Tri-Nation Tournament in Scotland ;
191;10;41.1;4.63;;1;lost;Australia;Pallekele;10 Aug 2011;516206;ODI # 3175;14.30-18.00;18.45-22.15;Pallekele International Cricket Stadium;True;Sri Lanka, elected to bat first;Australia tour of Sri Lanka;2011;Mitchell Johnson;ODI No. 3175;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;10 August 2011 - daynight match (50-over match);;Asoka de SilvaTony Hill;Asad Rauf;Ranmore Martinesz;Javagal Srinath;;;Australia led the 5-match series 1-0 ;
208;10;49.3;4.20;;1;lost;Australia;Hambantota;14 Aug 2011;516207;ODI # 3178;14.30-18.00;18.45-22.15;Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota;True;Sri Lanka, elected to bat first;Australia tour of Sri Lanka;2011;Ricky Ponting;ODI No. 3178;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;14 August 2011 - daynight match (50-over match);;Ruchira PalliyagurugeTony Hill;Asad Rauf;Asoka de Silva;Javagal Srinath;;;Australia led the 5-match series 2-0 ;
286;9;50.0;5.72;;1;won;Australia;Hambantota;16 Aug 2011;516208;ODI # 3180;14.30-18.00;18.45-22.15;Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota;False;Australia, elected to field first;Australia tour of Sri Lanka;2011;Upul Tharanga;ODI No. 3180;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;16 August 2011 - daynight match (50-over match);Shaminda Eranga;Asad RaufRanmore Martinesz;Tony Hill;Ruchira Palliyaguruge;Javagal Srinath;;;Australia led the 5-match series 2-1 ;
132;10;38.4;3.41;;1;lost;Australia;Colombo (RPS);20 Aug 2011;516209;ODI # 3182;14.30-18.00;18.45-22.15;R.Premadasa Stadium, Khettarama, Colombo;True;Sri Lanka, elected to bat first;Australia tour of Sri Lanka;2011;Xavier Doherty;ODI No. 3182;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;20 August 2011 - daynight match (50-over match);Seekkuge Prasanna;Asoka de SilvaTony Hill;Asad Rauf;Ranmore Martinesz;Javagal Srinath;;;Australia led the 5-match series 3-1 ;
213;6;47.0;4.53;212;2;won;Australia;Colombo (RPS);22 Aug 2011;516210;ODI # 3184;18.45-22.15;14.30-18.00;R.Premadasa Stadium, Khettarama, Colombo;True;Sri Lanka, elected to field first;Australia tour of Sri Lanka;2011;Lasith Malinga;ODI No. 3184;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;22 August 2011 - daynight match (50-over match);;Asad RaufRanmore Martinesz;Tony Hill;Ruchira Palliyaguruge;Javagal Srinath;;Michael Clarke;Australia won the 5-match series 3-2 ;
131;10;40.3;3.23;;1;lost;Pakistan;Dubai (DSC);11 Nov 2011;530427;ODI # 3212;15.00-18.30;19.15-22.45;Dubai International Cricket Stadium;True;Sri Lanka, elected to bat first;Sri Lanka tour of United Arab Emirates;2011/12;Shahid Afridi;ODI No. 3212;15.00 start, First Session 15.00-18.30, Interval 18.30-19.15, Second Session 19.15-22.45;11 November 2011 - daynight match (50-over match);Kosala Kulasekara;Ahsan RazaMarais Erasmus;Richard Illingworth;Zameer Haider;Andy Pycroft;;;Pakistan led the 5-match series 1-0 ;
235;7;50.0;4.70;;1;won;Pakistan;Dubai (DSC);14 Nov 2011;530428;ODI # 3213;15.00-18.30;19.15-22.45;Dubai International Cricket Stadium;True;Sri Lanka, elected to bat first;Sri Lanka tour of United Arab Emirates;2011/12;Lasith Malinga;ODI No. 3213;15.00 start, First Session 15.00-18.30, Interval 18.30-19.15, Second Session 19.15-22.45;14 November 2011 - daynight match (50-over match);;Richard IllingworthZameer Haider;Marais Erasmus;Ahsan Raza;Andy Pycroft;;;5-match series level 1-1 ;
236;10;48.5;4.83;258;2;lost;Pakistan;Dubai (DSC);18 Nov 2011;530429;ODI # 3214;19.15-22.45;15.00-18.30;Dubai International Cricket Stadium;False;Pakistan, elected to bat first;Sri Lanka tour of United Arab Emirates;2011/12;Mohammad Hafeez;ODI No. 3214;15.00 start, First Session 15.00-18.30, Interval 18.30-19.15, Second Session 19.15-22.45;18 November 2011 - daynight match (50-over match);;Ahsan RazaMarais Erasmus;Richard Illingworth;Zameer Haider;Andy Pycroft;;;Pakistan led the 5-match series 2-1 ;
174;10;45.2;3.83;201;2;lost;Pakistan;Sharjah;20 Nov 2011;530430;ODI # 3215;19.15-22.45;15.00-18.30;Sharjah Cricket Stadium;False;Pakistan, elected to bat first;Sri Lanka tour of United Arab Emirates;2011/12;Shahid Afridi;ODI No. 3215;15.00 start, First Session 15.00-18.30, Interval 18.30-19.15, Second Session 19.15-22.45;20 November 2011 - daynight match (50-over match);;Richard IllingworthZameer Haider;Marais Erasmus;Ahsan Raza;Andy Pycroft;;;Pakistan led the 5-match series 3-1 ;
218;9;50.0;4.36;;1;lost;Pakistan;Abu Dhabi;23 Nov 2011;530431;ODI # 3216;15.00-18.30;19.15-22.45;Sheikh Zayed Stadium, Abu Dhabi;True;Sri Lanka, elected to bat first;Sri Lanka tour of United Arab Emirates;2011/12;Umar Akmal;ODI No. 3216;15.00 start, First Session 15.00-18.30, Interval 18.30-19.15, Second Session 19.15-22.45;23 November 2011 - daynight match (50-over match);;Ahsan RazaMarais Erasmus;Richard Illingworth;Zameer Haider;Andy Pycroft;;Shahid Afridi;Pakistan won the 5-match series 4-1 ;
43;10;20.1;2.13;302;2;lost;South Africa;Paarl;11 Jan 2012;514035;ODI # 3225;18.45-22.15;14.30-18.00;Boland Park, Paarl;False;South Africa, elected to bat first;Sri Lanka tour of South Africa;2011/12;Morne Morkel;ODI No. 3225;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;11 January 2012 - daynight match (50-over match);;Billy DoctroveMarais Erasmus;Richard Kettleborough;Johan Cloete;Jeff Crowe;;;South Africa led the 5-match series 1-0 ;
236;6;50.0;4.72;;1;lost;South Africa;East London;14 Jan 2012;514036;ODI # 3226;10.00-13.30;14.15-17.45;Buffalo Park, East London;False;South Africa, elected to field first;Sri Lanka tour of South Africa;2011/12;Jean-Paul Duminy;ODI No. 3226;10.00 start, First Session 10.00-13.30, Interval 13.30-14.15, Second Session 14.15-17.45;14 January 2012 - day match (50-over match);;Billy DoctroveShaun George;Nigel Llong;Marais Erasmus;Jeff Crowe;;;South Africa led the 5-match series 2-0 ;
266;9;50.0;5.32;;1;lost;South Africa;Bloemfontein;17 Jan 2012;514037;ODI # 3227;14.30-18.00;18.45-22.15;Mangaung Oval, Bloemfontein;True;Sri Lanka, elected to bat first;Sri Lanka tour of South Africa;2011/12;Faf du Plessis;ODI No. 3227;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;17 January 2012 - daynight match (50-over match);;Johan CloeteNigel Llong;Billy Doctrove;Shaun George;Jeff Crowe;;;South Africa led the 5-match series 3-0 ;
304;5;48.4;6.24;300;2;won;South Africa;Kimberley;20 Jan 2012;514038;ODI # 3228;18.45-22.15;14.30-18.00;Diamond Oval, Kimberley;False;South Africa, elected to bat first;Sri Lanka tour of South Africa;2011/12;Thisara Perera;ODI No. 3228;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;20 January 2012 - daynight match (50-over match);Sachithra Senanayake;Billy DoctroveJohan Cloete;Nigel Llong;Shaun George;Jeff Crowe;;;South Africa led the 5-match series 3-1 ;
314;8;49.5;6.30;313;2;won;South Africa;Johannesburg;22 Jan 2012;514039;ODI # 3229;14.15-17.45;10.00-13.30;The Wanderers Stadium, Johannesburg;True;Sri Lanka, elected to field first;Sri Lanka tour of South Africa;2011/12;Kumar Sangakkara;ODI No. 3229;10.00 start, First Session 10.00-13.30, Interval 13.30-14.15, Second Session 14.15-17.45;22 January 2012 - day match (50-over match);;Marais ErasmusNigel Llong;Billy Doctrove;Johan Cloete;Jeff Crowe;;AB de Villiers;South Africa won the 5-match series 3-2 ;
233;8;50.0;4.66;;1;lost;India;Perth;8 Feb 2012;518957;ODI # 3233;12.20-15.50;16.35-20.05;W.A.C.A. Ground, Perth;True;Sri Lanka, elected to bat first;Commonwealth Bank SeriesSri Lanka tour of Australia;2011/12;Ravichandran Ashwin;ODI No. 3233;12.20 start, First Session 12.20-15.50, Interval 15.50-16.35, Second Session 16.35-20.05;8 February 2012 - daynight match (50-over match);;Nigel LlongPaul Reiffel;Bruce Oxenford;Ian Lock;Andy Pycroft;India 4, Sri Lanka 0;;;
226;10;49.5;4.53;232;2;lost;Australia;Perth;10 Feb 2012;518958;ODI # 3235;16.35-20.05;12.20-15.50;W.A.C.A. Ground, Perth;True;Sri Lanka, elected to field first;Commonwealth Bank SeriesSri Lanka tour of Australia;2011/12;Michael Clarke;ODI No. 3235;12.20 start, First Session 12.20-15.50, Interval 15.50-16.35, Second Session 16.35-20.05;10 February 2012 - daynight match (50-over match);;Bruce OxenfordNigel Llong;Paul Reiffel;Ian Lock;Andy Pycroft;Australia 4, Sri Lanka 0;;;
236;9;50.0;4.72;;1;tied;India;Adelaide;14 Feb 2012;518960;ODI # 3239;13.50-17.20;18.05-21.35;Adelaide Oval;True;Sri Lanka, elected to bat first;Commonwealth Bank SeriesSri Lanka tour of Australia;2011/12;MS Dhoni;ODI No. 3239;13.50 start, First Session 13.50-17.20, Interval 17.20-18.05, Second Session 18.05-21.35;14 February 2012 - daynight match (50-over match);;Nigel LlongSimon Fry;Bruce Oxenford;;Andy Pycroft;Sri Lanka 2, India 2;;;
152;2;24.1;6.28;152;2;won;Australia;Sydney;17 Feb 2012;518961;ODI # 3241;18.25-21.55;14.20-17.50;Sydney Cricket Ground;False;Australia, elected to bat first;Commonwealth Bank SeriesSri Lanka tour of Australia;2011/12;Thisara Perera;ODI No. 3241;14.20 start, First Session 14.20-17.50, Interval 17.50-18.25, Second Session 18.25-21.55;17 February 2012 - daynight match (50-over match);;Billy BowdenSimon Fry;Bruce Oxenford;Gerard Abood;Andy Pycroft;Sri Lanka 5, Australia 0;;;
289;6;50.0;5.78;;1;won;India;Brisbane;21 Feb 2012;518963;ODI # 3246;13.20-16.50;17.35-21.05;Brisbane Cricket Ground, Woolloongabba, Brisbane;True;Sri Lanka, elected to bat first;Commonwealth Bank SeriesSri Lanka tour of Australia;2011/12;Nuwan Kulasekara;ODI No. 3246;13.20 start, First Session 13.20-16.50, Interval 16.50-17.35, Second Session 17.35-21.05;21 February 2012 - daynight match (50-over match);;Billy BowdenPaul Reiffel;Steve Davis;Bruce Oxenford;Chris Broad;Sri Lanka 4, India 0;;;
283;7;49.2;5.73;281;2;won;Australia;Hobart;24 Feb 2012;518964;ODI # 3248;18.25-21.55;14.20-17.50;Bellerive Oval, Hobart;False;Australia, elected to bat first;Commonwealth Bank SeriesSri Lanka tour of Australia;2011/12;Mahela Jayawardene;ODI No. 3248;14.20 start, First Session 14.20-17.50, Interval 17.50-18.25, Second Session 18.25-21.55;24 February 2012 - daynight match (50-over match);;Billy BowdenBruce Oxenford;Simon Fry;Geoff Joshua;Chris Broad;Sri Lanka 4, Australia 0;;;
320;4;50.0;6.40;;1;lost;India;Hobart;28 Feb 2012;518966;ODI # 3251;14.20-17.50;18.25-21.55;Bellerive Oval, Hobart;False;India, elected to field first;Commonwealth Bank SeriesSri Lanka tour of Australia;2011/12;Virat Kohli;ODI No. 3251;14.20 start, First Session 14.20-17.50, Interval 17.50-18.25, Second Session 18.25-21.55;28 February 2012 - daynight match (50-over match);;Asad RaufSimon Taufel;Simon Fry;Ashley Barrow;Chris Broad;India 5, Sri Lanka 0;;;
238;10;50.0;4.76;;1;won;Australia;Melbourne;2 Mar 2012;518967;ODI # 3253;14.20-17.50;18.25-21.55;Melbourne Cricket Ground;True;Sri Lanka, elected to bat first;Commonwealth Bank SeriesSri Lanka tour of Australia;2011/12;Dinesh Chandimal;ODI No. 3253;14.20 start, First Session 14.20-17.50, Interval 17.50-18.25, Second Session 18.25-21.55;2 March 2012 - daynight match (50-over match);;Asad RaufRod Tucker;Simon Fry;Ashley Barrow;Chris Broad;Sri Lanka 4, Australia 0;;;
306;10;49.2;6.20;322;2;lost;Australia;Brisbane;4 Mar 2012;518968;ODI # 3255;17.35-21.05;13.20-16.50;Brisbane Cricket Ground, Woolloongabba, Brisbane;False;Australia, elected to bat first;Commonwealth Bank SeriesSri Lanka tour of Australia;2011/12;David Warner;ODI No. 3255;13.20 start, First Session 13.20-16.50, Interval 16.50-17.35, Second Session 17.35-21.05;4 March 2012 - daynight match (50-over match);;Asad RaufPaul Reiffel;Bruce Oxenford;Simon Fry;Chris Broad;;;Australia led the best-of-3-finals 1-0 ;
274;2;44.2;6.18;272;2;won;Australia;Adelaide;6 Mar 2012;518969;ODI # 3256;18.05-21.35;13.50-17.20;Adelaide Oval;False;Australia, elected to bat first;Commonwealth Bank SeriesSri Lanka tour of Australia;2011/12;Tillakaratne Dilshan;ODI No. 3256;13.50 start, First Session 13.50-17.20, Interval 17.20-18.05, Second Session 18.05-21.35;6 March 2012 - daynight match (50-over match);;Asad RaufBruce Oxenford;Paul Reiffel;Simon Fry;Chris Broad;;;Best-of-3-finals level 1-1 ;
215;10;48.5;4.40;232;2;lost;Australia;Adelaide;8 Mar 2012;518970;ODI # 3257;18.05-21.35;13.50-17.20;Adelaide Oval;True;Sri Lanka, elected to field first;Commonwealth Bank SeriesSri Lanka tour of Australia;2011/12;Clint McKay;ODI No. 3257;13.50 start, First Session 13.50-17.20, Interval 17.20-18.05, Second Session 18.05-21.35;8 March 2012 - daynight match (50-over match);Nathan Lyon;Asad RaufBruce Oxenford;Simon Fry;Tony Ward;Chris Broad;;Tillakaratne Dilshan;Australia won the best-of-3-finals 2-1 ;
254;10;45.1;5.62;305;2;lost;India;Dhaka;13 Mar 2012;535795;ODI # 3259;18.15-21.45;14.00-17.30;Shere Bangla National Stadium, Mirpur, Dhaka;True;Sri Lanka, elected to field first;Asia Cup;2011/12;Virat Kohli;ODI No. 3259;14.00 start, First Session 14.00-17.30, Interval 17.30-18.15, Second Session 18.15-21.45;13 March 2012 - daynight match (50-over match);;Ian GouldSteve Davis;Shozab Raza;Gazi Sohel;David Boon;India 4, Sri Lanka 0;;;
188;10;45.4;4.11;;1;lost;Pakistan;Dhaka;15 Mar 2012;535796;ODI # 3260;14.00-17.30;18.15-21.45;Shere Bangla National Stadium, Mirpur, Dhaka;True;Sri Lanka, elected to bat first;Asia Cup;2011/12;Aizaz Cheema;ODI No. 3260;14.00 start, First Session 14.00-17.30, Interval 17.30-18.15, Second Session 18.15-21.45;15 March 2012 - daynight match (50-over match);;Paul ReiffelSteve Davis;Sharfuddoula;Masudur Rahman;David Boon;Pakistan 5, Sri Lanka 0;;;
232;10;49.5;4.65;;1;lost;Bangladesh;Dhaka;20 Mar 2012;535799;ODI # 3265;14.00-17.30;18.15-21.45;Shere Bangla National Stadium, Mirpur, Dhaka;False;Bangladesh, elected to field first;Asia Cup;2011/12;Shakib Al Hasan;ODI No. 3265;14.00 start, First Session 14.00-17.30, Interval 17.30-18.15, Second Session 18.15-21.45;20 March 2012 - daynight match (50-over match);;Paul ReiffelSteve Davis;Sundaram Ravi;Gazi Sohel;David Boon;Bangladesh 4, Sri Lanka 0;;;
135;8;42.0;3.21;;1;lost;Pakistan;Pallekele;7 Jun 2012;562439;ODI # 3272;14.30-18.00;18.45-22.15;Pallekele International Cricket Stadium;True;Sri Lanka, elected to bat first;Pakistan tour of Sri Lanka;2012;Umar Gul;ODI No. 3272;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;7 June 2012 - daynight match (50-over match);;Paul ReiffelRanmore Martinesz;Ruchira Palliyaguruge;Tyron Wijewardene;Chris Broad;;;Pakistan led the 5-match series 1-0 ;
280;4;50.0;5.60;;1;won;Pakistan;Pallekele;9 Jun 2012;562440;ODI # 3273;14.30-18.00;18.45-22.15;Pallekele International Cricket Stadium;True;Sri Lanka, elected to bat first;Pakistan tour of Sri Lanka;2012;Thisara Perera;ODI No. 3273;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;9 June 2012 - daynight match (50-over match);Rahat Ali;Paul ReiffelRuchira Palliyaguruge;Ranmore Martinesz;Tyron Wijewardene;Chris Broad;;;5-match series level 1-1 ;
DNB;0;0.0;-;;0;n/r;Pakistan;Colombo (RPS);13 Jun 2012;562441;ODI # 3274;18.45-22.15;14.30-18.00;R.Premadasa Stadium, Khettarama, Colombo;False;Pakistan, elected to bat first;Pakistan tour of Sri Lanka;2012;;ODI No. 3274;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;13 June 2012 - daynight match (50-over match);Sajeewa Weerakoon;Asoka de SilvaPaul Reiffel;Ruchira Palliyaguruge;Ravindra Kottahachchi;Chris Broad;;;5-match series level 1-1 ;
