Name,Overs,Balls,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Match_Id
Nuwan Kulasekara,10,60,1,46,1,4.6,28,2,0,1,0,434258
Chanaka Welegedara,8,48,0,39,0,4.88,27,5,0,1,0,434258
Tillakaratne Dilshan,3,18,0,16,1,5.33,11,1,0,1,0,434258
Suranga Lakmal,9,54,1,63,2,7,32,8,2,5,0,434258
Suraj Randiv,10,60,0,51,2,5.1,28,3,1,2,0,434258
Thilina Kandamby,5,30,0,21,0,4.2,15,1,0,0,0,434258
Muthumudalige Pushpakumara,5,30,0,21,0,4.2,12,0,0,1,0,434258
Chanaka Welegedara,10,60,1,66,5,6.6,33,7,0,4,4,434259
Suranga Lakmal,8,48,1,48,0,6,23,7,0,1,0,434259
Thilan Thushara,10,60,0,62,2,6.2,29,7,1,1,0,434259
Suraj Randiv,10,60,0,36,0,3.6,35,2,0,0,0,434259
Thilina Kandamby,4,24,1,22,0,5.5,14,0,2,1,0,434259
Thilan Samaraweera,2,12,0,12,0,6,4,1,0,0,0,434259
Thisara Perera,6,36,0,27,2,4.5,21,3,0,1,0,434259
Nuwan Kulasekara,10,60,1,48,2,4.8,39,7,0,2,0,434261
Thilan Thushara,9,54,0,67,1,7.44,26,5,2,5,0,434261
Suraj Randiv,10,60,1,40,2,4,33,4,0,0,0,434261
Thisara Perera,10,60,0,32,2,3.2,34,0,0,1,0,434261
Malinga Bandara,10,60,0,44,0,4.4,27,1,0,1,0,434261
Thilan Samaraweera,1,6,0,17,0,17,0,0,2,0,0,434261
Chanaka Welegedara,5.4,34,0,51,0,9,17,8,0,0,2,434262
Suranga Lakmal,10,60,0,75,0,7.5,29,12,0,1,3,434262
Thilan Thushara,6,36,0,33,1,5.5,18,4,0,1,0,434262
Suraj Randiv,6,36,0,19,0,3.17,23,0,0,0,0,434262
Thisara Perera,5,30,1,32,1,6.4,15,4,0,0,0,434262
Nuwan Kulasekara,10,60,0,48,4,4.8,39,6,1,1,0,434264
Chanaka Welegedara,10,60,1,53,3,5.3,31,6,0,0,0,434264
Thilan Thushara,6,36,1,26,0,4.33,22,2,0,2,0,434264
Suraj Randiv,9,54,0,47,1,5.22,29,4,1,1,0,434264
Thisara Perera,8.2,50,0,49,1,5.88,20,4,0,1,0,434264
Tillakaratne Dilshan,5,30,0,18,1,3.6,14,0,0,1,0,434264
Nuwan Kulasekara,9,54,1,34,1,3.78,33,3,0,1,0,452147
Dilhara Fernando,8.3,51,0,58,0,6.82,20,3,1,2,0,452147
Ajantha Mendis,10,60,0,64,1,6.4,20,6,0,0,0,452147
Suraj Randiv,9,54,0,51,1,5.67,20,3,1,0,0,452147
Thisara Perera,7,42,0,35,0,5,17,2,0,0,0,452147
Nuwan Kulasekara,4,24,0,12,0,3,15,0,0,0,0,452148
Dilhara Fernando,4.5,29,0,26,2,5.38,14,3,0,1,0,452148
Ajantha Mendis,6,36,0,21,2,3.5,22,0,0,1,1,452148
Thisara Perera,1,6,0,16,0,16,1,1,1,1,0,452148
Suraj Randiv,5,30,0,23,3,4.6,13,0,1,0,0,452148
Jeevan Mendis,4,24,0,12,2,3,14,0,0,1,0,452148
Nuwan Kulasekara,9,54,1,47,1,5.22,32,6,1,0,0,452150
Thilan Thushara,9,54,1,57,3,6.33,28,7,0,4,1,452150
Thisara Perera,4,24,0,33,1,8.25,11,6,0,1,0,452150
Ajantha Mendis,10,60,0,54,0,5.4,28,3,2,0,0,452150
Jeevan Mendis,6,36,0,29,0,4.83,13,1,0,1,0,452150
Suraj Randiv,10,60,1,38,2,3.8,26,1,0,0,0,452150
Tillakaratne Dilshan,2,12,0,5,1,2.5,7,0,0,0,0,452150
Thilan Thushara,9.5,59,1,50,1,5.08,35,2,1,6,0,452151
Dilhara Fernando,9,54,0,37,0,4.11,31,2,1,0,1,452151
Thisara Perera,2,12,0,24,0,12,4,5,0,0,0,452151
Suraj Randiv,9,54,0,38,0,4.22,31,2,1,0,0,452151
Jeevan Mendis,8,48,0,42,0,5.25,15,1,0,1,0,452151
Tillakaratne Dilshan,8,48,0,35,1,4.38,18,1,0,0,0,452151
Chamara Kapugedera,2,12,0,8,0,4,5,0,0,0,0,452151
Nuwan Kulasekara,7,42,2,17,1,2.43,33,2,0,2,0,452152
Dilhara Fernando,9,54,0,36,3,4,35,3,0,4,0,452152
Ajantha Mendis,10,60,1,44,2,4.4,29,2,0,0,0,452152
Angelo Mathews,4,24,0,14,0,3.5,14,1,0,0,0,452152
