Date,Match_Id,URL_Text,Bowling_Session,Venue,Temp,Feels,Wind,Gust,Rain,Humidity,Cloud,Pressure,Vis,URL
28-Mar-17,1083447,ODI # 3856,18:45-22:15,Rangiri Dambulla International Stadium,28 °c,30 °c,5 km/h from SSW,8 km/h,0.1 mm,55%,46%,1009 mb,Excellent,
1-Apr-17,1083448,ODI # 3858,14.15-17.45,"Sinhalese Sports Club Ground, Colombo",29 °c,34 °c,10 km/h from WSW,14 km/h,3.0 mm,73%,32%,1010 mb,Good,
3-Jun-17,1022351,ODI # 3877,10:30-14:00,"Kennington Oval, London",18 °c,18 °c,15 km/h from W,18 km/h,0.0 mm,63%,13%,1015 mb,Excellent,
8-Jun-17,1022361,ODI # 3882,10:30-14:00,"Kennington Oval, London",17 °c,17 °c,30 km/h from SSW,37 km/h,0.0 mm,77%,100%,1010 mb,Excellent,
12-Jun-17,1022369,ODI # 3888,14:45-18:15,"Sophia Gardens, Cardiff",15 °c,15 °c,31 km/h from W,40 km/h,0.0 mm,78%,43%,1019 mb,Excellent,
30-Jun-17,1104478,ODI # 3897,14.00-17.30,Galle International Stadium,28 °c,32 °c,21 km/h from WNW,28 km/h,0.4 mm,79%,47%,1007 mb,Excellent,
2-Jul-17,1104479,ODI # 3899,09.45-13.15,Galle International Stadium,29 °c,35 °c,21 km/h from W,26 km/h,0.0 mm,75%,47%,1010 mb,Excellent,
6-Jul-17,1104480,ODI # 3901,09.45-13.15,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",31 °c,36 °c,34 km/h from WSW,43 km/h,0.0 mm,62%,4%,1008 mb,Excellent,
8-Jul-17,1104481,ODI # 3903,14.00-17.30,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",28 °c,31 °c,26 km/h from WSW,37 km/h,0.0 mm,75%,34%,1010 mb,Excellent,
10-Jul-17,1104482,ODI # 3904,14.00-17.30,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",28 °c,31 °c,28 km/h from W,42 km/h,0.0 mm,75%,5%,1010 mb,Excellent,
20-Aug-17,1109605,ODI # 3905,18:45-22:15,Rangiri Dambulla International Stadium,24 °c,26 °c,6 km/h from SSW,11 km/h,2.2 mm,93%,44%,1010 mb,Excellent,
24-Aug-17,1109606,ODI # 3906,18:45-22:15,Pallekele International Cricket Stadium,24 °c,26 °c,4 km/h from SSW,6 km/h,0.2 mm,86%,34%,1008 mb,Excellent,
27-Aug-17,1109607,ODI # 3907,18:45-22:15,Pallekele International Cricket Stadium,23 °c,25 °c,9 km/h from SW,14 km/h,0.0 mm,83%,15%,1007 mb,Excellent,
31-Aug-17,1109608,ODI # 3908,14:30-18:00,"R.Premadasa Stadium, Khettarama, Colombo",29 °c,34 °c,9 km/h from W,12 km/h,0.3 mm,82%,62%,1007 mb,Excellent,
3-Sep-17,1109609,ODI # 3909,18:45-22:15,"R.Premadasa Stadium, Khettarama, Colombo",27 °c,31 °c,7 km/h from SW,10 km/h,0.7 mm,91%,57%,1010 mb,Excellent,
13-Oct-17,1120286,ODI # 3922,16:30-18.38,Dubai International Cricket Stadium,34 °c,39 °c,14 km/h from WNW,19 km/h,0.0 mm,49%,0%,1005 mb,Excellent,
16-Oct-17,1120287,ODI # 3924,14:58-18:34,"Sheikh Zayed Stadium, Abu Dhabi",34 °c,37 °c,16 km/h from NW,22 km/h,0.0 mm,43%,0%,1007 mb,Excellent,
18-Oct-17,1120288,ODI # 3926,19:25-22:40,"Sheikh Zayed Stadium, Abu Dhabi",30 °c,36 °c,12 km/h from N,19 km/h,0.0 mm,71%,0%,1010 mb,Excellent,
20-Oct-17,1120289,ODI # 3927,17:50-20:30,Sharjah Cricket Stadium,30 °c,32 °c,10 km/h from NW,20 km/h,0.0 mm,55%,0%,1010 mb,Excellent,
23-Oct-17,1120290,ODI # 3930,16:15-17:35,Sharjah Cricket Stadium,32 °c,37 °c,14 km/h from WNW,20 km/h,0.0 mm,54%,0%,1009 mb,Excellent,
10-Dec-17,1122726,ODI # 3939,11.30-15.00,"Himachal Pradesh Cricket Association Stadium, Dharamsala",25 °c,24 °c,5 km/h from WSW,6 km/h,0.0 mm,12%,97%,1017 mb,Excellent,
13-Dec-17,1122727,ODI # 3941,11.30-15.00,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",19 °c,19 °c,5 km/h from SW,6 km/h,0.3 mm,57%,15%,1019 mb,Excellent,
17-Dec-17,1122728,ODI # 3942,17.45-21.15,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",25 °c,26 °c,11 km/h from ENE,17 km/h,0.0 mm,65%,0%,1018 mb,Excellent,
17-Jan-18,1130738,ODI # 3955,12.00-15.30,"Shere Bangla National Stadium, Mirpur, Dhaka",27 °c,27 °c,4 km/h from W,5 km/h,0.0 mm,40%,0%,1015 mb,Excellent,
19-Jan-18,1130739,ODI # 3959,12.00-15.30,"Shere Bangla National Stadium, Mirpur, Dhaka",28 °c,27 °c,8 km/h from NW,9 km/h,0.0 mm,38%,0%,1015 mb,Excellent,
21-Jan-18,1130740,ODI # 3962,12.00-15.30,"Shere Bangla National Stadium, Mirpur, Dhaka",27 °c,27 °c,9 km/h from WNW,11 km/h,0.0 mm,39%,0%,1014 mb,Excellent,
25-Jan-18,1130742,ODI # 3965,12.00-15.30,"Shere Bangla National Stadium, Mirpur, Dhaka",27 °c,26 °c,9 km/h from NNW,11 km/h,0.0 mm,36%,2%,1011 mb,Excellent,
27-Jan-18,1130743,ODI # 3967,16.15-19.45,"Shere Bangla National Stadium, Mirpur, Dhaka",25 °c,25 °c,15 km/h from WNW,17 km/h,0.0 mm,30%,3%,1011 mb,Excellent,
29-Jul-18,1142584,ODI # 4025,13:00-16:00,Rangiri Dambulla International Stadium,27 °c,30 °c,9 km/h from S,11 km/h,10.0 mm,86%,83%,1011 mb,Average,
1-Aug-18,1142585,ODI # 4027,18:49-21:56,Rangiri Dambulla International Stadium,25 °c,28 °c,3 km/h from S,6 km/h,3.1 mm,88%,59%,1010 mb,Good,
5-Aug-18,1142586,ODI # 4029,10:00-13:46,Pallekele International Cricket Stadium,27 °c,29 °c,10 km/h from WSW,12 km/h,0.7 mm,68%,14%,1011 mb,Excellent,
8-Aug-18,1142587,ODI # 4030,20:33-23:50,Pallekele International Cricket Stadium,22 °c,22 °c,7 km/h from SW,11 km/h,0.0 mm,87%,35%,1011 mb,Excellent,
12-Aug-18,1142588,ODI # 4031,18:45-20:38,"R.Premadasa Stadium, Khettarama, Colombo",26 °c,30 °c,16 km/h from WSW,26 km/h,0.2 mm,88%,74%,1010 mb,Excellent,
15-Sep-18,1153243,ODI # 4036,15.30-19.00,Dubai International Cricket Stadium,38 °c,46 °c,14 km/h from N,21 km/h,0.0 mm,41%,0%,1004 mb,Excellent,
17-Sep-18,1153245,ODI # 4038,15.30-19.00,"Sheikh Zayed Stadium, Abu Dhabi",39 °c,44 °c,6 km/h from NNW,10 km/h,0.0 mm,38%,0%,1002 mb,Excellent,
10-Oct-18,1140379,ODI # 4052,14:30-15:30,Rangiri Dambulla International Stadium,28 °c,31 °c,15 km/h from SSW,18 km/h,8.8 mm,72%,27%,1011 mb,Average,
13-Oct-18,1140380,ODI # 4053,09:45-13:15,Rangiri Dambulla International Stadium,24 °c,26 °c,14 km/h from WSW,19 km/h,0.5 mm,89%,93%,1014 mb,Excellent,
17-Oct-18,1140381,ODI # 4054,22:05-22:34,Pallekele International Cricket Stadium,22 °c,25 °c,3 km/h from SSW,5 km/h,6.1 mm,91%,40%,1013 mb,Good,
20-Oct-18,1140382,ODI # 4055,14:00-17:30,Pallekele International Cricket Stadium,24 °c,26 °c,3 km/h from W,4 km/h,12.6 mm,92%,46%,1011 mb,Average,
23-Oct-18,1140383,ODI # 4058,19:00-20:55,"R.Premadasa Stadium, Khettarama, Colombo",27 °c,31 °c,9 km/h from N,14 km/h,1.1 mm,87%,40%,1012 mb,Excellent,
3-Jan-19,1153840,ODI # 4074,14.00-17.30,"Bay Oval, Mount Maunganui",25 °c,26 °c,17 km/h from ENE,20 km/h,0.0 mm,53%,6%,1010 mb,Excellent,
5-Jan-19,1153841,ODI # 4075,14.00-17.30,"Bay Oval, Mount Maunganui",19 °c,19 °c,19 km/h from W,22 km/h,0.0 mm,45%,25%,1009 mb,Excellent,
8-Jan-19,1153842,ODI # 4076,11.00-14.30,"Saxton Oval, Nelson",26 °c,26 °c,7 km/h from NNW,8 km/h,0.0 mm,38%,0%,1017 mb,Excellent,
3-Mar-19,1144167,ODI # 4104,14:00-17:03,"The Wanderers Stadium, Johannesburg",33 °c,31 °c,16 km/h from NW,19 km/h,0.0 mm,19%,0%,1008 mb,Excellent,
6-Mar-19,1144168,ODI # 4107,13:00-16:27,"SuperSport Park, Centurion",31 °c,30 °c,7 km/h from NNE,8 km/h,0.0 mm,31%,22%,1015 mb,Excellent,
10-Mar-19,1144169,ODI # 4112,10:00-13:40,"Kingsmead, Durban",25 °c,27 °c,12 km/h from SSW,15 km/h,0.2 mm,77%,63%,1019 mb,Excellent,
13-Mar-19,1144170,ODI # 4114,16:50-19:08,"St George's Park, Port Elizabeth",22 °c,25 °c,21 km/h from SSW,26 km/h,0.0 mm,71%,6%,1014 mb,Excellent,
16-Mar-19,1144171,ODI # 4115,17:15-19:15,"Newlands, Cape Town",23 °c,25 °c,8 km/h from SW,9 km/h,0.0 mm,74%,6%,1011 mb,Excellent,
21-May-19,1169332,ODI # 4142,15.15-18.45,"Grange Cricket Club, Raeburn Place, Edinburgh",15 °c,14 °c,2 km/h from SSW,3 km/h,1.3 mm,67%,13%,1018 mb,Excellent,
1-Jun-19,1144485,ODI # 4145,14.45-18.15,"Sophia Gardens, Cardiff",20 °c,20 °c,20 km/h from S,30 km/h,0.0 mm,72%,50%,1017 mb,Excellent,
4-Jun-19,1144489,ODI # 4149,14.30-18.00,"Sophia Gardens, Cardiff",15 °c,15 °c,19 km/h from SSW,23 km/h,0.9 mm,83%,51%,1001 mb,Excellent,
15-Jun-19,1144502,ODI # 4159,10.30-14.00,"Kennington Oval, London",20 °c,20 °c,22 km/h from SSW,26 km/h,0.0 mm,48%,27%,1013 mb,Excellent,
21-Jun-19,1144509,ODI # 4168,14.30-18.00,"Headingley, Leeds",16 °c,16 °c,16 km/h from WNW,18 km/h,0.0 mm,57%,4%,1019 mb,Excellent,
28-Jun-19,1144517,ODI # 4176,14.30-18.00,"Riverside Ground, Chester-le-Street",19 °c,19 °c,16 km/h from ESE,18 km/h,0.0 mm,71%,7%,1025 mb,Excellent,
1-Jul-19,1144521,ODI # 4180,14.30-18.00,"Riverside Ground, Chester-le-Street",19 °c,19 °c,26 km/h from WNW,30 km/h,0.6 mm,60%,28%,1018 mb,Excellent,
6-Jul-19,1144526,ODI # 4187,14.30-18.00,"Headingley, Leeds",19 °c,19 °c,6 km/h from NW,6 km/h,0.0 mm,55%,13%,1014 mb,Excellent,
26-Jul-19,1193504,ODI # 4193,19:05-22:38,"R.Premadasa Stadium, Khettarama, Colombo",26 °c,30 °c,13 km/h from SW,18 km/h,0.0 mm,88%,49%,1010 mb,Excellent,
28-Jul-19,1193505,ODI # 4194,14:30-18:13,"R.Premadasa Stadium, Khettarama, Colombo",28 °c,32 °c,15 km/h from WSW,18 km/h,0.0 mm,77%,44%,1008 mb,Excellent,
31-Jul-19,1193506,ODI # 4195,18:40-21:25,"R.Premadasa Stadium, Khettarama, Colombo",27 °c,32 °c,13 km/h from SW,17 km/h,0.0 mm,87%,43%,1011 mb,Excellent,
30-Sep-19,1198487,ODI # 4211,15.00-18.30,"National Stadium, Karachi",31 °c,37 °c,31 km/h from WSW,36 km/h,0.0 mm,65%,9%,1006 mb,Excellent,
2-Oct-19,1198488,ODI # 4212,19.15-22.45,"National Stadium, Karachi",28 °c,33 °c,29 km/h from WSW,36 km/h,0.0 mm,78%,56%,1010 mb,Excellent,
