bowling_performance,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,bowling_session,toss,venue_name,opposition_name
good,Jeevan Mendis,12,18,0,85,70,1026,Good,inning2,day,won,"Queens Sports Club, Bulawayo",Zimbabwe
best,Nuwan Kulasekara,20,5,0,47,7,1023,Excellent,inning2,day,won,Harare Sports Club,India
best,Thilan Thushara,20,5,0,47,7,1023,Excellent,inning2,day,won,Harare Sports Club,India
poor,Thisara Perera,20,5,0,47,7,1023,Excellent,inning2,day,won,Harare Sports Club,India
best,Ajantha Mendis,20,5,0,47,7,1023,Excellent,inning2,day,won,Harare Sports Club,India
best,Jeevan Mendis,20,5,0,47,7,1023,Excellent,inning2,day,won,Harare Sports Club,India
good,Suraj Randiv,20,5,0,47,7,1023,Excellent,inning2,day,won,Harare Sports Club,India
good,Tillakaratne Dilshan,20,5,0,47,7,1023,Excellent,inning2,day,won,Harare Sports Club,India
best,Thilan Thushara,20,12,0,40,4,1020,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
good,Dilhara Fernando,20,12,0,40,4,1020,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,Thisara Perera,20,12,0,40,4,1020,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
good,Suraj Randiv,20,12,0,40,4,1020,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
best,Jeevan Mendis,20,12,0,40,4,1020,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
good,Tillakaratne Dilshan,20,12,0,40,4,1020,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
good,Chamara Kapugedera,20,12,0,40,4,1020,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
good,Nuwan Kulasekara,23,3,0,46,9,1020,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
good,Dilhara Fernando,23,3,0,46,9,1020,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
good,Ajantha Mendis,23,3,0,46,9,1020,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
good,Angelo Mathews,23,3,0,46,9,1020,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
best,Suraj Randiv,23,3,0,46,9,1020,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
good,Jeevan Mendis,23,3,0,46,9,1020,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
best,Tillakaratne Dilshan,23,3,0,46,9,1020,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
good,Nuwan Kulasekara,24,3,6,99,34,1011,Good,inning1,night,won,Rangiri Dambulla International Stadium,Pakistan
good,Lasith Malinga,24,3,6,99,34,1011,Good,inning1,night,won,Rangiri Dambulla International Stadium,Pakistan
good,Angelo Mathews,24,3,6,99,34,1011,Good,inning1,night,won,Rangiri Dambulla International Stadium,Pakistan
best,Farveez Maharoof,24,3,6,99,34,1011,Good,inning1,night,won,Rangiri Dambulla International Stadium,Pakistan
best,Muttiah Muralitharan,24,3,6,99,34,1011,Good,inning1,night,won,Rangiri Dambulla International Stadium,Pakistan
best,Nuwan Kulasekara,24,3,8,99,57,1010,Average,inning1,night,won,Rangiri Dambulla International Stadium,Bangladesh
good,Lasith Malinga,24,3,8,99,57,1010,Average,inning1,night,won,Rangiri Dambulla International Stadium,Bangladesh
good,Tillakaratne Dilshan,24,3,8,99,57,1010,Average,inning1,night,won,Rangiri Dambulla International Stadium,Bangladesh
good,Muttiah Muralitharan,24,3,8,99,57,1010,Average,inning1,night,won,Rangiri Dambulla International Stadium,Bangladesh
good,Chanaka Welegedara,24,3,8,99,57,1010,Average,inning1,night,won,Rangiri Dambulla International Stadium,Bangladesh
best,Chanaka Welegedara,27,5,4,91,51,1009,Good,inning2,day,won,Rangiri Dambulla International Stadium,India
good,Farveez Maharoof,27,5,4,91,51,1009,Good,inning2,day,won,Rangiri Dambulla International Stadium,India
best,Angelo Mathews,27,5,4,91,51,1009,Good,inning2,day,won,Rangiri Dambulla International Stadium,India
good,Rangana Herath,27,5,4,91,51,1009,Good,inning2,day,won,Rangiri Dambulla International Stadium,India
best,Suraj Randiv,27,5,4,91,51,1009,Good,inning2,day,won,Rangiri Dambulla International Stadium,India
best,Thilina Kandamby,27,5,4,91,51,1009,Good,inning2,day,won,Rangiri Dambulla International Stadium,India
best,Nuwan Kulasekara,27,5,10,95,60,1008,Average,inning2,day,lost,Rangiri Dambulla International Stadium,India
best,Lasith Malinga,27,5,10,95,60,1008,Average,inning2,day,lost,Rangiri Dambulla International Stadium,India
best,Farveez Maharoof,27,5,10,95,60,1008,Average,inning2,day,lost,Rangiri Dambulla International Stadium,India
best,Angelo Mathews,27,5,10,95,60,1008,Average,inning2,day,lost,Rangiri Dambulla International Stadium,India
good,Muttiah Muralitharan,27,5,10,95,60,1008,Average,inning2,day,lost,Rangiri Dambulla International Stadium,India
best,Thilina Kandamby,27,5,10,95,60,1008,Average,inning2,day,lost,Rangiri Dambulla International Stadium,India
best,Tillakaratne Dilshan,27,5,10,95,60,1008,Average,inning2,day,lost,Rangiri Dambulla International Stadium,India
good,Lasith Malinga,27,8,1,74,29,1010,Excellent,inning2,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,Nuwan Kulasekara,27,8,1,74,29,1010,Excellent,inning2,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,Angelo Mathews,27,8,1,74,29,1010,Excellent,inning2,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,Ajantha Mendis,27,8,1,74,29,1010,Excellent,inning2,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,Rangana Herath,27,8,1,74,29,1010,Excellent,inning2,day,lost,Rangiri Dambulla International Stadium,New Zealand
best,Lasith Malinga,24,4,3,95,47,1010,Good,inning1,night,won,Rangiri Dambulla International Stadium,India
best,Nuwan Kulasekara,24,4,3,95,47,1010,Good,inning1,night,won,Rangiri Dambulla International Stadium,India
good,Angelo Mathews,24,4,3,95,47,1010,Good,inning1,night,won,Rangiri Dambulla International Stadium,India
good,Dilhara Fernando,24,4,3,95,47,1010,Good,inning1,night,won,Rangiri Dambulla International Stadium,India
best,Suraj Randiv,24,4,3,95,47,1010,Good,inning1,night,won,Rangiri Dambulla International Stadium,India
good,Lasith Malinga,28,3,11,89,66,1010,Average,inning2,day,lost,Rangiri Dambulla International Stadium,India
good,Nuwan Kulasekara,28,3,11,89,66,1010,Average,inning2,day,lost,Rangiri Dambulla International Stadium,India
good,Angelo Mathews,28,3,11,89,66,1010,Average,inning2,day,lost,Rangiri Dambulla International Stadium,India
good,Thisara Perera,28,3,11,89,66,1010,Average,inning2,day,lost,Rangiri Dambulla International Stadium,India
best,Lasith Malinga,23,6,3,95,45,1008,Good,inning1,night,won,Rangiri Dambulla International Stadium,India
best,Nuwan Kulasekara,23,6,3,95,45,1008,Good,inning1,night,won,Rangiri Dambulla International Stadium,India
best,Angelo Mathews,23,6,3,95,45,1008,Good,inning1,night,won,Rangiri Dambulla International Stadium,India
good,Thisara Perera,23,6,3,95,45,1008,Good,inning1,night,won,Rangiri Dambulla International Stadium,India
good,Suraj Randiv,23,6,3,95,45,1008,Good,inning1,night,won,Rangiri Dambulla International Stadium,India
good,Lasith Malinga,13,13,0,56,44,1022,Excellent,inning2,day,lost,Melbourne Cricket Ground,Australia
best,Nuwan Kulasekara,13,13,0,56,44,1022,Excellent,inning2,day,lost,Melbourne Cricket Ground,Australia
good,Thisara Perera,13,13,0,56,44,1022,Excellent,inning2,day,lost,Melbourne Cricket Ground,Australia
good,Muttiah Muralitharan,13,13,0,56,44,1022,Excellent,inning2,day,lost,Melbourne Cricket Ground,Australia
good,Suraj Randiv,13,13,0,56,44,1022,Excellent,inning2,day,lost,Melbourne Cricket Ground,Australia
