performance,batting_position,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue_name,opposition_name
best,2,Tillakaratne Dilshan,14,15,0,75,74,1024,Excellent,inning2,day,won,"Queens Sports Club, Bulawayo",Zimbabwe
poor,3,Dinesh Chandimal,14,15,0,75,74,1024,Excellent,inning2,day,won,"Queens Sports Club, Bulawayo",Zimbabwe
poor,1,Upul Tharanga,22,8,0,38,3,1021,Excellent,inning2,day,won,Harare Sports Club,India
poor,2,Tillakaratne Dilshan,22,8,0,38,3,1021,Excellent,inning2,day,won,Harare Sports Club,India
best,3,Dinesh Chandimal,22,8,0,38,3,1021,Excellent,inning2,day,won,Harare Sports Club,India
good,4,Chamara Kapugedera,22,8,0,38,3,1021,Excellent,inning2,day,won,Harare Sports Club,India
good,5,Jeevan Mendis,22,8,0,38,3,1021,Excellent,inning2,day,won,Harare Sports Club,India
good,6,Thilan Samaraweera,22,8,0,38,3,1021,Excellent,inning2,day,won,Harare Sports Club,India
good,1,Upul Tharanga,18,12,0,45,5,1023,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
best,2,Tillakaratne Dilshan,18,12,0,45,5,1023,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,3,Dinesh Chandimal,18,12,0,45,5,1023,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,4,Chamara Kapugedera,18,12,0,45,5,1023,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,5,Thilan Samaraweera,18,12,0,45,5,1023,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,6,Jeevan Mendis,18,12,0,45,5,1023,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,7,Lahiru Thirimanne,18,12,0,45,5,1023,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,8,Thisara Perera,18,12,0,45,5,1023,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,9,Suraj Randiv,18,12,0,45,5,1023,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,10,Thilan Thushara,18,12,0,45,5,1023,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,11,Dilhara Fernando,18,12,0,45,5,1023,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
good,1,Upul Tharanga,24,4,0,39,4,1018,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
best,2,Tillakaratne Dilshan,24,4,0,39,4,1018,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
poor,3,Dinesh Chandimal,24,4,0,39,4,1018,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
poor,1,Upul Tharanga,27,3,5,88,48,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,2,Tillakaratne Dilshan,27,3,5,88,48,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
good,3,Kumar Sangakkara,27,3,5,88,48,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
good,4,Mahela Jayawardene,27,3,5,88,48,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,5,Thilan Samaraweera,27,3,5,88,48,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
good,6,Angelo Mathews,27,3,5,88,48,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,7,Chamara Kapugedera,27,3,5,88,48,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,8,Farveez Maharoof,27,3,5,88,48,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,9,Nuwan Kulasekara,27,3,5,88,48,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,10,Lasith Malinga,27,3,5,88,48,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,11,Muttiah Muralitharan,27,3,5,88,48,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
good,1,Upul Tharanga,27,2,7,91,56,1009,Good,inning1,day,won,Rangiri Dambulla International Stadium,Bangladesh
best,2,Tillakaratne Dilshan,27,2,7,91,56,1009,Good,inning1,day,won,Rangiri Dambulla International Stadium,Bangladesh
good,3,Kumar Sangakkara,27,2,7,91,56,1009,Good,inning1,day,won,Rangiri Dambulla International Stadium,Bangladesh
good,4,Mahela Jayawardene,27,2,7,91,56,1009,Good,inning1,day,won,Rangiri Dambulla International Stadium,Bangladesh
good,5,Angelo Mathews,27,2,7,91,56,1009,Good,inning1,day,won,Rangiri Dambulla International Stadium,Bangladesh
good,6,Chamara Kapugedera,27,2,7,91,56,1009,Good,inning1,day,won,Rangiri Dambulla International Stadium,Bangladesh
good,1,Upul Tharanga,25,4,6,99,54,1010,Good,inning2,night,won,Rangiri Dambulla International Stadium,India
good,2,Tillakaratne Dilshan,25,4,6,99,54,1010,Good,inning2,night,won,Rangiri Dambulla International Stadium,India
good,3,Kumar Sangakkara,25,4,6,99,54,1010,Good,inning2,night,won,Rangiri Dambulla International Stadium,India
good,4,Mahela Jayawardene,25,4,6,99,54,1010,Good,inning2,night,won,Rangiri Dambulla International Stadium,India
poor,5,Thilina Kandamby,25,4,6,99,54,1010,Good,inning2,night,won,Rangiri Dambulla International Stadium,India
poor,1,Upul Tharanga,25,4,11,100,57,1008,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,2,Tillakaratne Dilshan,25,4,11,100,57,1008,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,3,Kumar Sangakkara,25,4,11,100,57,1008,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,4,Mahela Jayawardene,25,4,11,100,57,1008,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,5,Angelo Mathews,25,4,11,100,57,1008,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,6,Thilina Kandamby,25,4,11,100,57,1008,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
good,7,Chamara Kapugedera,25,4,11,100,57,1008,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,8,Farveez Maharoof,25,4,11,100,57,1008,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,9,Nuwan Kulasekara,25,4,11,100,57,1008,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,10,Lasith Malinga,25,4,11,100,57,1008,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,11,Muttiah Muralitharan,25,4,11,100,57,1008,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
good,1,Upul Tharanga,23,5,1,92,21,1010,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,2,Tillakaratne Dilshan,23,5,1,92,21,1010,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
good,3,Kumar Sangakkara,23,5,1,92,21,1010,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,4,Mahela Jayawardene,23,5,1,92,21,1010,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
good,5,Thilan Samaraweera,23,5,1,92,21,1010,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,6,Angelo Mathews,23,5,1,92,21,1010,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,7,Nuwan Kulasekara,23,5,1,92,21,1010,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,8,Rangana Herath,23,5,1,92,21,1010,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,9,Chamara Kapugedera,23,5,1,92,21,1010,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,1,Upul Tharanga,27,2,3,82,37,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
good,2,Tillakaratne Dilshan,27,2,3,82,37,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,3,Kumar Sangakkara,27,2,3,82,37,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,4,Mahela Jayawardene,27,2,3,82,37,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,5,Thilan Samaraweera,27,2,3,82,37,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,6,Angelo Mathews,27,2,3,82,37,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,7,Chamara Kapugedera,27,2,3,82,37,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
good,8,Suraj Randiv,27,2,3,82,37,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,9,Nuwan Kulasekara,27,2,3,82,37,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,10,Lasith Malinga,27,2,3,82,37,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,11,Dilhara Fernando,27,2,3,82,37,1010,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,1,Upul Tharanga,26,4,4,91,37,1010,Good,inning1,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,2,Tillakaratne Dilshan,26,4,4,91,37,1010,Good,inning1,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,3,Kumar Sangakkara,26,4,4,91,37,1010,Good,inning1,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,4,Mahela Jayawardene,26,4,4,91,37,1010,Good,inning1,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,5,Chamara Silva,26,4,4,91,37,1010,Good,inning1,day,lost,Rangiri Dambulla International Stadium,New Zealand
