"balls","maidens","runs","wickets","dots","fours","sixes","econ","wides","no_balls","player_name","temp","feels","gust","wind","rain","humidity","cloud","pressure","viscosity","inning","result","bowling_session","toss","venue_name","opposition_name","season_id"
"30","1","32","1","15","4","0","6.4","0","0","Thisara Perera","24","25","6","3","0","57","0","1012","Excellent","inning1","lost","night","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"60","0","48","4","39","6","1","4.8","1","0","Nuwan Kulasekara","26","25","6","5","0","33","17","1014","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"60","1","53","3","31","6","0","5.3","0","0","Chanaka Welegedara","26","25","6","5","0","33","17","1014","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"36","1","26","0","22","2","0","4.33","2","0","Thilan Thushara","26","25","6","5","0","33","17","1014","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"54","0","47","1","29","4","1","5.22","1","0","Suraj Randiv","26","25","6","5","0","33","17","1014","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"50","0","49","1","20","4","0","5.88","1","0","Thisara Perera","26","25","6","5","0","33","17","1014","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"30","0","18","1","14","0","0","3.6","1","0","Tillakaratne Dilshan","26","25","6","5","0","33","17","1014","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"54","1","34","1","33","3","0","3.78","1","0","Nuwan Kulasekara","13","11","26","18","3","91","69","1023","Excellent","inning1","lost","day","lost","Queens Sports Club, Bulawayo","India","2"
"51","0","58","0","20","3","1","6.82","2","0","Dilhara Fernando","13","11","26","18","3","91","69","1023","Excellent","inning1","lost","day","lost","Queens Sports Club, Bulawayo","India","2"
"60","0","64","1","20","6","0","6.4","0","0","Ajantha Mendis","13","11","26","18","3","91","69","1023","Excellent","inning1","lost","day","lost","Queens Sports Club, Bulawayo","India","2"
"54","0","51","1","20","3","1","5.67","0","0","Suraj Randiv","13","11","26","18","3","91","69","1023","Excellent","inning1","lost","day","lost","Queens Sports Club, Bulawayo","India","2"
"42","0","35","0","17","2","0","5","0","0","Thisara Perera","13","11","26","18","3","91","69","1023","Excellent","inning1","lost","day","lost","Queens Sports Club, Bulawayo","India","2"
"24","0","12","0","15","0","0","3","0","0","Nuwan Kulasekara","12","10","22","18","0","85","70","1026","Good","inning2","won","day","won","Queens Sports Club, Bulawayo","Zimbabwe","2"
"29","0","26","2","14","3","0","5.38","1","0","Dilhara Fernando","12","10","22","18","0","85","70","1026","Good","inning2","won","day","won","Queens Sports Club, Bulawayo","Zimbabwe","2"
"36","0","21","2","22","0","0","3.5","1","1","Ajantha Mendis","12","10","22","18","0","85","70","1026","Good","inning2","won","day","won","Queens Sports Club, Bulawayo","Zimbabwe","2"
"6","0","16","0","1","1","1","16","1","0","Thisara Perera","12","10","22","18","0","85","70","1026","Good","inning2","won","day","won","Queens Sports Club, Bulawayo","Zimbabwe","2"
"30","0","23","3","13","0","1","4.6","0","0","Suraj Randiv","12","10","22","18","0","85","70","1026","Good","inning2","won","day","won","Queens Sports Club, Bulawayo","Zimbabwe","2"
"24","0","12","2","14","0","0","3","1","0","Jeevan Mendis","12","10","22","18","0","85","70","1026","Good","inning2","won","day","won","Queens Sports Club, Bulawayo","Zimbabwe","2"
"54","1","47","1","32","6","1","5.22","0","0","Nuwan Kulasekara","20","20","6","5","0","47","7","1023","Excellent","inning2","won","day","won","Harare Sports Club","India","2"
"54","1","57","3","28","7","0","6.33","4","1","Thilan Thushara","20","20","6","5","0","47","7","1023","Excellent","inning2","won","day","won","Harare Sports Club","India","2"
"24","0","33","1","11","6","0","8.25","1","0","Thisara Perera","20","20","6","5","0","47","7","1023","Excellent","inning2","won","day","won","Harare Sports Club","India","2"
"60","0","54","0","28","3","2","5.4","0","0","Ajantha Mendis","20","20","6","5","0","47","7","1023","Excellent","inning2","won","day","won","Harare Sports Club","India","2"
"36","0","29","0","13","1","0","4.83","1","0","Jeevan Mendis","20","20","6","5","0","47","7","1023","Excellent","inning2","won","day","won","Harare Sports Club","India","2"
"60","1","38","2","26","1","0","3.8","0","0","Suraj Randiv","20","20","6","5","0","47","7","1023","Excellent","inning2","won","day","won","Harare Sports Club","India","2"
"12","0","5","1","7","0","0","2.5","0","0","Tillakaratne Dilshan","20","20","6","5","0","47","7","1023","Excellent","inning2","won","day","won","Harare Sports Club","India","2"
"59","1","50","1","35","2","1","5.08","6","0","Thilan Thushara","20","20","14","12","0","40","4","1020","Excellent","inning1","lost","day","lost","Harare Sports Club","Zimbabwe","2"
"54","0","37","0","31","2","1","4.11","0","1","Dilhara Fernando","20","20","14","12","0","40","4","1020","Excellent","inning1","lost","day","lost","Harare Sports Club","Zimbabwe","2"
"12","0","24","0","4","5","0","12","0","0","Thisara Perera","20","20","14","12","0","40","4","1020","Excellent","inning1","lost","day","lost","Harare Sports Club","Zimbabwe","2"
"54","0","38","0","31","2","1","4.22","0","0","Suraj Randiv","20","20","14","12","0","40","4","1020","Excellent","inning1","lost","day","lost","Harare Sports Club","Zimbabwe","2"
"48","0","42","0","15","1","0","5.25","1","0","Jeevan Mendis","20","20","14","12","0","40","4","1020","Excellent","inning1","lost","day","lost","Harare Sports Club","Zimbabwe","2"
"48","0","35","1","18","1","0","4.38","0","0","Tillakaratne Dilshan","20","20","14","12","0","40","4","1020","Excellent","inning1","lost","day","lost","Harare Sports Club","Zimbabwe","2"
"12","0","8","0","5","0","0","4","0","0","Chamara Kapugedera","20","20","14","12","0","40","4","1020","Excellent","inning1","lost","day","lost","Harare Sports Club","Zimbabwe","2"
"42","2","17","1","33","2","0","2.43","2","0","Nuwan Kulasekara","23","24","3","3","0","46","9","1020","Excellent","inning2","won","day","won","Harare Sports Club","Zimbabwe","2"
"54","0","36","3","35","3","0","4","4","0","Dilhara Fernando","23","24","3","3","0","46","9","1020","Excellent","inning2","won","day","won","Harare Sports Club","Zimbabwe","2"
