performance,batting_position,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue_name,opposition_name
poor,3,Thilan Samaraweera,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,Excellent,inning1,day,lost,"Queens Sports Club, Bulawayo",India
good,4,Angelo Mathews,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,Excellent,inning1,day,lost,"Queens Sports Club, Bulawayo",India
poor,5,Chamara Kapugedera,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,Excellent,inning1,day,lost,"Queens Sports Club, Bulawayo",India
poor,6,Chamara Silva,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,Excellent,inning1,day,lost,"Queens Sports Club, Bulawayo",India
good,7,Thisara Perera,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,Excellent,inning1,day,lost,"Queens Sports Club, Bulawayo",India
good,8,Nuwan Kulasekara,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,Excellent,inning1,day,lost,"Queens Sports Club, Bulawayo",India
poor,9,Suraj Randiv,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,Excellent,inning1,day,lost,"Queens Sports Club, Bulawayo",India
poor,10,Dilhara Fernando,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,Excellent,inning1,day,lost,"Queens Sports Club, Bulawayo",India
poor,11,Ajantha Mendis,0.01357668,0.020365021,0.000969763,0.08727866,0.061095062,0.994006956,Excellent,inning1,day,lost,"Queens Sports Club, Bulawayo",India
good,1,Upul Tharanga,0.013597374,0.014568614,0,0.072843072,0.071871832,0.99455075,Excellent,inning2,day,won,"Queens Sports Club, Bulawayo",Zimbabwe
best,2,Tillakaratne Dilshan,0.013597374,0.014568614,0,0.072843072,0.071871832,0.99455075,Excellent,inning2,day,won,"Queens Sports Club, Bulawayo",Zimbabwe
poor,3,Dinesh Chandimal,0.013597374,0.014568614,0,0.072843072,0.071871832,0.99455075,Excellent,inning2,day,won,"Queens Sports Club, Bulawayo",Zimbabwe
poor,1,Upul Tharanga,0.021526852,0.007827946,0,0.037182744,0.00293548,0.999041613,Excellent,inning2,day,won,Harare Sports Club,India
poor,2,Tillakaratne Dilshan,0.021526852,0.007827946,0,0.037182744,0.00293548,0.999041613,Excellent,inning2,day,won,Harare Sports Club,India
best,3,Dinesh Chandimal,0.021526852,0.007827946,0,0.037182744,0.00293548,0.999041613,Excellent,inning2,day,won,Harare Sports Club,India
good,4,Chamara Kapugedera,0.021526852,0.007827946,0,0.037182744,0.00293548,0.999041613,Excellent,inning2,day,won,Harare Sports Club,India
good,5,Jeevan Mendis,0.021526852,0.007827946,0,0.037182744,0.00293548,0.999041613,Excellent,inning2,day,won,Harare Sports Club,India
good,6,Thilan Samaraweera,0.021526852,0.007827946,0,0.037182744,0.00293548,0.999041613,Excellent,inning2,day,won,Harare Sports Club,India
good,1,Upul Tharanga,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
best,2,Tillakaratne Dilshan,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,3,Dinesh Chandimal,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,4,Chamara Kapugedera,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,5,Thilan Samaraweera,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,6,Jeevan Mendis,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,7,Lahiru Thirimanne,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,8,Thisara Perera,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,9,Suraj Randiv,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,10,Thilan Thushara,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
poor,11,Dilhara Fernando,0.017574178,0.011716119,0,0.043935446,0.004881716,0.998799142,Excellent,inning1,day,lost,Harare Sports Club,Zimbabwe
good,1,Upul Tharanga,0.023551459,0.003925243,0,0.038271121,0.003925243,0.998974392,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
best,2,Tillakaratne Dilshan,0.023551459,0.003925243,0,0.038271121,0.003925243,0.998974392,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
poor,3,Dinesh Chandimal,0.023551459,0.003925243,0,0.038271121,0.003925243,0.998974392,Excellent,inning2,day,won,Harare Sports Club,Zimbabwe
poor,1,Upul Tharanga,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,2,Tillakaratne Dilshan,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
good,3,Kumar Sangakkara,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
good,4,Mahela Jayawardene,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,5,Thilan Samaraweera,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
good,6,Angelo Mathews,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,7,Chamara Kapugedera,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,8,Farveez Maharoof,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,9,Nuwan Kulasekara,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,10,Lasith Malinga,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
poor,11,Muttiah Muralitharan,0.026592133,0.002954681,0.004924469,0.086670656,0.047274903,0.99474276,Good,inning1,day,won,Rangiri Dambulla International Stadium,Pakistan
good,1,Upul Tharanga,0.026600275,0.001970391,0.006896368,0.089652779,0.055170941,0.994062136,Good,inning1,day,won,Rangiri Dambulla International Stadium,Bangladesh
best,2,Tillakaratne Dilshan,0.026600275,0.001970391,0.006896368,0.089652779,0.055170941,0.994062136,Good,inning1,day,won,Rangiri Dambulla International Stadium,Bangladesh
good,3,Kumar Sangakkara,0.026600275,0.001970391,0.006896368,0.089652779,0.055170941,0.994062136,Good,inning1,day,won,Rangiri Dambulla International Stadium,Bangladesh
good,4,Mahela Jayawardene,0.026600275,0.001970391,0.006896368,0.089652779,0.055170941,0.994062136,Good,inning1,day,won,Rangiri Dambulla International Stadium,Bangladesh
good,5,Angelo Mathews,0.026600275,0.001970391,0.006896368,0.089652779,0.055170941,0.994062136,Good,inning1,day,won,Rangiri Dambulla International Stadium,Bangladesh
good,6,Chamara Kapugedera,0.026600275,0.001970391,0.006896368,0.089652779,0.055170941,0.994062136,Good,inning1,day,won,Rangiri Dambulla International Stadium,Bangladesh
good,1,Upul Tharanga,0.024591557,0.003934649,0.005901974,0.097382566,0.053117763,0.993498908,Good,inning2,night,won,Rangiri Dambulla International Stadium,India
good,2,Tillakaratne Dilshan,0.024591557,0.003934649,0.005901974,0.097382566,0.053117763,0.993498908,Good,inning2,night,won,Rangiri Dambulla International Stadium,India
good,3,Kumar Sangakkara,0.024591557,0.003934649,0.005901974,0.097382566,0.053117763,0.993498908,Good,inning2,night,won,Rangiri Dambulla International Stadium,India
good,4,Mahela Jayawardene,0.024591557,0.003934649,0.005901974,0.097382566,0.053117763,0.993498908,Good,inning2,night,won,Rangiri Dambulla International Stadium,India
poor,5,Thilina Kandamby,0.024591557,0.003934649,0.005901974,0.097382566,0.053117763,0.993498908,Good,inning2,night,won,Rangiri Dambulla International Stadium,India
poor,1,Upul Tharanga,0.024632335,0.003941174,0.010838227,0.098529341,0.056161724,0.993175754,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,2,Tillakaratne Dilshan,0.024632335,0.003941174,0.010838227,0.098529341,0.056161724,0.993175754,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,3,Kumar Sangakkara,0.024632335,0.003941174,0.010838227,0.098529341,0.056161724,0.993175754,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,4,Mahela Jayawardene,0.024632335,0.003941174,0.010838227,0.098529341,0.056161724,0.993175754,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,5,Angelo Mathews,0.024632335,0.003941174,0.010838227,0.098529341,0.056161724,0.993175754,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,6,Thilina Kandamby,0.024632335,0.003941174,0.010838227,0.098529341,0.056161724,0.993175754,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
good,7,Chamara Kapugedera,0.024632335,0.003941174,0.010838227,0.098529341,0.056161724,0.993175754,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,8,Farveez Maharoof,0.024632335,0.003941174,0.010838227,0.098529341,0.056161724,0.993175754,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,9,Nuwan Kulasekara,0.024632335,0.003941174,0.010838227,0.098529341,0.056161724,0.993175754,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,10,Lasith Malinga,0.024632335,0.003941174,0.010838227,0.098529341,0.056161724,0.993175754,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,11,Muttiah Muralitharan,0.024632335,0.003941174,0.010838227,0.098529341,0.056161724,0.993175754,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
good,1,Upul Tharanga,0.022667415,0.004927699,0.00098554,0.090669662,0.020696336,0.995395202,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
