,batting_consistency,batting_form,batting_temp,batting_wind,batting_humidity,batting_cloud,batting_pressure,venue,opposition,season
91,50.1772,38.0171,27,2,87,26,1011,35.2199,32.7897,13
92,55.6003,23.3886,24,20,76,42,1008,24.1351,27.0232,7
93,17.6814,24.401,25,13,38,0,1014,7.0609,8.2328,17
94,58.7808,26.6489,29,9,76,19,1007,22.6105,26.6371,5
95,40.9425,35.6938,27,12,89,65,1009,32.8637,26.1648,16
96,23.6093,5.71563,27,10,86,34,1012,5.80232,2.7941,13
97,60.1022,31.8842,26,3,82,12,1011,32.6521,29.3352,3
98,62.9666,23.9643,24,18,90,73,1013,28.1932,24.5258,5
99,24.9177,0.0,15,34,73,4,1015,6.99251,20.5086,14
100,55.6003,43.7288,14,21,90,63,1025,35.9532,27.4583,2
101,60.1022,31.9317,26,19,75,28,1006,23.4835,29.3352,6
102,36.6786,37.1739,16,9,67,7,1020,20.3163,23.9858,17
103,31.1971,24.7374,29,8,79,23,1011,24.0505,26.6605,19
104,55.6003,23.3886,28,8,74,50,1008,32.0968,28.2395,7
105,55.6003,30.2481,22,13,86,64,1019,18.7068,31.866,19
106,62.9666,21.0727,23,7,88,7,1010,53.5852,24.5258,11
107,0.0,0.0,26,12,70,6,1009,0.2566,12.7186,18
108,74.1419,31.9593,27,3,90,84,1010,39.453,32.0341,14
109,0.0,0.0,30,31,67,9,1008,30.7194,29.5386,21
110,55.6003,12.0863,27,13,70,0,1014,17.1148,24.3489,5
111,55.6003,39.3634,26,9,85,69,1009,26.9486,27.4583,16
112,36.6786,15.4675,16,28,75,63,1019,28.0478,35.555,16
113,24.3925,0.0,27,2,82,37,1010,28.4033,20.5678,2
114,60.1022,22.2231,28,17,74,28,1007,32.6521,18.3368,8
115,72.1185,47.3499,20,21,68,2,1022,34.415,30.6193,9
116,60.1022,33.0075,33,4,44,49,1007,36.6574,27.3898,5
117,62.9666,0.0,26,16,72,17,1010,32.0613,24.5258,14
118,72.1185,32.2675,26,18,75,22,1010,56.1313,28.7515,3
119,24.3925,0.0,18,12,45,5,1023,24.3457,16.696,2
120,35.5758,0.0,33,12,55,0,1005,19.0878,19.761,18
121,55.6003,30.2481,30,13,29,5,1012,10.4206,31.866,19
122,74.1419,45.9018,27,3,88,48,1010,39.453,33.4671,2
123,75.4504,41.961,28,26,79,26,1010,42.5605,28.3293,4
124,62.9666,23.5088,23,0,94,58,1011,32.0613,24.1167,7
125,42.0114,30.9679,23,22,55,21,1014,51.5852,24.8272,15
126,0.0,0.0,18,22,83,4,1014,44.1074,26.7075,15
127,36.6786,0.0,18,16,52,14,1010,31.9642,29.0593,19
128,62.9666,23.9643,27,12,42,0,1015,32.5883,28.0572,5
129,26.6919,0.0,28,17,78,56,1008,27.4188,25.91,20
130,23.6093,12.9477,17,23,77,99,1019,12.9586,14.8703,14
131,62.9666,26.0915,25,4,100,57,1008,26.0712,29.9183,2
132,12.3153,0.0,27,14,88,20,1008,7.18013,8.88497,12
133,17.6814,0.0,22,14,48,10,1023,19.3632,9.25659,13
134,42.0114,0.0,17,22,75,33,1015,0.2566,26.5509,14
135,40.9425,0.0,23,7,48,22,1012,29.4052,37.9599,15
136,62.9666,26.0915,14,21,90,63,1025,33.8978,29.9183,2
137,75.4504,41.961,16,6,74,42,1022,13.5688,28.4956,4
138,58.7808,24.2897,17,22,75,33,1015,33.3112,36.1303,14
139,58.7808,0.0,17,5,64,75,1026,13.3375,36.1303,4
140,0.0,0.0,22,13,86,64,1019,20.3114,20.3058,19
