batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,strike_rate,player_name,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,wickets_taken,econ
0,11.1555,27,13,0,86,23,1010,3,2,1,0,17.731,33.8394,20,15.95,25.7,1.43,0.52,4.18,62.06225681,Shehan Jayasuriya,50.2655,27.1251,28,15,0,77,44,1008,3,0,25.4529,15.0427,41.06,43.65,1.25,5.643986254
0,0,27,13,0,86,23,1010,3,2,1,0,0,0,20,-7.11E-15,4.11,-1.33E-15,0.02,10.01,-1.73E-13,Jeffrey Vandersay,48.4599,48.4599,28,15,0,77,44,1008,3,0,48.4599,48.4599,49.15,38,0.59,7.760526316
42.0114,14.2087,27,13,0,86,23,1010,3,2,1,0,39.8244,34.154,20,48.42,41.21,4.59,2.87,1.58,117.4957535,Kusal Mendis,0,0,28,15,0,77,44,1008,3,0,0,0,0,0,0,0
33.1031,24.6616,27,13,0,86,23,1010,3,2,1,0,37.6255,26.9792,20,40.71,34.74,2.72,0.89,5.78,117.1848014,Dasun Shanaka,30.0292,12.5537,28,15,0,77,44,1008,3,0,5.5442,9.22043,15.8,13.93,0.19,6.805455851
31.1971,24.7374,27,13,0,86,23,1010,3,2,1,0,24.0505,15.6412,20,17.48,18.8,1.44,0.39,6.93,92.9787234,Dhananjaya de Silva,92.2034,20.839,28,15,0,77,44,1008,3,0,24.9738,21.9744,43.76,47.03,0.9,5.582819477
28.35,28.35,27,13,0,86,23,1010,3,2,1,0,27.382,24.6924,20,21.4,22.22,1.7,0.56,2.57,96.30963096,Avishka Fernando,0,0,28,15,0,77,44,1008,3,0,0,0,0,0,0,0
29.7883,29.7883,27,13,0,86,23,1010,3,2,1,0,29.7883,23.6162,20,26.87,26.57,3.28,0.52,5.71,101.129093,Asela Gunaratne,73.8808,73.8808,28,15,0,77,44,1008,3,0,73.8808,23.0978,39.3,34.18,0.93,6.898771211
9.12361,8.19506,27,13,0,86,23,1010,3,2,1,0,9.12361,8.00706,20,8.86,20.17,0.57,0.01,9.86,43.9266237,Lakshan Sandakan,87.0907,20.8634,28,15,0,77,44,1008,3,0,12.1068,13.7674,31.71,35.41,1.26,5.373058458
0,12.6159,27,13,0,86,23,1010,3,2,1,0,0,0.2238,20,-7.11E-15,4.01,0.01,0.01,9.98,-1.77E-13,Lahiru Kumara,52.6447,18.5565,28,15,0,77,44,1008,3,0,19.6481,26.3492,44.04,45.15,0.9,5.852491694
0,0,27,13,0,86,23,1010,3,2,1,0,32.8014,23.7148,20,32.64,32.3,4.25,0.6,2.9,101.0526316,PWH de Silva,39.3799,39.3799,28,15,0,77,44,1008,3,0,14.2384,26.7034,37.08,34.89,1.39,6.37661221
22.8727,20.1611,27,13,0,86,23,1010,3,2,1,0,22.8542,14.6339,20,15.99,17.07,1.34,0.25,8.8,93.67311072,Akila Dananjaya,140.869,24.6319,28,15,0,77,44,1008,3,0,25.2212,24.9356,47.33,50.03,1.65,5.676194283
22.7797,22.7797,27,13,0,86,23,1010,3,2,1,0,22.7797,22.7797,20,21.29,21.09,1.52,0.3,6.39,100.9483167,Isuru Udana,62.0616,62.0616,28,15,0,77,44,1008,3,0,21.1532,13.5422,44.54,42.98,1.34,6.21777571
