batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season,player_name,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,is_out,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,match_number,result,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,wickets_taken,bowling_contribution
55.6003,43.7288,22,11,0,51,0,1010,4,2,2,1,44.0018,27.4583,1,Thisara Perera,36,15,6,1,240.0,1,0.127208480565371,240.0,283,5,288,280,18,2938,1,441.988,19.0567,28.0,9.0,0.0,36.0,0.0,1010.0,4.0,1.0,48.9939,85.9906,27.0,36.0,2.0,0.09540636042402827
23.6093,0.2238,22,11,0,51,0,1010,4,2,2,1,5.44928,7.6117,1,Suranga Lakmal,0,0,0,0,0.0,0,0.0,0.0,283,5,288,280,18,2938,1,288.64,36.1368,28.0,9.0,0.0,36.0,0.0,1010.0,4.0,1.0,58.5641,45.2125,48.0,48.0,0.0,0.1696113074204947
0.0,21.7998,22,11,0,51,0,1010,4,2,2,1,22.7182,21.7998,1,Thilan Thushara,0,0,0,0,0.0,0,0.0,0.0,283,5,288,280,18,2938,1,31.9636,25.6873,28.0,9.0,0.0,36.0,0.0,1010.0,4.0,1.0,25.5441,21.458,62.0,60.0,2.0,0.21908127208480566
0.0,4.4578,22,11,0,51,0,1010,4,2,2,1,4.4906,4.4578,1,Chanaka Welegedara,0,0,0,0,0.0,0,0.0,0.0,283,5,288,280,18,2938,1,29.6395,20.1244,28.0,9.0,0.0,36.0,0.0,1010.0,4.0,1.0,19.6409,20.5927,66.0,60.0,5.0,0.2332155477031802
62.9666,26.0915,24,5,0,50,0,1012,4,2,2,1,34.4715,40.7923,1,Upul Tharanga,118,126,18,0,93.65,1,0.46825396825396826,93.65,252,1,257,250,9,2940,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.1022,51.1083,24,5,0,50,0,1012,4,2,2,1,36.6574,27.3898,1,Mahela Jayawardene,108,117,13,0,92.31,2,0.42857142857142855,92.31,252,1,257,250,9,2940,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.1185,45.5833,24,5,0,50,0,1012,4,2,2,1,41.6504,42.9488,1,Kumar Sangakkara,17,14,2,0,121.43,1,0.06746031746031746,121.43,252,1,257,250,9,2940,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,24,5,0,50,0,1012,4,2,2,1,0.0,0.0,1,Malinga Bandara,0,0,0,0,0.0,0,0.0,0.0,252,1,257,250,9,2940,1,0.0,20.1396,30.0,7.0,0.0,30.0,0.0,1013.0,4.0,1.0,20.4327,21.5387,44.0,60.0,0.0,0.1746031746031746
33.3753,47.0303,24,5,0,50,0,1012,4,2,2,1,50.5071,29.1962,1,Thilan Samaraweera,0,0,0,0,0.0,0,0.0,0.0,252,1,257,250,9,2940,1,0.0,8.4375,30.0,7.0,0.0,30.0,0.0,1013.0,4.0,1.0,8.8007,4.2857,17.0,6.0,0.0,0.06746031746031746
55.6003,43.7288,24,5,0,50,0,1012,4,2,2,1,44.0018,28.2395,1,Thisara Perera,0,0,0,0,0.0,0,0.0,0.0,252,1,257,250,9,2940,1,441.988,19.0567,30.0,7.0,0.0,30.0,0.0,1013.0,4.0,1.0,48.9939,51.752,32.0,60.0,2.0,0.12698412698412698
22.8244,20.5623,24,5,0,50,0,1012,4,2,2,1,22.3991,22.8244,1,Suraj Randiv,0,0,0,0,0.0,0,0.0,0.0,252,1,257,250,9,2940,1,105.123,30.9399,30.0,7.0,0.0,30.0,0.0,1013.0,4.0,1.0,30.2562,16.1213,40.0,60.0,2.0,0.15873015873015872
0.0,21.7998,24,5,0,50,0,1012,4,2,2,1,22.7182,0.0,1,Thilan Thushara,0,0,0,0,0.0,0,0.0,0.0,252,1,257,250,9,2940,1,31.9636,25.6873,30.0,7.0,0.0,30.0,0.0,1013.0,4.0,1.0,25.5441,23.4307,67.0,54.0,1.0,0.26587301587301587
38.8512,38.8512,24,5,0,50,0,1012,4,2,2,1,9.5933,13.4982,1,Nuwan Kulasekara,0,0,0,0,0.0,0,0.0,0.0,252,1,257,250,9,2940,1,413.386,17.9419,30.0,7.0,0.0,30.0,0.0,1013.0,4.0,1.0,31.5971,31.7433,48.0,60.0,2.0,0.19047619047619047
62.9666,26.0915,30,5,0,35,0,1012,4,1,1,1,34.4715,29.9183,1,Upul Tharanga,0,4,0,0,0.0,2,0.0,0.0,213,10,277,0,10,2941,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.1419,45.9018,30,5,0,35,0,1012,4,1,1,1,31.9185,38.0494,1,Tillakaratne Dilshan,33,17,8,0,194.12,2,0.15492957746478872,194.12,213,10,277,0,10,2941,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.1185,45.5833,30,5,0,35,0,1012,4,1,1,1,41.6504,38.9143,1,Kumar Sangakkara,68,78,9,0,87.18,2,0.3192488262910798,87.18,213,10,277,0,10,2941,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.1022,51.1083,30,5,0,35,0,1012,4,1,1,1,36.6574,37.9844,1,Mahela Jayawardene,5,13,1,0,38.46,2,0.023474178403755867,38.46,213,10,277,0,10,2941,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.3753,47.0303,30,5,0,35,0,1012,4,1,1,1,50.5071,29.6167,1,Thilan Samaraweera,0,6,0,0,0.0,2,0.0,0.0,213,10,277,0,10,2941,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.8255,12.2085,30,5,0,35,0,1012,4,1,1,1,12.7989,16.3609,1,Thilina Kandamby,1,11,0,0,9.09,2,0.004694835680751174,9.09,213,10,277,0,10,2941,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.6003,43.7288,30,5,0,35,0,1012,4,1,1,1,44.0018,27.4583,1,Thisara Perera,11,17,2,0,64.71,2,0.051643192488262914,64.71,213,10,277,0,10,2941,0,441.988,19.0567,24.0,3.0,0.0,57.0,0.0,1012.0,4.0,2.0,48.9939,85.9906,32.0,30.0,1.0,0.15023474178403756
22.8244,20.5623,30,5,0,35,0,1012,4,1,1,1,22.3991,19.6594,1,Suraj Randiv,56,76,5,0,73.68,2,0.26291079812206575,73.68,213,10,277,0,10,2941,0,105.123,30.9399,24.0,3.0,0.0,57.0,0.0,1012.0,4.0,2.0,30.2562,53.84,19.0,36.0,0.0,0.0892018779342723
0.0,21.7998,30,5,0,35,0,1012,4,1,1,1,22.7182,21.7998,1,Thilan Thushara,28,44,3,0,63.64,2,0.13145539906103287,63.64,213,10,277,0,10,2941,0,31.9636,25.6873,24.0,3.0,0.0,57.0,0.0,1012.0,4.0,2.0,25.5441,21.458,33.0,36.0,1.0,0.15492957746478872
0.0,4.4578,30,5,0,35,0,1012,4,1,1,1,4.4906,4.4578,1,Chanaka Welegedara,1,4,0,0,25.0,2,0.004694835680751174,25.0,213,10,277,0,10,2941,0,29.6395,20.1244,24.0,3.0,0.0,57.0,0.0,1012.0,4.0,2.0,19.6409,20.5927,51.0,34.0,0.0,0.23943661971830985
