,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,deliveries,wickets_taken,bowling_contribution,economy
35,55.6003,11.6871,27,17,9,87,67,1007,1,1,0,1,28.2778,27.0232,0,0,0,0,2,0.0416666666666666,200.0,288,10,293,288.0,20,441.988,26.7721,26.0,13.0,3.0,90.0,63.0,1009.0,2.0,1.0,46.4186,47.0055,1,1,0.1145833333333333,2
36,75.4504,27.5146,14,12,0,79,92,1022,3,1,0,0,34.7231,29.6158,0,0,0,0,1,0.0636604774535809,133.33,377,8,300,377.0,18,354.802,26.7183,14.0,11.0,0.0,80.0,95.0,1022.0,3.0,0.0,12.5456,15.2778,0,0,0.0901856763925729,2
37,74.1419,42.7845,17,17,2,92,98,1015,3,2,0,1,24.584,34.9702,0,0,0,0,0,0.0082644628099173,50.0,121,10,162,232.0,10,0.0,0.0,22.0,14.0,0.0,82.0,97.0,1014.0,3.0,0.0,0.0,0.0,0,0,0.0,0
38,31.4101,31.4101,18,12,0,45,5,1023,3,1,0,0,33.7178,16.4525,0,0,0,0,1,0.0296610169491525,87.5,236,10,287,236.0,9,122.804,122.804,20.0,12.0,0.0,40.0,4.0,1020.0,3.0,0.0,27.8866,17.01,1,0,0.1779661016949152,2
39,74.1419,45.9018,27,2,7,91,56,1009,2,1,0,1,39.453,59.914,2,1,2,0,0,0.2275641025641025,139.22,312,4,300,312.0,13,264.519,9.7462,24.0,3.0,8.0,99.0,57.0,1010.0,1.0,1.0,26.4389,18.1202,1,1,0.1185897435897435,2
40,0.0,0.0,18,22,0,83,4,1014,3,2,0,0,14.3356,9.8822,0,0,0,0,2,0.018348623853211,75.0,327,10,289,368.0,10,0.0,0.0,23.0,24.0,0.0,60.0,0.0,1014.0,3.0,0.0,23.9102,19.9617,1,0,0.2110091743119266,2
41,58.7808,33.0939,20,16,0,61,2,1003,3,2,1,0,47.166,34.9796,2,3,1,0,1,0.3686868686868687,76.84,198,10,240,306.0,13,0.0,0.0,32.0,16.0,0.0,24.0,2.0,1001.0,3.0,0.0,0.0,0.0,0,0,0.0,0
42,28.3833,20.8572,16,11,0,70,16,1002,3,2,0,1,20.4056,17.1691,0,0,0,0,2,0.0763888888888889,100.0,144,10,167,226.0,15,186.993,22.0079,18.0,19.0,0.0,66.0,33.0,1002.0,3.0,0.0,7.0213,26.255,1,1,0.2083333333333333,2
43,27.4905,27.4905,11,14,1,97,100,1015,3,1,0,0,4.52982,22.5896,0,0,0,0,2,0.0298507462686567,22.22,67,10,144,67.0,7,35.1569,35.1569,11.0,11.0,2.0,98.0,100.0,1015.0,3.0,1.0,4.337,20.4036,0,0,0.1343283582089552,2
44,26.6919,26.6919,19,17,0,73,36,1019,3,1,0,0,46.9298,18.0652,1,2,1,0,0,0.3823529411764705,61.9,136,10,176,136.0,11,0.0,0.0,20.0,20.0,0.0,72.0,50.0,1017.0,3.0,0.0,0.0,0.0,0,0,0.0,0
45,55.6003,25.3841,16,28,0,75,63,1019,3,1,0,0,13.2255,24.3489,0,0,0,0,2,0.0042372881355932,20.0,236,10,296,236.0,19,441.988,13.2901,15.0,31.0,0.0,78.0,43.0,1019.0,3.0,0.0,29.0691,80.4983,1,0,0.1822033898305084,2
46,75.4504,75.4504,30,5,0,45,0,1008,3,1,0,0,24.8153,27.9644,0,0,0,0,1,0.0,0.0,327,6,300,327.0,15,354.802,354.802,19.0,1.0,0.0,92.0,0.0,1011.0,3.0,1.0,45.6636,11.8636,1,1,0.0886850152905198,2
47,75.4504,41.961,24,2,0,78,0,1011,3,2,0,1,59.2657,28.3293,2,2,1,0,2,0.2831858407079646,84.21,226,10,299,232.0,9,354.802,35.0584,38.0,12.0,0.0,18.0,6.0,1010.0,3.0,0.0,13.6957,48.0335,1,1,0.163716814159292,2
48,12.3153,17.6595,29,30,0,77,6,1009,3,2,1,0,4.7472,8.88497,0,0,0,0,2,0.0,0.0,238,10,281,306.0,21,158.92,32.8064,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,23.9772,32.8564,1,0,0.2478991596638655,2
49,21.6281,21.6281,18,23,0,71,11,1024,3,2,1,0,19.8436,17.6223,0,0,0,0,2,0.0,0.0,274,2,266,272.0,20,75.058,75.058,21.0,21.0,0.0,64.0,9.0,1024.0,3.0,0.0,19.0833,29.184,1,0,0.2591240875912409,2
50,22.8727,12.424,27,3,2,79,69,1010,3,1,0,1,13.5671,17.6027,0,0,0,0,2,0.0368852459016393,75.0,244,8,300,244.0,11,140.869,28.9678,25.0,3.0,3.0,88.0,59.0,1010.0,2.0,1.0,20.0427,37.0369,1,1,0.2459016393442623,2
51,55.6003,12.0863,26,22,1,70,33,1006,3,1,0,1,32.0968,24.3489,0,1,0,0,2,0.1259259259259259,51.52,135,8,252,135.0,31,441.988,11.4232,23.0,15.0,0.0,84.0,38.0,1008.0,3.0,1.0,39.2752,80.4983,1,0,0.2296296296296296,2
52,23.6093,5.71563,17,22,2,75,33,1015,3,1,0,1,23.6093,14.8703,0,0,0,0,2,0.0,0.0,254,7,300,254.0,16,288.64,24.1768,16.0,13.0,2.0,83.0,41.0,1015.0,3.0,1.0,10.2164,42.5391,1,0,0.0826771653543307,2
53,42.0114,30.9679,19,17,0,59,19,1015,3,2,0,1,41.4803,26.2645,0,0,0,0,0,0.0541871921182266,110.0,203,10,249,300.0,15,0.0,0.0,18.0,15.0,0.0,63.0,13.0,1015.0,3.0,0.0,0.0,0.0,0,0,0.0,0
54,62.9666,62.9666,23,15,0,80,2,1011,3,2,0,1,25.2778,27.935,0,1,1,0,0,0.1397849462365591,86.67,186,10,227,308.0,6,0.0,0.0,28.0,19.0,0.0,63.0,1.0,1011.0,3.0,0.0,0.0,0.0,0,0,0.0,0
55,35.5758,39.2028,14,14,0,70,10,1017,3,1,0,1,21.7435,13.3835,0,0,0,0,2,0.0144927536231884,66.67,138,10,227,138.0,3,594.115,38.7467,17.0,13.0,0.0,61.0,0.0,1015.0,3.0,0.0,22.6639,51.0771,1,1,0.2463768115942029,2
56,58.7808,19.3543,22,12,0,77,19,1009,3,2,1,0,24.4179,28.0959,0,2,1,0,1,0.1736526946107784,44.62,167,10,260,224.0,11,0.0,0.0,27.0,18.0,0.0,56.0,28.0,1007.0,3.0,0.0,0.0,0.0,0,0,0.0,0
57,55.6003,21.5397,19,14,0,67,23,1019,3,1,0,1,24.9023,8.87793,0,0,0,0,2,0.0192837465564738,63.64,363,9,300,363.0,13,441.988,41.8286,15.0,9.0,0.0,87.0,74.0,1019.0,2.0,1.0,33.6773,20.2643,1,0,0.1129476584022038,2
58,29.7883,29.7883,31,36,0,64,14,1009,3,1,0,0,36.0918,23.2514,1,2,1,0,1,0.2906403940886699,72.84,203,8,300,203.0,27,73.8808,73.8808,28.0,28.0,0.0,75.0,5.0,1010.0,3.0,0.0,17.0248,25.429,0,0,0.1133004926108374,2
59,58.7808,19.5385,16,11,0,70,16,1002,3,2,0,1,29.5476,36.1303,0,0,0,0,1,0.0555555555555555,100.0,144,10,167,226.0,15,0.0,0.0,18.0,19.0,0.0,66.0,33.0,1002.0,3.0,0.0,0.0,0.0,0,0,0.0,0
60,74.1419,43.1817,24,3,11,94,70,1010,2,2,1,1,54.7206,30.6374,0,0,1,0,0,0.1166666666666666,110.53,180,5,195,162.0,10,0.0,0.0,25.0,3.0,18.0,91.0,65.0,1009.0,1.0,0.0,0.0,0.0,0,0,0.0,0
61,55.6003,43.7288,17,21,0,66,31,1022,3,1,0,1,22.614,27.0232,0,0,0,0,2,0.0,0.0,213,3,247,213.0,13,441.988,19.0567,15.0,15.0,0.0,77.0,47.0,1023.0,3.0,1.0,20.7557,47.0055,1,1,0.1830985915492957,2
62,22.8727,12.424,28,1,3,76,78,1012,2,1,0,1,13.5671,17.6027,0,1,0,0,2,0.0569948186528497,36.67,193,10,207,193.0,19,140.869,28.9678,27.0,9.0,10.0,86.0,83.0,1011.0,1.0,0.0,20.0427,37.0369,1,1,0.2590673575129533,2
63,38.8512,38.8512,23,5,1,92,21,1010,3,2,1,0,23.6153,24.6084,0,0,0,0,2,0.0358974358974358,233.33,195,7,245,193.0,13,413.386,17.9419,27.0,8.0,1.0,74.0,29.0,1010.0,3.0,0.0,37.0663,58.0883,1,0,0.1794871794871795,2
64,24.3925,24.3925,30,16,0,63,25,1009,3,1,0,0,23.1596,22.602,0,0,0,0,1,0.0613718411552346,100.0,277,9,300,277.0,16,0.0,0.0,27.0,19.0,1.0,78.0,39.0,1007.0,3.0,0.0,7.2706,7.7049,0,0,0.0252707581227436,1
65,17.6814,17.6814,19,14,0,67,23,1019,3,1,0,1,25.8974,25.5038,0,0,0,0,2,0.0330578512396694,133.33,363,9,300,363.0,13,79.9514,79.9514,15.0,9.0,0.0,87.0,74.0,1019.0,2.0,1.0,7.4375,7.85568,1,1,0.140495867768595,2
66,28.35,28.35,27,13,0,86,23,1010,3,2,1,0,27.382,24.6924,2,2,2,1,0,0.3388429752066115,109.33,242,3,268,239.0,22,0.0,0.0,28.0,15.0,0.0,77.0,44.0,1008.0,3.0,0.0,0.0,0.0,0,0,0.0,0
67,55.6003,21.5397,18,10,0,40,7,1012,3,1,0,1,21.1306,27.4583,0,0,0,0,2,0.0209790209790209,120.0,286,8,300,286.0,13,441.988,41.8286,17.0,10.0,0.0,43.0,17.0,1014.0,3.0,0.0,7.2705,85.9906,0,0,0.0699300699300699,2
68,62.9666,62.9666,26,6,0,74,2,1013,3,2,0,1,21.0859,29.9183,0,1,0,0,0,0.1443298969072164,52.83,194,10,236,364.0,18,0.0,0.0,30.0,4.0,0.0,64.0,0.0,1011.0,3.0,0.0,0.0,0.0,0,0,0.0,0
69,22.8244,20.5623,25,4,6,99,54,1010,2,2,1,1,24.8113,19.6594,0,0,0,0,2,0.0,0.0,211,3,225,210.0,16,105.123,30.9399,27.0,5.0,4.0,91.0,51.0,1009.0,2.0,0.0,23.9232,53.84,1,0,0.1895734597156398,2
70,22.8244,20.5623,27,2,3,82,37,1010,2,1,0,1,24.8113,19.6594,1,2,1,0,2,0.2529411764705882,70.49,170,10,277,170.0,11,105.123,30.9399,24.0,4.0,3.0,95.0,47.0,1010.0,2.0,1.0,23.9232,53.84,1,0,0.2235294117647059,2
71,31.1971,24.7374,19,17,0,73,36,1019,3,1,0,0,3.99915,20.7329,0,0,0,0,1,0.0294117647058823,30.77,136,10,176,136.0,11,0.0,0.0,20.0,20.0,0.0,72.0,50.0,1017.0,3.0,0.0,0.0,0.0,0,0,0.0,0
72,35.5758,39.2028,28,15,0,70,51,1015,3,1,0,0,12.8045,22.6286,0,0,0,0,2,0.0,0.0,201,10,293,201.0,23,594.115,38.7467,29.0,16.0,0.0,70.0,7.0,1012.0,3.0,0.0,19.8451,93.0253,1,0,0.2885572139303483,2
73,40.9425,40.9425,23,15,0,80,2,1011,3,2,0,1,17.8238,30.3805,0,0,0,0,0,0.1344086021505376,113.64,186,10,227,308.0,6,0.0,0.0,28.0,19.0,0.0,63.0,1.0,1011.0,3.0,0.0,0.0,0.0,0,0,0.0,0
74,29.9675,29.9675,18,23,0,61,90,1013,3,2,0,1,12.9586,16.3814,0,0,0,0,1,0.0121457489878542,75.0,247,10,275,335.0,8,63.9646,63.9646,20.0,22.0,0.0,48.0,27.0,1013.0,3.0,0.0,5.4498,19.9269,0,0,0.068825910931174,2
75,58.7808,22.7266,34,18,0,51,0,1008,3,1,0,1,21.9839,27.4652,0,1,0,0,0,0.0913461538461538,38.78,208,10,290,208.0,13,0.0,0.0,30.0,12.0,0.0,71.0,0.0,1010.0,3.0,0.0,0.0,0.0,0,0,0.0,0
76,55.6003,21.5397,32,6,0,39,5,1011,3,1,0,1,18.574,27.4583,0,0,0,0,2,0.0364963503649635,90.91,274,8,300,274.0,18,441.988,41.8286,29.0,6.0,0.0,43.0,0.0,1012.0,3.0,0.0,10.7604,85.9906,0,0,0.1277372262773722,2
77,40.9425,35.6938,16,9,0,67,7,1020,3,2,0,1,26.9646,26.1648,0,0,1,0,1,0.0876494023904382,110.0,251,8,300,393.0,11,0.0,0.0,19.0,5.0,0.0,57.0,15.0,1019.0,3.0,0.0,0.0,0.0,0,0,0.0,0
78,28.3833,0.2238,23,10,0,64,24,1013,3,1,0,0,39.1934,23.1065,1,1,0,0,2,0.1666666666666666,62.5,180,10,240,180.0,10,186.993,14.71,23.0,11.0,0.0,48.0,0.0,1012.0,3.0,0.0,30.7949,32.0391,1,1,0.1833333333333333,2
79,58.7808,24.4346,22,14,0,48,10,1023,3,1,0,1,8.98242,16.2816,0,0,0,0,1,0.026595744680851,31.25,188,10,282,188.0,8,0.0,0.0,21.0,19.0,0.0,56.0,4.0,1022.0,3.0,0.0,0.0,0.0,0,0,0.0,0
80,35.5758,24.4585,22,17,0,80,31,1016,3,2,1,0,5.6652,14.2842,0,0,0,0,2,0.0,0.0,152,2,145,152.0,10,594.115,40.9675,26.0,16.0,0.0,59.0,28.0,1015.0,3.0,0.0,25.0992,79.1412,1,0,0.2763157894736842,2
81,23.6093,16.2374,15,5,1,65,34,1018,3,1,0,0,51.0646,50.671,0,0,0,0,2,0.0372670807453416,300.0,322,8,300,322.0,13,288.64,26.011,15.0,2.0,1.0,67.0,13.0,1018.0,3.0,0.0,10.0717,10.6297,1,1,0.170807453416149,2
82,35.5758,24.4585,33,15,0,25,8,1012,3,1,0,1,10.207,22.6286,0,0,0,0,2,0.0042918454935622,100.0,233,8,300,233.0,13,594.115,40.9675,25.0,21.0,0.0,47.0,7.0,1012.0,3.0,0.0,17.7652,93.0253,1,0,0.2103004291845493,2
83,50.1772,29.7986,32,6,0,39,5,1011,3,1,0,1,0.2566,18.5282,0,0,0,0,0,0.0,0.0,274,8,300,274.0,18,0.0,0.0,29.0,6.0,0.0,43.0,0.0,1012.0,3.0,0.0,0.0,0.0,0,0,0.0,0
84,40.9425,32.8603,26,12,0,70,6,1009,3,2,0,1,32.5956,30.3805,0,0,0,0,0,0.0350877192982456,100.0,285,10,272,364.0,10,0.0,0.0,27.0,10.0,1.0,68.0,14.0,1011.0,3.0,0.0,0.0,0.0,0,0,0.0,0
85,31.4101,22.2998,28,18,0,73,33,1009,3,1,0,1,45.4385,37.5745,0,0,0,0,2,0.0677290836653386,106.25,251,8,300,251.0,15,122.804,35.6363,27.0,12.0,0.0,83.0,35.0,1011.0,3.0,1.0,38.9943,34.7477,1,0,0.147410358565737,2
86,23.6093,23.6093,28,5,0,32,2,1012,3,2,1,0,5.44928,15.9986,0,0,0,0,2,0.0,0.0,261,5,278,261.0,8,288.64,288.64,33.0,11.0,0.0,20.0,2.0,1013.0,3.0,0.0,58.5641,52.63,1,0,0.1570881226053639,2
87,38.8512,24.018,23,13,0,76,88,1019,3,1,0,0,35.9083,16.2546,0,0,0,1,1,0.0932203389830508,169.23,236,6,300,236.0,6,413.386,44.2963,23.0,19.0,0.0,79.0,56.0,1019.0,3.0,0.0,18.0432,81.6954,1,0,0.1991525423728813,2
88,29.9675,23.0997,30,9,0,60,0,1008,3,2,1,0,9.9821,22.0457,0,0,0,0,1,0.0160427807486631,60.0,187,10,288,220.0,11,63.9646,10.3331,34.0,16.0,0.0,43.0,0.0,1007.0,3.0,0.0,9.0913,31.699,0,0,0.0481283422459893,2
89,74.1419,35.0819,26,20,1,87,87,1010,3,2,1,0,41.6468,33.4671,0,0,0,0,0,0.0773480662983425,66.67,181,10,247,317.0,11,264.519,28.064,27.0,20.0,4.0,85.0,92.0,1008.0,2.0,0.0,46.1399,50.4942,0,0,0.1104972375690607,2
90,23.6093,12.9657,27,10,0,33,12,1009,3,2,0,0,5.44928,13.4704,0,0,0,0,2,0.0,0.0,83,0,71,83.0,9,288.64,38.6801,27.0,9.0,0.0,36.0,2.0,1011.0,3.0,0.0,58.5641,44.1083,1,1,0.253012048192771,2
91,9.12361,9.12361,18,22,0,83,4,1014,3,2,0,0,8.2656,6.52131,0,0,0,0,2,0.0030581039755351,50.0,327,10,289,368.0,10,87.0907,87.0907,23.0,24.0,0.0,60.0,0.0,1014.0,3.0,0.0,20.1297,52.191,1,0,0.1896024464831804,2
92,60.1022,22.2231,26,6,0,37,6,1011,3,2,1,0,36.6574,27.3898,0,0,0,0,1,0.0,0.0,208,7,294,205.0,9,0.0,0.0,32.0,12.0,0.0,24.0,5.0,1011.0,3.0,0.0,0.0,0.0,0,0,0.0,0
93,29.9675,29.9675,27,14,8,88,20,1008,1,1,0,1,26.0396,22.0457,0,0,0,0,2,0.07421875,172.73,256,9,300,256.0,15,63.9646,63.9646,26.0,12.0,9.0,91.0,36.0,1010.0,1.0,1.0,27.1061,31.699,1,0,0.109375,2
