,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,strike_rate,player_name
0,62.9666,26.4254,27,13,0,86,23,1010,3,2,1,0,30.7026,40.7923,20,39.750809572508985,44.662727511084576,3.977280196925004,0.3819357021287103,2.6784916941268335,0.8900219889760084,1
1,53.017,0.0,27,13,0,86,23,1010,3,2,1,0,38.4293,31.198,20,39.58416544514917,42.622434832130374,3.605286285074988,2.2718926595216202,4.361136630736795,0.9287166629746162,6
2,55.6003,30.2481,27,13,0,86,23,1010,3,2,1,0,28.2778,28.2395,20,20.54430066042676,23.701603002338878,2.0991295037832445,0.33234294216979365,5.028144582572868,0.8667895018914731,9
3,0.0,0.0,27,13,0,86,23,1010,3,2,1,0,0.0,0.0,20,0.7786496312498014,3.256350298117114,0.03161616254087475,0.01256687254428375,9.887437463776566,0.2391172816081955,11
4,0.0,0.0,27,13,0,86,23,1010,3,2,1,0,0.0,0.0,20,0.7786496312498014,3.256350298117114,0.03161616254087475,0.01256687254428375,9.887437463776566,0.2391172816081955,12
5,23.6093,16.2374,27,13,0,86,23,1010,3,2,1,0,5.80232,13.4704,20,1.6626262839556076,7.343475561899365,0.03361109727689657,0.009722867361429922,8.866088079351377,0.2264086357939176,13
6,75.4504,36.1573,27,13,0,86,23,1010,3,2,1,0,44.097,49.4372,20,44.512893269888664,50.55309898523625,4.447494816565101,2.4245282937692685,4.917517299054983,0.880517597603431,14
7,24.3925,0.0,27,13,0,86,23,1010,3,2,1,0,0.0,57.162,20,0.7786496312498014,5.561987205126043,0.06977660530143473,0.014800761566176036,6.9000446948620695,0.13999486200403008,15
8,38.8512,0.0,27,13,0,86,23,1010,3,2,1,0,20.2876,13.4982,20,12.695853367967466,16.60074958883348,1.0975835457678698,0.24835528267967777,8.844330163548065,0.7647759096677991,16
9,58.7808,23.1378,27,13,0,86,23,1010,3,2,1,0,39.512,25.1925,20,34.168728032634284,38.82221180358221,3.1514369607932413,1.2478082037825833,4.883830242912731,0.8801334711558464,19
10,31.4101,0.0,27,13,0,86,23,1010,3,2,1,0,45.4385,13.1735,20,32.9731490455778,30.652499228021025,3.0744874661809725,3.519707700507137,8.59273368273331,1.0757083394829792,20
11,35.5758,10.8469,27,13,0,86,23,1010,3,2,1,0,16.9584,19.761,20,10.098226420613468,15.804772367641185,0.6020741980149497,0.2020510238689991,7.147757356612955,0.6389352649765875,22
12,26.6919,0.0,27,13,0,86,23,1010,3,2,1,0,27.4188,25.91,20,17.31296505967906,20.93420438055829,1.410292585976929,0.3406489086579149,7.048955438467017,0.8270180583389023,26
13,33.2246,0.0,27,13,0,86,23,1010,3,2,1,0,0.0,0.0,20,0.7786496312498014,3.256350298117114,0.03161616254087475,0.009722867361429922,8.81757134522087,0.2391172816081955,27
14,13.5961,0.0,27,13,0,86,23,1010,3,2,1,0,9.65222,0.0,20,4.946026598909618,10.643329128032464,0.2777042484385491,0.009722867361429922,9.56911664300826,0.4647067228131415,28
15,24.9177,12.5189,27,13,0,86,23,1010,3,2,1,0,11.3283,5.71563,20,5.4634950411529575,10.643329128032464,0.3584794453905877,0.01872139594539374,8.352303227587901,0.5133257625908769,29
16,28.3833,0.0,27,13,0,86,23,1010,3,2,1,0,16.6388,23.1065,20,10.421048313512244,15.606513857475427,0.6405767731892782,0.1406432039966624,7.134941824824701,0.6677371005902528,31
17,12.3153,17.6595,27,13,0,86,23,1010,3,2,1,0,7.18013,0.6714,20,2.2625561280661204,7.381012513989069,0.06146000439701785,0.009722867361429922,9.246778723703232,0.3065373651349253,32
18,50.1772,30.4913,27,13,0,86,23,1010,3,2,1,0,35.2199,32.5809,20,38.58759079737331,42.39806787589773,3.6384294935804906,0.5216903614128308,2.6093617514158995,0.9101261621242277,33
19,27.4905,0.0,27,13,0,86,23,1010,3,2,1,0,15.5775,28.9153,20,11.014232262603828,16.941724104897833,0.9042033276139086,0.09654079029041716,7.134941824824701,0.6501246386971693,37
