,wickets,econ,bowling_performance,bowling_performance
344,1,6.5,0,best
345,2,4.14,1,good
346,1,2.4,1,good
347,2,6.88,0,best
348,3,4.44,1,good
349,1,5.2,0,best
350,0,3,1,good
351,4,5.16,1,good
352,0,5,0,best
353,1,5.6,0,best
354,1,5.9,0,best
355,1,4,1,good
356,1,5,0,best
357,2,6.14,0,best
358,0,8.75,2,poor
359,1,12.52,2,poor
360,0,8.88,2,poor
361,1,7,0,best
362,0,8.43,2,poor
363,0,6.29,0,best
364,0,5,0,best
365,4,4.9,1,good
366,2,4.15,1,good
367,0,2,1,good
368,1,5,0,best
369,0,9.6,2,poor
370,1,6,0,best
371,1,4.3,1,good
372,0,8,2,poor
373,1,9.25,2,poor
374,1,6,0,best
375,1,7.11,0,best
376,0,3.89,1,good
377,2,7.29,0,best
378,1,5.14,0,best
379,1,4,1,good
380,0,5.7,0,best
381,3,4,1,good
382,0,7.1,0,best
383,0,5.8,0,best
384,1,4.1,1,good
385,2,4.21,1,good
386,0,6.9,0,best
387,3,4,1,good
388,3,3.6,1,good
389,0,6.7,0,best
390,1,6.7,0,best
391,0,5.4,0,best
392,0,5,0,best
393,2,5.7,0,best
394,0,7,0,best
395,0,5.5,0,best
396,0,3.14,1,good
397,2,4.63,1,good
398,1,6.26,0,best
399,1,3.29,1,good
400,0,6.5,0,best
401,0,3.63,1,good
402,2,5,1,good
403,1,6.14,0,best
404,2,4.75,1,good
405,0,7.67,2,poor
406,0,6,0,best
407,1,3.43,1,good
408,1,3.22,1,good
409,0,3,1,good
410,0,5.03,0,best
411,1,3,1,good
412,2,3.96,1,good
413,2,5,1,good
414,0,4.8,0,best
415,6,4.4,1,good
416,0,3.7,1,good
417,1,3,1,good
418,1,1,1,good
419,0,0,1,good
420,2,4.29,1,good
421,1,4,1,good
422,1,3.67,1,good
423,1,4.9,0,best
424,4,4.2,1,good
425,1,5.2,0,best
426,2,5.3,0,best
427,0,4.1,1,good
428,0,4,1,good
429,1,6.75,0,best
430,2,3.33,1,good
431,1,4,1,good
432,0,8.3,2,poor
433,1,5.8,0,best
434,3,7,0,best
435,0,5.6,0,best
436,0,5.2,0,best
437,2,4.8,1,good
438,0,7,0,best
439,3,2.38,1,good
440,3,2,1,good
441,1,4.2,1,good
442,2,6,0,best
443,1,6.33,0,best
444,0,7,0,best
445,0,5.65,0,best
446,1,4,1,good
447,0,4.67,0,best
448,0,4.75,0,best
449,1,5.13,0,best
450,0,8.5,2,poor
451,1,3,1,good
452,1,6.5,0,best
453,0,6.29,0,best
454,1,6.17,0,best
455,0,7.5,2,poor
456,3,6.4,0,best
457,1,5.3,0,best
458,0,5.8,0,best
459,2,6.3,0,best
460,1,5,0,best
461,0,5,0,best
462,2,3.9,1,good
463,1,5,0,best
464,1,5.43,0,best
465,1,7.43,0,best
466,1,2.8,1,good
467,0,5.67,0,best
468,1,5.71,0,best
469,1,6.43,0,best
470,1,3,1,good
471,0,5.5,0,best
472,2,6.8,0,best
473,0,4.5,0,best
474,0,6.67,0,best
475,0,6.33,0,best
476,2,3.4,1,good
477,0,3.17,1,good
478,1,3.2,1,good
479,1,3.83,1,good
480,3,3.75,1,good
481,1,5.3,0,best
482,1,6.1,0,best
483,1,5.75,0,best
484,1,6.2,0,best
485,0,4.25,1,good
486,0,7,0,best
487,0,8.25,2,poor
488,1,2.67,1,good
489,2,2.4,1,good
490,2,4.44,1,good
491,3,3.56,1,good
492,1,5.23,0,best
493,0,3.5,1,good
494,1,2.5,1,good
495,5,2.2,1,good
496,3,2,1,good
497,0,4.67,0,best
498,1,4.5,1,good
499,0,5,0,best
500,3,3,1,good
501,2,3.3,1,good
502,2,6.4,0,best
503,2,3.7,1,good
504,1,3.14,1,good
505,1,5.7,0,best
506,0,6.29,0,best
507,1,4.9,0,best
508,0,3.4,1,good
509,1,6.5,0,best
510,2,5.1,1,good
511,1,7.44,0,best
512,1,5.63,0,best
513,2,4,1,good
514,1,4.6,1,good
515,0,3,1,good
516,0,7.25,0,best
517,2,4.83,1,good
518,2,7.8,2,poor
519,2,4.33,1,good
520,0,8.8,2,poor
521,4,3.4,1,good
522,2,5.63,0,best
523,1,3.6,1,good
524,1,1.85,1,good
525,0,2,1,good
526,1,4.2,1,good
527,2,5.8,0,best
528,2,8,2,poor
529,0,4.67,0,best
530,2,4.6,1,good
531,0,7.25,0,best
532,1,5,0,best
533,3,4.67,1,good
534,1,6.67,0,best
535,2,4.8,1,good
536,1,7,0,best
537,1,3.14,1,good
538,0,4.5,0,best
539,0,6.75,0,best
540,0,4.17,1,good
541,1,2.5,1,good
542,0,3.5,1,good
543,1,9.33,2,poor
544,0,4.86,0,best
545,1,4.88,0,best
546,1,5.3,0,best
547,0,5.6,0,best
548,1,6.17,0,best
549,0,3.82,1,good
550,1,4.11,1,good
551,1,2.88,1,good
552,2,4.6,1,good
553,3,3.7,1,good
554,2,5.11,1,good
555,0,4.36,0,best
556,3,5.75,0,best
557,0,3.84,1,good
558,4,3.63,1,good
559,0,4.56,0,best
560,2,5.25,0,best
561,0,4,1,good
562,0,4.5,0,best
563,0,5,0,best
564,1,1,1,good
565,0,2.33,1,good
566,2,5.33,0,best
567,0,4,1,good
568,2,5.17,1,good
569,1,3.3,1,good
570,1,3.8,1,good
571,1,5.8,0,best
572,4,2,1,good
573,1,5.25,0,best
574,1,5.4,0,best
575,3,4.43,1,good
576,3,2.83,1,good
577,2,2.2,1,good
578,0,7,0,best
579,1,5.67,0,best
580,0,5.25,0,best
581,1,5.75,0,best
582,2,4,1,good
583,1,4,1,good
584,0,5,0,best
585,1,5.7,0,best
586,0,3.4,1,good
587,0,3.9,1,good
588,2,6.38,0,best
589,3,3.5,1,good
590,0,3,1,good
591,3,5.78,0,best
592,0,4.43,0,best
593,4,5.28,1,good
594,0,7.33,0,best
595,1,3.8,1,good
596,2,4,1,good
597,3,3.77,1,good
598,0,8,2,poor
599,2,2.9,1,good
600,1,4.1,1,good
601,1,3.4,1,good
602,3,4,1,good
603,1,3.43,1,good
604,0,1.5,1,good
605,0,8.4,2,poor
606,4,6.8,0,best
607,0,7,0,best
608,2,7.75,2,poor
609,0,13,2,poor
610,0,14.33,2,poor
611,2,2.8,1,good
612,1,5,0,best
613,0,4,1,good
614,3,4.17,1,good
615,0,5.17,0,best
616,0,10.33,2,poor
617,2,7.3,0,best
618,0,5.9,0,best
619,0,5.11,0,best
620,1,8.83,2,poor
621,0,5.8,0,best
622,1,4.88,0,best
623,0,9.5,2,poor
624,1,5.6,0,best
625,1,7.8,2,poor
626,0,7.13,0,best
627,0,4.64,0,best
628,1,4.5,1,good
629,0,4.2,1,good
630,0,6.6,0,best
631,0,6.5,0,best
632,1,6.7,0,best
633,1,5.8,0,best
634,0,5.8,0,best
635,2,7.25,0,best
636,0,5.75,0,best
637,0,7.25,0,best
638,0,7,0,best
639,0,5.71,0,best
640,1,5.44,0,best
641,1,2.5,1,good
642,0,4.9,0,best
643,0,10,2,poor
644,0,7.89,2,poor
645,0,5,0,best
646,1,2.6,1,good
647,3,5.6,1,good
648,0,4.4,0,best
649,4,5.7,1,good
650,1,4.2,1,good
651,0,5.5,0,best
652,1,4.63,1,good
653,0,6.33,0,best
654,3,2.86,1,good
655,2,3.67,1,good
656,1,3.89,1,good
657,2,5.63,0,best
658,0,5.5,0,best
659,2,4.13,1,good
660,2,6.67,0,best
661,2,5.38,0,best
662,1,3.4,1,good
663,2,2.4,1,good
664,1,4.33,1,good
665,3,4.9,1,good
666,1,5.11,0,best
667,0,7,0,best
668,0,5.67,0,best
669,0,7,0,best
670,5,5.29,1,good
671,2,7.22,0,best
672,1,5.22,0,best
673,1,5.6,0,best
674,0,6,0,best
675,1,5,0,best
676,1,5.8,0,best
677,0,2.7,1,good
678,3,4.1,1,good
679,0,6,0,best
680,4,6,1,good
681,1,5.1,0,best
682,0,4.6,0,best
683,2,4.29,1,good
684,3,2.9,1,good
685,2,3,1,good
686,3,1.57,1,good
687,2,3.2,1,good
688,2,3.63,1,good
689,0,3.7,1,good
690,1,3.3,1,good
691,2,6.11,0,best
692,2,3.67,1,good
693,5,5.6,1,good
694,0,4.1,1,good
695,0,6,0,best
696,0,6.6,0,best
697,0,3.29,1,good
698,0,4.75,0,best
699,3,3.63,1,good
700,2,3.75,1,good
701,0,3,1,good
702,1,3.45,1,good
703,3,2.7,1,good
704,0,3.67,1,good
705,0,7,0,best
706,0,8.88,2,poor
707,2,7.5,0,best
708,0,5.67,0,best
709,0,8.33,2,poor
710,1,4.17,1,good
711,3,3.75,1,good
712,3,2.5,1,good
713,1,4.25,1,good
714,1,6,0,best
715,4,1.81,1,good
716,1,4.5,1,good
717,0,6,0,best
718,0,4.67,0,best
719,0,4.33,1,good
720,0,9.16,2,poor
721,0,8,2,poor
722,0,4.5,0,best
723,0,8.1,2,poor
724,3,5.2,1,good
725,1,4.29,1,good
726,1,4.9,0,best
727,2,6,0,best
728,0,5,0,best
729,0,4.4,0,best
730,3,5.45,1,good
731,1,3.6,1,good
732,2,5.56,0,best
733,0,3.4,1,good
734,1,4.5,1,good
735,1,3.83,1,good
736,0,7.43,0,best
737,0,4.33,1,good
738,1,4.9,0,best
739,1,5,0,best
740,3,6.1,0,best
741,0,6.71,0,best
742,0,7.75,2,poor
743,4,4,1,good
744,0,7.8,2,poor
745,1,5.14,0,best
746,0,3.67,1,good
747,2,2.92,1,good
748,3,4,1,good
749,0,8,2,poor
750,0,8.5,2,poor
751,1,6.6,0,best
752,0,7.17,0,best
753,2,6.86,0,best
754,2,4.8,1,good
755,0,6,0,best
756,1,6.67,0,best
757,0,6.34,0,best
758,2,5.33,0,best
759,2,6.14,0,best
760,1,5.44,0,best
761,0,8.5,2,poor
762,0,5.75,0,best
763,2,8.2,2,poor
764,2,3.8,1,good
765,0,7.5,2,poor
766,2,3.6,1,good
767,3,6.33,0,best
768,1,5,0,best
769,0,5.67,0,best
770,2,4.17,1,good
771,1,2.43,1,good
772,0,2.2,1,good
773,1,2.77,1,good
774,4,4.25,1,good
775,1,2,1,good
776,0,6.67,0,best
777,1,6.56,0,best
778,0,8.25,2,poor
779,0,7.29,0,best
780,3,7.8,2,poor
781,0,7.83,2,poor
782,0,6.33,0,best
783,1,5.5,0,best
784,0,4.5,0,best
785,0,3.5,1,good
786,1,7.29,0,best
787,0,8.75,2,poor
788,0,6.6,0,best
789,0,4.5,0,best
790,3,7.07,0,best
791,0,7,0,best
792,1,4.63,1,good
793,0,8.33,2,poor
794,0,4.78,0,best
795,1,4.71,1,good
796,0,9,2,poor
797,0,5.67,0,best
798,1,2.5,1,good
799,0,3.69,1,good
800,1,9.89,2,poor
801,2,5.5,0,best
802,1,7.7,2,poor
803,0,8.6,2,poor
804,0,7,0,best
805,0,10,2,poor
806,0,11,2,poor
807,2,4.71,1,good
808,0,6.25,0,best
809,0,6.43,0,best
810,0,4.2,1,good
811,0,6.67,0,best
812,4,7.55,0,best
813,0,5.75,0,best
814,0,5.67,0,best
815,1,10.2,2,poor
816,1,5.5,0,best
817,2,6.11,0,best
818,2,6.44,0,best
819,3,4.8,1,good
820,1,5.67,0,best
821,1,3.83,1,good
822,2,3.56,1,good
823,1,4.44,1,good
824,3,4.71,1,good
825,1,5.33,0,best
826,0,4.4,0,best
827,2,4,1,good
828,2,4.86,1,good
829,0,7.75,2,poor
830,0,6,0,best
831,0,9.35,2,poor
832,0,4.5,0,best
833,1,8.17,2,poor
834,1,6.83,0,best
835,0,3.5,1,good
836,1,4.83,0,best
837,3,6.4,0,best
838,0,9.5,2,poor
839,3,3.6,1,good
840,0,5.57,0,best
841,3,6.22,0,best
842,1,4.91,0,best
843,2,3.5,1,good
844,0,3.5,1,good
845,0,6,0,best
846,0,5.86,0,best
847,1,5.44,0,best
848,1,4.33,1,good
849,3,3.88,1,good
850,2,5.5,0,best
851,0,5,0,best
852,4,3.75,1,good
853,0,5.5,0,best
854,0,7,0,best
855,1,5.89,0,best
856,3,3.7,1,good
857,2,3.13,1,good
858,0,7.33,0,best
859,0,1.5,1,good
860,3,4.38,1,good
861,0,7,0,best
862,1,2.73,1,good
863,2,4.3,1,good
864,1,8.17,2,poor
865,2,4.3,1,good
866,0,8.5,2,poor
867,2,4,1,good
868,0,4.14,1,good
869,0,5,0,best
870,1,5,0,best
871,0,10.25,2,poor
872,2,5.5,0,best
873,2,3.6,1,good
874,1,4.7,1,good
875,0,3.86,1,good
876,0,2,1,good
877,0,5.83,0,best
878,0,5,0,best
879,3,3.07,1,good
880,0,4.29,1,good
881,0,8,2,poor
882,1,5.67,0,best
883,1,4,1,good
884,1,4.33,1,good
885,1,7.25,0,best
886,0,6.22,0,best
887,1,5.71,0,best
888,0,9,2,poor
889,2,7.1,0,best
890,0,9.3,2,poor
891,1,4.9,0,best
892,2,5.14,1,good
893,0,8.29,2,poor
894,0,10.5,2,poor
895,0,7.75,2,poor
896,0,4.43,0,best
897,2,5.9,0,best
898,1,4.5,1,good
899,1,8.6,2,poor
900,0,5.4,0,best
901,0,8.5,2,poor
902,1,7,0,best
903,2,6.11,0,best
904,2,3.78,1,good
905,1,3.21,1,good
906,2,7.5,0,best
907,1,8.4,2,poor
908,1,5.4,0,best
909,1,9.75,2,poor
910,0,8.4,2,poor
911,0,4.67,0,best
912,1,4.11,1,good
913,0,7,0,best
914,2,6.2,0,best
915,2,2.5,1,good
916,3,4.24,1,good
917,2,3.6,1,good
918,3,5.86,0,best
919,1,5.4,0,best
920,1,4.1,1,good
921,0,4.33,1,good
922,3,3.89,1,good
923,2,6.13,0,best
924,1,6.35,0,best
925,0,4.3,1,good
926,1,5.21,0,best
927,2,4.38,1,good
928,1,6.3,0,best
929,1,9.26,2,poor
930,1,4.3,1,good
931,1,4.2,1,good
932,1,6,0,best
933,1,6.73,0,best
934,2,5.9,0,best
935,0,6.56,0,best
936,1,8.43,2,poor
937,1,7.7,2,poor
938,2,9.67,2,poor
939,1,6.6,0,best
940,2,3.22,1,good
941,3,2.86,1,good
942,1,5.86,0,best
943,1,3,1,good
944,0,7.13,0,best
945,3,7.12,0,best
946,1,7.17,0,best
947,0,5,0,best
948,0,13,2,poor
949,0,4.17,1,good
950,0,14.5,2,poor
951,0,10,2,poor
952,0,7,0,best
953,1,4.2,1,good
954,1,4,1,good
955,1,4.4,1,good
956,0,8,2,poor
957,1,5.4,0,best
958,0,5,0,best
959,1,3.6,1,good
960,1,5.25,0,best
961,0,7.5,2,poor
962,2,6.4,0,best
963,2,7.78,2,poor
964,1,4.4,1,good
965,1,5.17,0,best
966,0,6.5,0,best
967,0,5.22,0,best
968,1,8,2,poor
969,1,4.9,0,best
970,0,6.3,0,best
971,0,6.67,0,best
972,1,5.11,0,best
973,1,6.25,0,best
974,0,8.1,2,poor
975,0,3.86,1,good
976,0,3.38,1,good
977,1,4.8,0,best
978,0,10,2,poor
979,1,6.2,0,best
980,0,5.83,0,best
981,3,4.88,1,good
982,2,4.75,1,good
983,1,3,1,good
984,1,8.14,2,poor
985,0,3.33,1,good
986,3,3,1,good
987,0,5,0,best
988,1,5,0,best
989,2,11.5,2,poor
990,1,11.67,2,poor
991,2,5.61,0,best
992,1,7.29,0,best
993,1,4.17,1,good
994,0,6.29,0,best
995,0,5.5,0,best
996,2,3.86,1,good
997,0,7,0,best
998,2,6.14,0,best
999,2,5.71,0,best
1000,2,5.57,0,best
1001,0,3.4,1,good
1002,2,6.38,0,best
1003,1,5.5,0,best
1004,0,9,2,poor
1005,0,8,2,poor
1006,0,17,2,poor
1007,0,9.8,2,poor
1008,2,9,2,poor
1009,0,9,2,poor
1010,1,5,0,best
1011,0,20.5,2,poor
1012,0,9.5,2,poor
1013,0,9.43,2,poor
1014,0,17,2,poor
1015,2,5.5,0,best
1016,2,3.8,1,good
1017,0,5.38,0,best
1018,0,6.2,0,best
1019,0,8.5,2,poor
1020,2,5.5,0,best
1021,1,6.6,0,best
1022,1,10.67,2,poor
1023,1,6.5,0,best
1024,1,4,1,good
1025,0,5.5,0,best
1026,0,15,2,poor
1027,1,6.9,0,best
1028,0,4.56,0,best
1029,0,7.5,2,poor
1030,3,5.3,1,good
1031,1,4.9,0,best
1032,0,6.4,0,best
1033,1,4.86,0,best
1034,2,4.11,1,good
1035,1,5.63,0,best
1036,1,6.6,0,best
1037,5,4.78,1,good
1038,0,7,0,best
1039,4,3.8,1,good
1040,1,8.5,2,poor
1041,1,6,0,best
1042,1,5.83,0,best
1043,2,4,1,good
1044,1,5.71,0,best
1045,2,6.5,0,best
1046,2,3.67,1,good
1047,0,7,0,best
1048,2,6.4,0,best
1049,1,5.9,0,best
1050,1,4.3,1,good
1051,0,10,2,poor
1052,0,6.71,0,best
1053,0,4.2,1,good
1054,0,7.75,2,poor
1055,0,7.75,2,poor
1056,0,9.55,2,poor
1057,0,7,0,best
1058,1,4,1,good
1059,0,4,1,good
1060,1,6.86,0,best
1061,2,8.67,2,poor
1062,0,5.67,0,best
1063,0,7.25,0,best
1064,0,12,2,poor
1065,0,8.51,2,poor
1066,1,6,0,best
1067,1,6.5,0,best
1068,1,8.3,2,poor
1069,1,7.38,0,best
1070,3,4.8,1,good
1071,0,5.2,0,best
1072,0,6.5,0,best
1073,0,4.71,0,best
1074,0,6.52,0,best
1075,1,5,0,best
1076,1,2.7,1,good
1077,0,5.67,0,best
1078,3,4.8,1,good
1079,2,6.6,0,best
1080,2,2.83,1,good
1081,3,6.6,0,best
1082,4,1.93,1,good
1083,1,6,0,best
1084,0,4.3,1,good
1085,0,4.6,0,best
1086,0,5,0,best
1087,2,4.29,1,good
1088,0,9,2,poor
1089,2,4.4,1,good
1090,2,4.5,1,good
1091,0,6,0,best
1092,1,4.33,1,good
1093,1,5.25,0,best
1094,0,8,2,poor
1095,0,7.38,0,best
1096,1,9.86,2,poor
1097,3,4.63,1,good
1098,0,5.25,0,best
1099,0,5,0,best
1100,0,3.75,1,good
1101,3,5.1,1,good
1102,0,3.6,1,good
1103,0,5,0,best
1104,0,5.5,0,best
1105,2,5,1,good
1106,2,2.88,1,good
1107,2,2.71,1,good
1108,1,4.4,1,good
1109,2,3,1,good
1110,0,8,2,poor
1111,3,3.23,1,good
1112,2,3.7,1,good
1113,2,4.82,1,good
1114,2,5.5,0,best
1115,0,4.75,0,best
1116,1,4.17,1,good
1117,1,4,1,good
1118,1,3.4,1,good
1119,0,3.5,1,good
1120,0,2.5,1,good
1121,0,4,1,good
1122,0,6.67,0,best
1123,2,7.3,0,best
1124,2,6.7,0,best
1125,0,5,0,best
1126,1,6.5,0,best
1127,0,7.29,0,best
1128,1,5.22,0,best
1129,1,4.29,1,good
1130,1,3.83,1,good
1131,2,3.71,1,good
1132,0,9,2,poor
1133,3,5,1,good
1134,3,2.22,1,good
1135,0,4,1,good
1136,0,4.83,0,best
1137,0,4.5,0,best
1138,0,7.29,0,best
1139,1,4.38,1,good
1140,1,3.8,1,good
1141,0,11.25,2,poor
1142,1,7.6,2,poor
1143,2,7.71,2,poor
1144,1,5.25,0,best
1145,0,5.75,0,best
1146,1,5.1,0,best
1147,1,4.75,1,good
1148,0,5.29,0,best
1149,0,3.83,1,good
1150,1,6.13,0,best
1151,1,3.75,1,good
1152,0,5.5,0,best
1153,0,5,0,best
1154,0,8,2,poor
1155,0,7.4,0,best
1156,2,10.43,2,poor
1157,1,6.9,0,best
1158,0,6,0,best
1159,0,7.75,2,poor
1160,2,5.5,0,best
1161,0,8,2,poor
1162,3,7.1,0,best
1163,0,8.57,2,poor
1164,2,8.75,2,poor
1165,0,6,0,best
1166,0,7.17,0,best
1167,1,6.1,0,best
1168,0,9.2,2,poor
1169,2,5.63,0,best
1170,1,9.25,2,poor
1171,0,7.88,2,poor
1172,0,5.4,0,best
1173,1,5.38,0,best
1174,1,4,1,good
