total_score,total_balls,runs,balls,fours,sixes,strike_rate,match_id,batting_position,player_name,player_consistency,player_form,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue,opposition,season,result
242,299,5,5,1,0,100.0,452147,6,Chamara Silva,24.5617,10.5895,14,21,1,90,63,1025,Excellent,1,day,0,17.6516,30.6231,2,0
242,299,32,23,2,1,139.13,452147,7,Thisara Perera,55.6003,43.7288,14,21,1,90,63,1025,Excellent,1,day,0,35.9532,27.4583,2,0
242,299,19,14,1,1,135.71,452147,8,Nuwan Kulasekara,38.8512,24.0802,14,21,1,90,63,1025,Excellent,1,day,0,29.4698,18.8785,2,0
242,299,1,2,0,0,50.0,452147,9,Suraj Randiv,22.8244,20.5623,14,21,1,90,63,1025,Excellent,1,day,0,8.2656,19.6594,2,0
242,299,0,0,0,0,0.0,452147,10,Dilhara Fernando,4.77716,6.00708,14,21,1,90,63,1025,Excellent,1,day,0,0.2566,7.15613,2,0
242,299,2,2,0,0,100.0,452147,11,Ajantha Mendis,19.7214,16.209,14,21,1,90,63,1025,Excellent,1,day,0,16.2746,17.027,2,0
119,92,40,37,6,0,108.11,452148,1,Upul Tharanga,62.9666,26.0915,14,15,0,75,74,1024,Excellent,2,day,1,33.8978,49.9098,2,1
119,92,60,45,7,1,133.33,452148,2,Tillakaratne Dilshan,74.1419,45.9018,14,15,0,75,74,1024,Excellent,2,day,1,69.7446,102.045,2,1
119,92,10,10,2,0,100.0,452148,3,Dinesh Chandimal,58.7808,42.8838,14,15,0,75,74,1024,Excellent,2,day,1,19.9466,34.3766,2,1
270,290,27,38,4,1,71.05,452150,1,Upul Tharanga,62.9666,26.0915,22,8,0,38,3,1021,Excellent,2,day,1,32.4928,29.9183,2,1
270,290,21,19,4,0,110.53,452150,2,Tillakaratne Dilshan,74.1419,45.9018,22,8,0,38,3,1021,Excellent,2,day,1,65.3992,38.0494,2,1
270,290,111,118,6,5,94.07,452150,3,Dinesh Chandimal,58.7808,42.8838,22,8,0,38,3,1021,Excellent,2,day,1,42.8721,26.6371,2,1
270,290,42,60,2,1,70.0,452150,4,Chamara Kapugedera,24.3925,27.5998,22,8,0,38,3,1021,Excellent,2,day,1,24.3457,20.5678,2,1
270,290,35,35,4,0,100.0,452150,5,Jeevan Mendis,31.4101,32.5699,22,8,0,38,3,1021,Excellent,2,day,1,33.7178,37.5745,2,1
270,290,28,21,3,0,133.33,452150,6,Thilan Samaraweera,33.3753,47.0303,22,8,0,38,3,1021,Excellent,2,day,1,34.1474,29.6167,2,1
236,287,69,97,5,0,71.13,452151,1,Upul Tharanga,62.9666,26.0915,18,12,0,45,5,1023,Excellent,1,day,0,32.4928,49.9098,2,0
236,287,78,66,9,2,118.18,452151,2,Tillakaratne Dilshan,74.1419,45.9018,18,12,0,45,5,1023,Excellent,1,day,0,65.3992,102.045,2,0
236,287,6,13,0,0,46.15,452151,3,Dinesh Chandimal,58.7808,42.8838,18,12,0,45,5,1023,Excellent,1,day,0,42.8721,34.3766,2,0
236,287,12,16,0,0,75.0,452151,4,Chamara Kapugedera,24.3925,27.5998,18,12,0,45,5,1023,Excellent,1,day,0,24.3457,16.696,2,0
236,287,16,31,1,0,51.61,452151,5,Thilan Samaraweera,33.3753,47.0303,18,12,0,45,5,1023,Excellent,1,day,0,34.1474,23.2675,2,0
236,287,7,8,1,0,87.5,452151,6,Jeevan Mendis,31.4101,32.5699,18,12,0,45,5,1023,Excellent,1,day,0,33.7178,16.4525,2,0
236,287,15,21,0,0,71.43,452151,7,Lahiru Thirimanne,53.017,23.4752,18,12,0,45,5,1023,Excellent,1,day,0,17.9275,17.4355,2,0
236,287,8,16,0,0,50.0,452151,8,Thisara Perera,55.6003,43.7288,18,12,0,45,5,1023,Excellent,1,day,0,11.4786,33.6222,2,0
236,287,9,9,1,0,100.0,452151,9,Suraj Randiv,22.8244,20.5623,18,12,0,45,5,1023,Excellent,1,day,0,19.4876,19.1924,2,0
236,287,7,8,0,1,87.5,452151,10,Thilan Thushara,0.0,21.7998,18,12,0,45,5,1023,Excellent,1,day,0,16.6821,16.4525,2,0
236,287,0,2,0,0,0.0,452151,11,Dilhara Fernando,4.77716,6.00708,18,12,0,45,5,1023,Excellent,1,day,0,0.2566,0.2238,2,0
203,208,72,79,8,1,91.14,452152,1,Upul Tharanga,62.9666,26.0915,24,4,0,39,4,1018,Excellent,2,day,1,32.4928,49.9098,2,1
203,208,108,102,14,0,105.88,452152,2,Tillakaratne Dilshan,74.1419,45.9018,24,4,0,39,4,1018,Excellent,2,day,1,65.3992,102.045,2,1
203,208,16,27,1,0,59.26,452152,3,Dinesh Chandimal,58.7808,42.8838,24,4,0,39,4,1018,Excellent,2,day,1,42.8721,34.3766,2,1
242,300,11,16,2,0,68.75,455231,1,Upul Tharanga,62.9666,26.0915,27,3,5,88,48,1010,Good,1,day,1,26.0712,28.0572,2,1
242,300,18,25,3,0,72.0,455231,2,Tillakaratne Dilshan,74.1419,45.9018,27,3,5,88,48,1010,Good,1,day,1,39.453,33.4671,2,1
242,300,42,63,4,0,66.67,455231,3,Kumar Sangakkara,72.1185,45.5833,27,3,5,88,48,1010,Good,1,day,1,30.046,30.6193,2,1
242,300,54,64,3,0,84.38,455231,4,Mahela Jayawardene,60.1022,51.1083,27,3,5,88,48,1010,Good,1,day,1,34.1429,29.3352,2,1
242,300,17,22,0,0,77.27,455231,5,Thilan Samaraweera,33.3753,47.0303,27,3,5,88,48,1010,Good,1,day,1,24.9261,12.0704,2,1
242,300,55,61,4,0,90.16,455231,6,Angelo Mathews,75.4504,25.5084,27,3,5,88,48,1010,Good,1,day,1,28.2105,38.4666,2,1
242,300,2,6,0,0,33.33,455231,7,Chamara Kapugedera,24.3925,27.5998,27,3,5,88,48,1010,Good,1,day,1,28.4033,11.8216,2,1
242,300,1,3,0,0,33.33,455231,8,Farveez Maharoof,21.6281,10.7667,27,3,5,88,48,1010,Good,1,day,1,11.0947,5.55642,2,1
242,300,14,27,0,0,51.85,455231,9,Nuwan Kulasekara,38.8512,24.0802,27,3,5,88,48,1010,Good,1,day,1,23.6153,20.2064,2,1
242,300,16,12,1,1,133.33,455231,10,Lasith Malinga,35.5758,16.7592,27,3,5,88,48,1010,Good,1,day,1,20.3233,17.3991,2,1
242,300,1,1,0,0,100.0,455231,11,Muttiah Muralitharan,0.0,12.3618,27,3,5,88,48,1010,Good,1,day,1,12.4274,8.4566,2,1
312,300,54,73,5,1,73.97,455233,1,Upul Tharanga,62.9666,26.0915,27,2,7,91,56,1009,Good,1,day,1,26.0712,40.7923,2,1
312,300,71,51,11,1,139.22,455233,2,Tillakaratne Dilshan,74.1419,45.9018,27,2,7,91,56,1009,Good,1,day,1,39.453,59.914,2,1
312,300,52,69,4,0,75.36,455233,3,Kumar Sangakkara,72.1185,45.5833,27,2,7,91,56,1009,Good,1,day,1,30.046,42.9488,2,1
312,300,43,35,6,0,122.86,455233,4,Mahela Jayawardene,60.1022,51.1083,27,2,7,91,56,1009,Good,1,day,1,34.1429,27.3898,2,1
312,300,42,41,1,1,102.44,455233,5,Angelo Mathews,75.4504,25.5084,27,2,7,91,56,1009,Good,1,day,1,28.2105,49.4372,2,1
