catches,run_outs,dropped_catches,missed_run_outs,fielding_consistency,fielding_temp,fielding_wind,fielding_rain,fielding_humidity,fielding_cloud,fielding_pressure,fielding_viscosity,fielding_inning,fielding_session,toss,season,success_rate
0,1,0,0,0.90678,26,22,0,80,97,1011,0,2,0,1,3,1.0
1,0,0,0,0.90678,27,19,1,78,39,1007,3,1,0,0,3,1.0
1,0,0,0,0.792208,27,19,1,78,39,1007,3,1,0,0,3,1.0
1,0,0,0,0.892473,27,19,1,78,39,1007,3,1,0,0,3,1.0
1,0,0,0,1.0,27,19,1,78,39,1007,3,1,0,0,3,1.0
2,0,0,0,0.857143,27,19,1,78,39,1007,3,1,0,0,3,1.0
1,0,0,0,0.743902,27,19,1,78,39,1007,3,1,0,0,3,1.0
1,0,0,0,0.740741,25,10,0,89,24,1013,3,1,1,1,3,1.0
0,0,1,0,0.888889,25,10,0,89,24,1013,3,1,1,1,3,0.0
0,0,1,0,0.0,25,10,0,89,24,1013,3,1,1,1,3,0.0
3,1,0,0,0.90678,25,10,0,89,24,1013,3,1,1,1,3,1.0
1,0,0,0,0.792208,25,10,0,89,24,1013,3,1,1,1,3,1.0
1,0,0,0,0.740741,25,10,0,89,24,1013,3,1,1,1,3,1.0
1,2,0,0,0.90678,29,9,0,59,20,1008,3,2,0,0,3,1.0
1,1,0,0,0.792208,29,9,0,59,20,1008,3,2,0,0,3,1.0
0,1,0,0,0.882353,29,9,0,59,20,1008,3,2,0,0,3,1.0
2,0,0,0,0.740741,29,9,0,59,20,1008,3,2,0,0,3,1.0
1,0,0,0,0.888889,29,9,0,59,20,1008,3,2,0,0,3,1.0
0,0,0,1,0.90678,29,21,5,65,33,1008,2,2,0,0,3,0.0
1,0,0,0,0.857143,29,21,5,65,33,1008,2,2,0,0,3,1.0
1,0,0,0,0.740741,29,21,5,65,33,1008,2,2,0,0,3,1.0
0,1,0,0,0.0,29,21,5,65,33,1008,2,2,0,0,3,1.0
2,0,0,0,0.792208,19,1,0,92,0,1011,3,1,1,0,3,1.0
1,1,0,0,0.90678,19,1,0,92,0,1011,3,1,1,0,3,1.0
1,0,0,0,0.892473,19,1,0,92,0,1011,3,1,1,0,3,1.0
1,0,0,0,0.857143,19,1,0,92,0,1011,3,1,1,0,3,1.0
0,0,1,0,0.740741,31,6,0,68,0,1007,3,1,1,1,3,0.0
2,0,0,0,0.792208,31,6,0,68,0,1007,3,1,1,1,3,1.0
1,1,0,0,0.90678,31,6,0,68,0,1007,3,1,1,1,3,1.0
1,0,0,0,0.0,31,6,0,68,0,1007,3,1,1,1,3,1.0
1,0,0,0,0.740741,31,6,0,68,0,1007,3,1,1,1,3,1.0
1,0,1,0,0.857143,29,15,0,72,10,1009,3,2,0,0,3,0.5
1,0,0,0,0.792208,29,15,0,72,10,1009,3,2,0,0,3,1.0
1,0,0,0,0.743902,29,15,0,72,10,1009,3,2,0,0,3,1.0
3,0,0,0,0.90678,30,16,1,68,14,1008,3,2,0,0,3,1.0
1,0,0,0,0.740741,30,16,1,68,14,1008,3,2,0,0,3,1.0
1,0,0,0,0.792208,30,16,1,68,14,1008,3,2,0,0,3,1.0
1,0,0,0,0.90678,27,6,1,86,14,1011,3,1,1,1,3,1.0
1,0,0,0,0.740741,27,6,1,86,14,1011,3,1,1,1,3,1.0
1,0,0,0,0.90678,22,14,0,82,97,1014,3,2,0,1,4,1.0
1,0,0,0,0.8,22,14,0,82,97,1014,3,2,0,1,4,1.0
1,0,0,0,0.740741,22,14,0,82,97,1014,3,2,0,1,4,1.0
2,0,0,0,0.0,22,14,0,82,97,1014,3,2,0,1,4,1.0
1,0,0,0,0.743902,17,10,0,66,41,1026,3,1,0,0,4,1.0
2,0,0,0,0.918367,17,10,0,66,41,1026,3,1,0,0,4,1.0
1,0,0,0,0.731707,17,10,0,66,41,1026,3,1,0,0,4,1.0
0,2,0,0,0.90678,17,10,0,66,41,1026,3,1,0,0,4,1.0
1,0,0,0,0.8,17,10,0,66,41,1026,3,1,0,0,4,1.0
1,0,0,0,0.860465,17,10,0,66,41,1026,3,1,0,0,4,1.0
0,0,1,0,0.0,21,6,1,63,67,1018,3,2,0,0,4,0.0
0,0,1,0,0.792208,21,6,1,63,67,1018,3,2,0,0,4,0.0
0,1,0,0,0.90678,21,6,1,63,67,1018,3,2,0,0,4,1.0
1,0,0,0,0.8,21,6,1,63,67,1018,3,2,0,0,4,1.0
1,0,0,0,0.740741,21,6,1,63,67,1018,3,2,0,0,4,1.0
1,0,0,0,0.777778,21,6,1,63,67,1018,3,2,0,0,4,1.0
1,0,0,0,0.918367,21,6,1,63,67,1018,3,2,0,0,4,1.0
2,2,1,0,0.90678,18,20,0,66,7,1009,3,2,0,0,4,0.8
1,1,0,0,0.918367,18,20,0,66,7,1009,3,2,0,0,4,1.0
1,0,0,0,0.743902,18,20,0,66,7,1009,3,2,0,0,4,1.0
0,1,1,0,0.740741,18,20,0,66,7,1009,3,2,0,0,4,0.5
1,0,0,0,0.792208,17,9,0,75,22,1022,3,1,0,0,4,1.0
2,0,0,0,0.860465,17,9,0,75,22,1022,3,1,0,0,4,1.0
1,0,0,0,0.75,17,9,0,75,22,1022,3,1,0,0,4,1.0
0,0,1,0,0.8,24,11,0,81,18,1009,3,1,1,1,4,0.0
1,0,0,0,0.792208,24,11,0,81,18,1009,3,1,1,1,4,1.0
1,0,1,0,0.90678,27,24,0,82,47,1010,3,1,1,1,4,0.5
2,0,0,0,0.792208,26,25,0,84,44,1010,3,1,1,0,4,1.0
1,0,1,0,0.75,26,25,0,84,44,1010,3,1,1,0,4,0.5
0,0,1,0,0.740741,26,25,0,84,44,1010,3,1,1,0,4,0.0
1,0,0,0,0.777778,26,25,0,84,44,1010,3,1,1,0,4,1.0
0,1,0,0,0.918367,26,25,0,84,44,1010,3,1,1,0,4,1.0
1,0,0,0,0.860465,26,25,0,84,44,1010,3,1,1,0,4,1.0
0,0,1,0,0.792208,27,11,2,82,27,1009,3,1,1,1,4,0.0
0,0,1,0,0.0,27,11,2,82,27,1009,3,1,1,1,4,0.0
1,0,0,0,1.0,27,11,2,82,27,1009,3,1,1,1,4,1.0
2,0,0,0,0.90678,27,11,2,82,27,1009,3,1,1,1,4,1.0
1,0,0,0,0.529412,27,11,2,82,27,1009,3,1,1,1,4,1.0
1,0,0,0,0.740741,28,18,5,72,50,1008,2,2,0,1,4,1.0
1,0,0,0,0.777778,28,18,5,72,50,1008,2,2,0,1,4,1.0
2,0,0,0,0.90678,28,18,5,72,50,1008,2,2,0,1,4,1.0
1,0,0,0,0.792208,28,18,5,72,50,1008,2,2,0,1,4,1.0
1,0,0,0,0.0,26,15,0,48,0,1016,3,1,1,1,5,1.0
2,1,0,0,0.90678,26,13,0,59,0,1015,3,1,1,1,5,1.0
1,0,0,0,0.860465,26,13,0,59,0,1015,3,1,1,1,5,1.0
0,0,1,0,0.743902,26,13,0,59,0,1015,3,1,1,1,5,0.0
0,1,0,0,0.892473,26,13,0,59,0,1015,3,1,1,1,5,1.0
0,1,0,0,0.75,26,13,0,59,0,1015,3,1,1,1,5,1.0
0,1,0,0,0.740741,26,13,0,59,0,1015,3,1,1,1,5,1.0
1,0,0,0,0.792208,28,12,0,58,0,1013,3,2,0,0,5,1.0
1,0,1,0,0.892473,28,12,0,58,0,1013,3,2,0,0,5,0.5
0,1,2,0,0.529412,28,12,0,58,0,1013,3,2,0,0,5,0.3333333333333333
0,1,0,0,0.731707,28,12,0,58,0,1013,3,2,0,0,5,1.0
1,0,0,0,0.743902,28,12,0,58,0,1013,3,2,0,0,5,1.0
1,0,0,0,0.860465,30,11,0,46,0,1013,3,2,0,0,5,1.0
2,0,0,0,0.90678,30,11,0,46,0,1013,3,2,0,0,5,1.0
1,1,0,0,0.75,30,11,0,46,0,1013,3,2,0,0,5,1.0
0,1,1,0,0.0,30,11,0,46,0,1013,3,2,0,0,5,0.5
2,0,0,0,0.90678,25,26,3,72,22,1015,2,1,1,1,5,1.0
0,0,1,0,0.75,25,26,3,72,22,1015,2,1,1,1,5,0.0
1,0,0,0,0.892473,25,26,3,72,22,1015,2,1,1,1,5,1.0
1,0,0,0,0.860465,25,26,3,72,22,1015,2,1,1,1,5,1.0
0,0,0,1,0.740741,26,14,0,40,0,1009,3,2,0,0,5,0.0
2,0,0,0,0.90678,26,14,0,40,0,1009,3,2,0,0,5,1.0
0,1,0,0,0.792208,26,14,0,40,0,1009,3,2,0,0,5,1.0
1,0,0,0,0.743902,26,14,0,40,0,1009,3,2,0,0,5,1.0
1,0,0,0,1.0,26,14,0,40,0,1009,3,2,0,0,5,1.0
1,0,0,0,0.740741,23,19,0,79,56,1019,3,1,0,0,5,1.0
0,0,0,1,0.90678,23,19,0,79,56,1019,3,1,0,0,5,0.0
1,0,0,1,0.860465,23,19,0,79,56,1019,3,1,0,0,5,0.5
0,1,0,0,0.918367,23,19,0,79,56,1019,3,1,0,0,5,1.0
1,0,1,0,0.731707,23,19,0,79,56,1019,3,1,0,0,5,0.5
0,1,0,0,0.743902,25,8,0,35,5,1010,3,1,1,1,5,1.0
0,1,0,0,0.90678,25,8,0,35,5,1010,3,1,1,1,5,1.0
0,1,0,0,0.918367,25,8,0,35,5,1010,3,1,1,1,5,1.0
1,1,0,0,0.740741,30,15,0,38,40,1006,3,2,0,0,5,1.0
1,0,0,1,0.740741,30,15,0,38,40,1006,3,2,0,0,5,0.5
2,0,0,0,0.90678,30,15,0,38,40,1006,3,2,0,0,5,1.0
1,0,0,0,0.860465,26,5,0,57,12,1009,3,2,0,1,5,1.0
0,0,0,1,0.875,26,5,0,57,12,1009,3,2,0,1,5,0.0
2,0,0,0,0.743902,26,5,0,57,12,1009,3,2,0,1,5,1.0
0,1,1,1,0.740741,26,5,0,57,12,1009,3,2,0,1,5,0.3333333333333333
0,1,0,0,0.892473,26,5,0,57,12,1009,3,2,0,1,5,1.0
1,0,0,0,0.918367,25,21,0,47,7,1012,3,1,0,1,5,1.0
1,1,0,0,0.731707,25,21,0,47,7,1012,3,1,0,1,5,1.0
1,0,0,0,0.740741,25,21,0,47,7,1012,3,1,0,1,5,1.0
1,0,0,0,0.891892,25,21,0,47,7,1012,3,1,0,1,5,1.0
1,1,0,0,0.90678,38,12,0,18,6,1010,3,2,0,1,5,1.0
1,0,0,0,0.792208,38,12,0,18,6,1010,3,2,0,1,5,1.0
2,0,0,0,0.918367,38,12,0,18,6,1010,3,2,0,1,5,1.0
2,0,0,0,0.875,38,12,0,18,6,1010,3,2,0,1,5,1.0
1,0,0,0,0.740741,38,12,0,18,6,1010,3,2,0,1,5,1.0
0,1,0,0,0.918367,26,10,0,42,30,1012,3,1,1,1,5,1.0
0,0,1,0,0.892473,26,10,0,42,30,1012,3,1,1,1,5,0.0
2,0,1,0,0.90678,26,10,0,42,30,1012,3,1,1,1,5,0.6666666666666666
1,1,0,1,0.792208,26,10,0,42,30,1012,3,1,1,1,5,0.6666666666666666
1,0,0,0,0.891892,26,10,0,42,30,1012,3,1,1,1,5,1.0
0,2,0,0,0.743902,26,10,0,42,30,1012,3,1,1,1,5,1.0
2,0,0,0,0.727273,26,16,0,59,28,1015,3,2,0,0,5,1.0
0,2,0,0,0.892473,26,16,0,59,28,1015,3,2,0,0,5,1.0
0,2,0,0,0.918367,26,16,0,59,28,1015,3,2,0,0,5,1.0
0,0,1,0,0.731707,26,16,0,59,28,1015,3,2,0,0,5,0.0
1,0,1,0,0.743902,26,16,0,59,28,1015,3,2,0,0,5,0.5
1,0,0,0,0.90678,26,16,0,59,28,1015,3,2,0,0,5,1.0
1,0,0,0,0.875,26,16,0,59,28,1015,3,2,0,0,5,1.0
2,0,0,0,0.918367,25,1,3,89,17,1008,2,1,0,1,5,1.0
0,0,1,0,0.740741,25,1,3,89,17,1008,2,1,0,1,5,0.0
0,0,2,0,0.860465,25,1,3,89,17,1008,2,1,0,1,5,0.0
2,0,0,0,0.892473,25,1,3,89,17,1008,2,1,0,1,5,1.0
1,0,0,0,0.875,25,1,3,89,17,1008,2,1,0,1,5,1.0
1,0,0,0,0.731707,25,1,3,89,17,1008,2,1,0,1,5,1.0
1,0,0,0,0.90678,25,1,3,89,17,1008,2,1,0,1,5,1.0
1,0,0,0,0.891892,25,1,3,89,17,1008,2,1,0,1,5,1.0
1,0,0,0,0.792208,22,8,0,58,0,1018,3,2,0,0,5,1.0
1,1,0,0,0.90678,22,8,0,58,0,1018,3,2,0,0,5,1.0
1,0,0,0,0.727273,22,8,0,58,0,1018,3,2,0,0,5,1.0
1,0,0,0,0.892473,22,8,0,58,0,1018,3,2,0,0,5,1.0
1,0,0,0,0.740741,12,14,0,75,19,1019,3,1,1,0,5,1.0
0,1,0,0,0.860465,12,14,0,75,19,1019,3,1,1,0,5,1.0
0,1,0,0,0.743902,12,14,0,75,19,1019,3,1,1,0,5,1.0
1,0,0,0,0.892473,15,10,1,89,100,1015,3,1,1,1,5,1.0
2,1,0,0,0.90678,15,10,1,89,100,1015,3,1,1,1,5,1.0
0,0,0,1,0.860465,15,10,1,89,100,1015,3,1,1,1,5,0.0
3,1,0,0,0.740741,15,10,1,89,100,1015,3,1,1,1,5,1.0
1,0,0,0,0.891892,15,10,1,89,100,1015,3,1,1,1,5,1.0
2,0,0,0,0.882353,25,15,1,84,57,1013,3,2,0,0,5,1.0
1,0,0,0,0.875,25,15,1,84,57,1013,3,2,0,0,5,1.0
1,0,0,0,0.90678,25,15,1,84,57,1013,3,2,0,0,5,1.0
1,0,0,1,0.792208,25,15,1,84,57,1013,3,2,0,0,5,0.5
1,0,1,0,0.740741,21,21,0,64,9,1024,3,2,0,0,5,0.5
0,1,0,0,0.727273,21,21,0,64,9,1024,3,2,0,0,5,1.0
0,0,1,0,0.731707,21,21,0,64,9,1024,3,2,0,0,5,0.0
0,1,2,0,0.882353,21,21,0,64,9,1024,3,2,0,0,5,0.3333333333333333
2,0,0,0,0.90678,23,14,0,45,0,1016,3,2,0,1,5,1.0
1,0,0,0,0.882353,23,14,0,45,0,1016,3,2,0,1,5,1.0
0,1,0,0,0.740741,23,14,0,45,0,1016,3,2,0,1,5,1.0
1,0,0,0,0.792208,23,14,0,45,0,1016,3,2,0,1,5,1.0
1,0,1,0,0.727273,23,14,0,45,0,1016,3,2,0,1,5,0.5
1,0,0,0,0.891892,23,14,0,45,0,1016,3,2,0,1,5,1.0
1,0,0,0,0.740741,35,6,0,25,5,1010,3,2,0,1,5,1.0
1,0,0,0,0.792208,35,6,0,25,5,1010,3,2,0,1,5,1.0
0,0,1,0,0.860465,35,6,0,25,5,1010,3,2,0,1,5,0.0
1,0,0,0,0.875,35,6,0,25,5,1010,3,2,0,1,5,1.0
1,0,0,0,0.860465,28,9,0,38,3,1009,3,1,1,1,5,1.0
0,0,1,0,0.875,28,9,0,38,3,1009,3,1,1,1,5,0.0
2,0,0,0,0.740741,28,9,0,38,3,1009,3,1,1,1,5,1.0
1,0,0,0,0.727273,28,9,0,38,3,1009,3,1,1,1,5,1.0
1,0,0,0,0.875,30,9,0,55,24,1006,3,1,1,0,5,1.0
1,0,0,0,0.888889,30,9,0,55,24,1006,3,1,1,0,5,1.0
0,0,1,0,0.891892,30,9,0,55,24,1006,3,1,1,0,5,0.0
1,2,0,0,0.90678,23,15,0,84,38,1008,3,1,1,1,6,1.0
0,1,0,0,0.743902,23,15,0,84,38,1008,3,1,1,1,6,1.0
0,0,0,1,0.892473,23,15,0,84,38,1008,3,1,1,1,6,0.0
1,0,0,0,0.892473,23,15,0,87,30,1008,3,1,1,1,6,1.0
4,0,1,0,0.90678,23,15,0,87,30,1008,3,1,1,1,6,0.8
1,0,0,0,0.740741,23,15,0,87,30,1008,3,1,1,1,6,1.0
1,0,0,0,0.90678,28,23,2,74,47,1007,3,0,0,0,6,1.0
2,0,0,0,0.918367,27,15,0,81,60,1010,3,1,1,1,6,1.0
3,0,0,0,0.90678,27,15,0,81,60,1010,3,1,1,1,6,1.0
1,0,0,0,0.860465,27,15,0,81,60,1010,3,1,1,1,6,1.0
1,0,0,0,0.792208,27,15,0,81,60,1010,3,1,1,1,6,1.0
0,1,0,0,0.892473,27,15,0,81,60,1010,3,1,1,1,6,1.0
1,0,0,0,0.875,27,15,0,81,60,1010,3,1,1,1,6,1.0
1,0,0,0,0.860465,28,21,0,72,45,1010,3,2,0,0,6,1.0
1,1,0,0,0.875,28,21,0,72,45,1010,3,2,0,0,6,1.0
1,0,0,0,0.892473,28,21,0,72,45,1010,3,2,0,0,6,1.0
1,0,0,0,0.792208,28,21,0,72,45,1010,3,2,0,0,6,1.0
1,0,1,0,0.740741,28,21,0,72,45,1010,3,2,0,0,6,0.5
0,1,1,0,0.892473,27,26,0,78,5,1010,3,2,0,0,6,0.5
2,0,0,0,0.891892,27,26,0,78,5,1010,3,2,0,0,6,1.0
0,0,0,1,0.731707,27,26,0,78,5,1010,3,2,0,0,6,0.0
0,0,1,1,0.740741,27,26,0,78,5,1010,3,2,0,0,6,0.0
1,0,1,0,0.875,27,26,0,78,5,1010,3,2,0,0,6,0.5
4,1,0,0,0.90678,27,27,0,79,20,1008,3,2,0,0,6,1.0
0,0,1,0,0.743902,27,27,0,79,20,1008,3,2,0,0,6,0.0
2,0,0,0,0.892473,27,27,0,79,20,1008,3,2,0,0,6,1.0
0,1,0,0,0.909091,27,27,0,79,20,1008,3,2,0,0,6,1.0
0,1,0,0,0.909091,27,12,0,83,68,1009,3,1,1,1,6,1.0
1,0,1,0,0.891892,27,12,0,83,68,1009,3,1,1,1,6,0.5
0,0,0,1,0.743902,27,12,0,83,68,1009,3,1,1,1,6,0.0
1,0,0,0,0.882353,27,12,0,83,68,1009,3,1,1,1,6,1.0
0,0,1,0,0.666667,27,12,0,83,35,1011,3,1,1,1,6,0.0
0,0,0,1,0.740741,27,12,0,83,35,1011,3,1,1,1,6,0.0
0,0,1,0,0.792208,27,12,0,83,35,1011,3,1,1,1,6,0.0
1,0,0,0,0.891892,27,12,0,83,35,1011,3,1,1,1,6,1.0
1,0,0,0,0.731707,27,19,1,62,7,1007,3,2,0,0,6,1.0
1,0,0,0,0.892473,27,19,1,62,7,1007,3,2,0,0,6,1.0
1,0,0,0,0.875,27,19,1,62,7,1007,3,2,0,0,6,1.0
1,0,0,0,0.860465,27,19,1,62,7,1007,3,2,0,0,6,1.0
1,0,0,0,0.90678,25,4,4,82,32,1008,2,2,0,0,7,1.0
0,0,1,0,0.740741,25,4,4,82,32,1008,2,2,0,0,7,0.0
0,0,0,1,0.75,25,4,4,82,32,1008,2,2,0,0,7,0.0
1,0,0,0,0.792208,25,4,4,82,32,1008,2,2,0,0,7,1.0
1,0,1,0,0.743902,25,4,4,82,32,1008,2,2,0,0,7,0.5
1,0,0,0,0.892473,25,4,4,82,32,1008,2,2,0,0,7,1.0
1,0,0,0,0.792208,24,0,22,91,55,1008,1,2,0,1,7,1.0
