runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season
0,0,0,0,10,19.8964,17.9395,26,22,1,70,33,1006,3,1,0,1,8.76638,5.2052,6
0,1,0,0,10,35.5758,14.8543,28,21,0,73,49,1007,3,1,0,1,16.9584,17.3991,6
0,1,0,0,5,60.1022,31.9317,27,16,0,79,80,1012,3,2,1,0,32.6521,29.3352,6
0,5,0,0,7,55.6003,25.4193,27,16,0,79,80,1012,3,2,1,0,28.2778,24.3489,6
0,1,0,0,9,19.8964,17.9395,26,24,0,81,14,1010,3,2,1,0,8.14218,15.052,6
0,3,0,0,4,58.7808,33.0939,29,17,0,73,31,1007,3,1,0,1,39.512,26.6371,6
0,3,0,0,2,74.1419,32.8786,22,12,0,84,8,1009,3,2,1,0,54.7206,38.0494,6
0,0,0,0,11,12.3153,0,22,12,0,84,8,1009,3,2,1,0,0.2566,0.4476,6
0,8,0,0,4,53.017,30.6952,26,8,3,83,15,1011,2,2,1,1,24.789,24.4113,7
0,1,0,0,2,58.7808,19.3543,26,2,5,82,37,1012,2,1,0,0,21.3394,16.2816,7
0,4,0,0,4,75.4504,33.0998,26,2,5,82,37,1012,2,1,0,0,42.5605,28.4227,7
0,4,0,0,7,31.4101,37.751,26,2,5,82,37,1012,2,1,0,0,11.2235,15.8399,7
0,1,0,0,9,13.5961,0,26,2,5,82,37,1012,2,1,0,0,6.46479,9.12687,7
0,0,0,0,6,53.017,30.6952,20,16,0,61,2,1003,3,2,1,0,24.926,22.2579,7
0,1,0,0,11,19.7214,0,20,16,0,61,2,1003,3,2,1,0,0.2566,5.3559,7
0,3,0,0,1,62.9666,23.5088,19,20,0,63,8,1018,3,2,1,1,16.1703,24.5258,7
0,1,0,0,5,75.4504,33.0998,24,20,0,76,42,1008,3,2,0,0,24.2337,28.3293,7
0,5,0,0,7,58.7808,19.3543,28,8,6,74,50,1008,2,1,0,1,24.4179,25.1925,7
0,1,0,0,10,28.3833,18.34,28,8,6,74,50,1008,2,1,0,1,13.0322,23.1065,7
0,1,0,0,1,50.1772,37.7608,14,14,0,70,10,1017,3,1,0,1,23.1454,26.9079,8
0,4,0,0,5,58.7808,19.0946,14,14,0,70,10,1017,3,1,0,1,14.1351,16.2816,8
0,4,0,0,10,13.5961,0.2238,14,14,0,70,10,1017,3,1,0,1,0.2566,9.12687,8
0,4,0,0,8,55.6003,20.3849,18,9,0,90,87,1012,3,1,0,0,13.2255,27.4583,8
0,1,0,0,3,72.1185,28.3124,28,22,0,71,15,1013,3,2,0,1,46.4843,38.9143,8
0,3,0,0,5,53.017,23.2927,28,22,0,71,15,1013,3,2,0,1,16.883,30.3221,8
0,2,0,0,10,35.5758,17.0985,28,15,0,70,51,1015,3,1,0,0,12.8045,22.6286,8
0,0,0,0,11,35.5758,17.0985,28,17,2,74,28,1007,3,1,0,1,16.9584,11.1306,8
0,3,0,0,3,72.1185,28.3124,22,12,0,77,19,1009,3,2,1,0,35.104,40.4249,8
0,1,0,0,10,35.5758,17.0985,22,12,0,77,19,1009,3,2,1,0,21.6035,11.1306,8
0,2,0,0,11,19.7214,0.2238,22,12,0,77,19,1009,3,2,1,0,2.56331,3.59852,8
0,1,0,0,1,26.6919,0,26,3,3,84,40,1010,2,1,0,0,5.2718,18.0652,9
0,1,0,0,9,35.5758,20.1306,26,3,3,84,40,1010,2,1,0,0,11.5921,13.3835,9
0,1,0,0,11,19.8964,14.4518,26,3,3,84,40,1010,2,1,0,0,8.14218,17.7086,9
0,2,0,0,3,72.1185,47.3499,29,6,0,71,19,1010,3,1,0,0,30.046,40.8657,9
0,1,0,0,5,75.4504,28.2781,29,6,0,71,19,1010,3,1,0,0,28.2105,28.4227,9
0,0,0,0,10,35.5758,20.1306,24,11,0,46,9,1018,3,2,1,0,11.5582,17.3991,9
0,4,0,0,3,26.6919,0,22,9,1,60,11,1018,3,2,1,1,0.2566,17.366,9
0,1,0,0,9,28.3833,20.8572,22,26,0,33,0,1023,3,1,0,1,5.7809,23.2074,9
0,5,0,0,11,35.5758,20.1306,22,26,0,33,0,1023,3,1,0,1,9.7798,17.3991,9
0,1,0,0,9,35.5758,20.1306,20,21,0,68,2,1022,3,2,1,0,9.7798,17.3991,9
0,9,0,0,8,38.8512,24.9136,23,10,0,64,24,1013,3,1,0,0,9.5933,13.4982,9
0,10,0,0,11,35.5758,20.1306,23,10,0,64,24,1013,3,1,0,0,7.37123,19.761,9
0,3,0,0,7,55.6003,30.2003,29,6,0,39,0,1013,3,1,0,1,44.0018,28.2395,9
0,1,0,0,5,58.7808,19.5385,24,27,0,79,2,1014,3,2,1,1,16.7842,26.6371,9
0,2,0,0,1,50.1772,11.9432,26,6,0,37,6,1011,3,2,1,0,33.843,32.5809,9
0,5,0,0,4,60.1022,31.2978,26,6,0,37,6,1011,3,2,1,0,36.6574,27.3898,9
0,1,0,0,3,72.1185,47.3499,28,5,0,32,2,1012,3,2,1,0,41.6504,30.6193,9
0,4,0,0,1,50.1772,29.7986,13,23,0,75,54,1002,3,1,0,0,0.2566,34.0881,10
0,5,0,0,1,53.017,27.8325,16,11,0,70,16,1002,3,2,0,1,19.4995,43.3932,10
0,3,0,0,7,38.8512,14.8827,16,11,0,70,16,1002,3,2,0,1,24.4268,15.1969,10
0,2,0,0,8,38.8512,14.8827,14,11,1,74,78,1015,3,1,0,0,0.2566,15.1969,10
0,1,0,0,9,28.3833,31.128,11,14,1,97,100,1015,3,1,0,0,0.2566,17.1691,10
0,5,0,0,10,19.8964,26.0617,11,14,1,97,100,1015,3,1,0,0,0.2566,6.36638,10
0,2,0,0,8,38.8512,14.8827,17,7,0,63,74,1025,3,1,0,0,0.2566,15.1969,10
0,0,0,0,11,35.5758,4.49621,17,7,0,63,74,1025,3,1,0,0,0.2566,24.1402,10
0,7,0,0,10,19.7214,39.8631,28,19,3,79,22,1008,2,2,0,0,15.6938,3.59852,10
0,4,0,0,8,38.8512,14.8827,26,18,0,67,11,1007,3,1,0,1,16.7357,16.2546,10
0,2,0,0,11,35.5758,4.49621,26,18,0,67,11,1007,3,1,0,1,21.6035,11.1306,10
0,1,0,0,10,19.7214,39.8631,27,28,0,80,39,1009,3,2,0,0,9.59859,3.59852,10
0,3,0,0,11,35.5758,4.49621,27,28,0,80,39,1009,3,2,0,0,11.5921,11.1306,10
0,1,0,0,10,35.5758,4.49621,26,25,0,82,10,1011,3,1,0,1,11.5921,17.3991,10
0,1,0,0,5,75.4504,43.6873,29,2,5,74,24,1009,2,2,0,0,28.2105,38.4666,10
0,4,0,0,10,0,20.8572,26,6,0,74,2,1013,3,2,0,1,0.2566,21.3555,11
0,8,0,0,11,0,0,26,6,0,74,2,1013,3,2,0,1,0.2566,0.4476,11
0,6,0,0,1,50.1772,22.8585,32,6,0,39,5,1011,3,1,0,1,0.2566,18.5282,11
0,1,0,0,3,72.1185,27.4201,25,13,0,49,27,1011,3,1,0,1,0.2566,38.9143,11
0,4,0,0,11,0,0,25,13,0,49,27,1011,3,1,0,1,0.2566,0.4476,11
0,3,0,0,1,50.1772,22.8585,26,9,0,46,2,1014,3,2,0,0,0.2566,18.5282,11
0,2,0,0,9,38.8512,12.509,26,9,0,46,2,1014,3,2,0,0,0.2566,18.8785,11
