score,wickets,overs,balls,rpo,target,inning,result,opposition_id,date,match_id,batting_session,bowling_session,venue_id,extras,toss,season_id,match_number,batting_temp,batting_feels,batting_wind,batting_gust,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,bowling_temp,bowling_feels,bowling_wind,bowling_gust,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity
326,10,49,294,6.65,372,2,0,5,1/3/2019,1153840,night,day,48,23,0,19,4074,22,22,15,18,0,68,7,1010,Excellent,25,26,17,20,0,53,6,1010,Excellent
298,10,46.2,278,6.43,320,2,0,5,1/5/2019,1153841,night,day,48,19,0,19,4075,18,18,16,19,0,52,14,1010,Excellent,19,19,19,22,0,45,25,1009,Excellent
249,10,41.4,250,5.97,365,2,0,5,1/8/2019,1153842,day,day,45,10,1,19,4076,26,26,12,14,0,40,2,1017,Excellent,26,26,7,8,0,38,0,1017,Excellent
231,10,47,282,4.91,NULL,1,0,12,3/3/2019,1144167,day,day,26,7,0,19,4104,30,29,13,15,0,29,5,1012,Excellent,33,31,16,19,0,19,0,1008,Excellent
138,10,32.2,194,4.26,252,2,0,12,3/6/2019,1144168,day,day,54,14,1,19,4107,27,27,6,6,0,41,17,1016,Excellent,31,30,7,8,0,31,22,1015,Excellent
121,5,24,144,5.04,193,2,0,12,3/10/2019,1144169,day,day,52,10,1,19,4112,22,25,13,16,1,86,64,1019,Excellent,25,27,12,15,0,77,63,1019,Excellent
189,10,39.2,236,4.8,NULL,1,0,12,3/13/2019,1144170,day,day,51,14,0,19,4114,24,26,17,20,0,61,11,1013,Excellent,22,25,21,26,0,71,6,1014,Excellent
225,10,49.3,297,4.54,NULL,1,0,12,3/16/2019,1144171,day,day,53,23,1,19,4115,27,28,9,10,0,52,3,1012,Excellent,23,25,8,9,0,74,6,1011,Excellent
322,8,50,300,6.44,NULL,1,1,11,5/21/2019,1169332,day,day,18,13,0,20,4142,15,15,5,5,1,65,34,1018,Excellent,15,14,2,3,1,67,13,1018,Excellent
136,10,29.2,176,4.63,NULL,1,0,5,6/1/2019,1144485,day,day,30,11,0,20,4145,19,19,17,24,0,73,36,1019,Excellent,20,20,20,30,0,72,50,1017,Excellent
201,10,36.5,221,5.45,NULL,1,1,13,6/4/2019,1144489,day,day,30,35,0,20,4149,15,14,14,18,0,83,100,1003,Excellent,15,15,19,23,1,83,51,1001,Excellent
247,10,45.5,275,5.38,335,2,0,6,6/15/2019,1144502,day,day,13,8,1,20,4159,18,18,23,26,0,61,90,1013,Excellent,20,20,22,26,0,48,27,1013,Excellent
232,9,50,300,4.64,NULL,1,1,10,6/21/2019,1144509,day,day,14,10,1,20,4168,16,16,18,20,0,57,24,1018,Excellent,16,16,16,18,0,57,4,1019,Excellent
203,10,49.3,297,4.1,NULL,1,0,12,6/28/2019,1144517,day,day,35,20,0,20,4176,19,19,14,17,0,67,2,1026,Excellent,19,19,16,18,0,71,7,1025,Excellent
338,6,50,300,6.76,NULL,1,1,7,7/1/2019,1144521,day,day,35,19,0,20,4180,18,18,32,37,0,62,55,1015,Excellent,19,19,26,30,1,60,28,1018,Excellent
264,7,50,300,5.28,NULL,1,0,2,7/6/2019,1144526,day,day,14,15,1,20,4187,19,19,9,10,0,56,9,1013,Excellent,19,19,6,6,0,55,13,1014,Excellent
314,8,50,300,6.28,NULL,1,1,1,7/26/2019,1193504,day,night,10,18,1,20,4193,28,31,17,21,0,78,56,1008,Excellent,26,30,13,18,0,88,49,1010,Excellent
242,3,44.4,268,5.41,239,2,1,1,7/28/2019,1193505,night,day,10,22,0,20,4194,27,30,13,17,0,86,23,1010,Excellent,28,32,15,18,0,77,44,1008,Excellent
294,8,50,300,5.88,NULL,1,1,1,7/31/2019,1193506,day,night,10,4,1,20,4195,29,33,16,19,0,77,22,1009,Excellent,27,32,13,17,0,87,43,1011,Excellent
238,10,46.5,281,5.08,306,2,0,4,9/30/2019,1198487,night,day,59,21,0,21,4211,29,35,30,36,0,77,6,1009,Excellent,31,37,31,36,0,65,9,1006,Excellent
297,9,50,300,5.94,NULL,1,0,4,10/2/2019,1198488,day,night,59,18,1,21,4212,30,35,31,36,0,67,9,1008,Excellent,28,33,29,36,0,78,56,1010,Excellent
