runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season
-0.825062,-0.827542,-0.747389,-0.374074,1.539083,-2.081474,-1.144577,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,-1.429221,-2.007158,1
-0.86059,-0.696656,-0.747389,-0.374074,1.870136,-1.008139,-1.440255,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,-1.367187,-1.722229,1
-0.86059,-0.860263,-0.747389,-0.374074,-1.44039,0.781138,0.366192,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,0.510773,0.292991,1
0.880279,0.80853,1.874266,-0.374074,-1.109337,1.289194,1.749625,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,0.345574,1.027571,1
1.093446,0.710366,1.874266,-0.374074,-0.778285,1.197205,1.727383,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,0.975303,1.105707,1
1.661893,1.692009,0.891146,-0.374074,-0.447232,0.650915,2.113216,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,0.652217,1.021698,1
0.098664,0.383151,-0.091975,-0.374074,-0.11618,-0.564153,1.828433,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,1.548399,0.265744,1
-0.221087,-0.10767,-0.747389,-0.374074,0.214873,-2.081474,-0.603315,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,-0.891611,-0.93181,1
-0.256615,0.023216,-0.419682,-0.374074,0.545926,-1.043822,-0.019935,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,-0.270404,-0.633817,1
-0.647423,-0.762099,-0.419682,-0.374074,0.876978,0.446248,1.597876,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,1.127456,0.07075,1
-0.825062,-0.892985,-0.747389,-0.374074,-1.44039,0.781138,0.366192,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,0.47365,0.292991,2
1.306614,1.790173,0.563439,0.821465,-1.109337,1.289194,1.749625,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,2.793213,1.027571,2
-0.18556,-0.173113,-0.091975,-0.374074,-0.778285,-0.564153,1.828433,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,-0.365317,0.265744,2
1.804005,2.150109,-0.091975,2.017004,-0.447232,1.348681,-1.455884,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,1.299371,1.676198,2
-0.150032,0.612201,-0.747389,-0.374074,-0.11618,-0.972533,-1.455884,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,-0.702024,-0.55175,2
-0.682951,-0.79482,-0.419682,-0.374074,0.214873,-0.96484,-0.716376,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,-0.577604,0.356664,2
0.276304,-0.205835,-0.091975,0.821465,0.545926,0.446248,1.597876,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,0.60665,0.07075,2
-0.18556,-0.500327,-0.419682,0.821465,0.876978,-0.315206,-1.455884,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,0.187124,-0.704365,2
-0.825062,-0.892985,-0.747389,-0.374074,1.208031,-1.043822,-0.019935,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,-1.18495,-0.633817,2
-0.86059,-0.958428,-0.747389,-0.374074,1.539083,-2.081474,-1.455884,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,-1.703193,-1.763386,2
-0.789534,-0.892985,-0.747389,-0.374074,1.870136,-1.184892,-1.455884,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,-0.666706,-0.871633,2
0.560527,0.252266,1.218852,-0.374074,-1.44039,0.781138,0.366192,-1.915224,0.131652,-0.434734,0.435523,1.547602,2.450316,0.347332,1.177341,-0.548609,0.925549,0.47365,2.099062,2
1.271086,0.514037,1.546559,0.821465,-1.109337,1.289194,1.749625,-1.915224,0.131652,-0.434734,0.435523,1.547602,2.450316,0.347332,1.177341,-0.548609,0.925549,2.793213,6.809055,2
-0.505311,-0.631213,-0.091975,-0.374074,-0.778285,0.590841,-1.455884,-1.915224,0.131652,-0.434734,0.435523,1.547602,2.450316,0.347332,1.177341,-0.548609,0.925549,-0.4291,0.695763,2
0.098664,0.284987,0.563439,0.821465,-1.44039,0.781138,0.366192,-0.404615,-0.723319,-0.434734,-1.684214,-0.993535,1.833666,0.347332,1.177341,-0.548609,0.925549,0.382736,0.292991,2
-0.114504,-0.33672,0.563439,-0.374074,-1.109337,1.289194,1.749625,-0.404615,-0.723319,-0.434734,-1.684214,-0.993535,1.833666,0.347332,1.177341,-0.548609,0.925549,2.512032,1.027571,2
3.083011,2.902702,1.218852,5.60362,-0.778285,0.590841,-1.455884,-0.404615,-0.723319,-0.434734,-1.684214,-0.993535,1.833666,0.347332,1.177341,-0.548609,0.925549,1.054356,-0.003438,2
0.631583,1.004859,-0.091975,0.821465,-0.447232,-0.972533,-1.455884,-0.404615,-0.723319,-0.434734,-1.684214,-0.993535,1.833666,0.347332,1.177341,-0.548609,0.925549,-0.144444,-0.55175,2
0.382887,0.186823,0.563439,-0.374074,-0.11618,-0.653496,-1.455884,-0.404615,-0.723319,-0.434734,-1.684214,-0.993535,1.833666,0.347332,1.177341,-0.548609,0.925549,0.462003,0.984667,2
0.134192,-0.271277,0.235732,-0.374074,0.214873,-0.564153,1.828433,-0.404615,-0.723319,-0.434734,-1.684214,-0.993535,1.833666,0.347332,1.177341,-0.548609,0.925549,0.489801,0.265744,2
1.590837,2.215552,0.891146,-0.374074,-1.44039,0.781138,0.366192,-1.15992,-0.234764,-0.434734,-1.283182,-0.921954,2.244766,0.347332,-0.848992,-0.548609,-1.079956,0.382736,2.099062,2
1.910589,1.201187,2.201973,2.017004,-1.109337,1.289194,1.749625,-1.15992,-0.234764,-0.434734,-1.283182,-0.921954,2.244766,0.347332,-0.848992,-0.548609,-1.079956,2.512032,6.809055,2
-0.647423,-0.533049,-0.747389,-0.374074,-0.778285,0.590841,-1.455884,-1.15992,-0.234764,-0.434734,-1.283182,-0.921954,2.244766,0.347332,-0.848992,-0.548609,-1.079956,1.054356,0.695763,2
-0.434255,-0.434885,-0.747389,-0.374074,-0.447232,-0.972533,-1.455884,-1.15992,-0.234764,-0.434734,-1.283182,-0.921954,2.244766,0.347332,-0.848992,-0.548609,-1.079956,-0.144444,-0.901536,2
-0.292143,0.055937,-0.419682,-0.374074,-0.11618,-0.564153,1.828433,-1.15992,-0.234764,-0.434734,-1.283182,-0.921954,2.244766,0.347332,-0.848992,-0.548609,-1.079956,0.489801,-0.307854,2
-0.611895,-0.696656,-0.419682,-0.374074,0.214873,-0.653496,-1.455884,-1.15992,-0.234764,-0.434734,-1.283182,-0.921954,2.244766,0.347332,-0.848992,-0.548609,-1.079956,0.462003,-0.923534,2
-0.327671,-0.271277,-0.747389,-0.374074,0.545926,0.328805,0.183485,-1.15992,-0.234764,-0.434734,-1.283182,-0.921954,2.244766,0.347332,-0.848992,-0.548609,-1.079956,-0.559751,-0.834728,2
-0.576367,-0.434885,-0.747389,-0.374074,0.876978,0.446248,1.597876,-1.15992,-0.234764,-0.434734,-1.283182,-0.921954,2.244766,0.347332,-0.848992,-0.548609,-1.079956,-0.977044,0.627609,2
-0.540839,-0.663935,-0.419682,-0.374074,1.208031,-1.043822,-0.019935,-1.15992,-0.234764,-0.434734,-1.283182,-0.921954,2.244766,0.347332,-0.848992,-0.548609,-1.079956,-0.4588,-0.676007,2
-0.611895,-0.696656,-0.747389,0.821465,1.539083,-2.081474,0.066485,-1.15992,-0.234764,-0.434734,-1.283182,-0.921954,2.244766,0.347332,-0.848992,-0.548609,-1.079956,-0.640338,-0.923534,2
-0.86059,-0.892985,-0.747389,-0.374074,1.870136,-2.081474,-1.455884,-1.15992,-0.234764,-0.434734,-1.283182,-0.921954,2.244766,0.347332,-0.848992,-0.548609,-1.079956,-1.703193,-2.389666,2
1.697421,1.626566,1.874266,0.821465,-1.44039,0.781138,0.366192,-0.026963,-1.211873,-0.434734,-1.626924,-0.957745,1.217015,0.347332,1.177341,-0.548609,0.925549,0.382736,2.099062,2
2.976427,2.379159,3.840507,-0.374074,-1.109337,1.289194,1.749625,-0.026963,-1.211873,-0.434734,-1.626924,-0.957745,1.217015,0.347332,1.177341,-0.548609,0.925549,2.512032,6.809055,2
-0.292143,-0.074949,-0.419682,-0.374074,-0.778285,0.590841,-1.455884,-0.026963,-1.211873,-0.434734,-1.626924,-0.957745,1.217015,0.347332,1.177341,-0.548609,0.925549,1.054356,0.695763,2
-0.469783,-0.434885,-0.091975,-0.374074,-1.44039,0.781138,0.366192,0.539515,-1.334012,2.098378,1.180296,0.617045,-0.427386,-1.91488,-0.848992,-0.548609,0.925549,-0.032791,0.124856,2
-0.221087,-0.140392,0.235732,-0.374074,-1.109337,1.289194,1.749625,0.539515,-1.334012,2.098378,1.180296,0.617045,-0.427386,-1.91488,-0.848992,-0.548609,0.925549,0.833114,0.613597,2
0.631583,1.103023,0.563439,-0.374074,-0.778285,1.197205,1.727383,0.539515,-1.334012,2.098378,1.180296,0.617045,-0.427386,-1.91488,-0.848992,-0.548609,0.925549,0.224409,0.356321,2
1.057918,1.135744,0.235732,-0.374074,-0.447232,0.650915,2.113216,0.539515,-1.334012,2.098378,1.180296,0.617045,-0.427386,-1.91488,-0.848992,-0.548609,0.925549,0.48951,0.240313,2
-0.256615,-0.238556,-0.747389,-0.374074,-0.11618,-0.564153,1.828433,0.539515,-1.334012,2.098378,1.180296,0.617045,-0.427386,-1.91488,-0.848992,-0.548609,0.925549,-0.106888,-1.319422,2
