economy,deliveries,wickets_taken,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,batting_inning,bowling_session,toss,bowling_venue,bowling_opposition,season
7.0,12,0,264.519,9.7462,23,3,0,46,9,1020,3,2,0,1,14.8218,9.65158,2
2.78,54,0,413.386,17.9419,24,3,6,99,34,1011,2,1,1,1,37.0663,57.8118,2
3.4,60,5,594.115,0.0,24,3,6,99,34,1011,2,1,1,1,43.6984,92.8711,2
3.8,60,2,354.802,0.0,24,3,6,99,34,1011,2,1,1,1,35.1855,73.4666,2
6.63,48,0,75.058,0.0,24,3,6,99,34,1011,2,1,1,1,17.2465,33.9319,2
7.1,60,1,68.7865,0.0,24,3,6,99,34,1011,2,1,1,1,26.1973,26.3519,2
6.5,36,1,413.386,17.9419,24,3,8,99,57,1010,1,1,1,1,37.0663,31.7433,2
4.2,50,2,594.115,0.0,24,3,8,99,57,1010,1,1,1,1,43.6984,34.5052,2
3.7,60,3,264.519,9.7462,24,3,8,99,57,1010,1,1,1,1,26.4389,18.1202,2
4.75,48,2,68.7865,0.0,24,3,8,99,57,1010,1,1,1,1,26.1973,10.282,2
3.88,48,2,0.0,20.1244,24,3,8,99,57,1010,1,1,1,1,18.8491,20.1245,2
5.6,45,0,0.0,20.1244,27,5,4,91,51,1009,2,2,0,1,18.8491,20.5927,2
4.2,60,5,75.058,0.0,27,5,4,91,51,1009,2,2,0,1,17.2465,22.5661,2
6.17,36,1,354.802,0.0,27,5,4,91,51,1009,2,2,0,1,35.1855,82.1064,2
4.43,42,2,235.698,0.0,27,5,4,91,51,1009,2,2,0,1,13.8605,44.2538,2
4.44,54,0,105.123,30.9399,27,5,4,91,51,1009,2,2,0,1,23.9232,53.84,2
4.67,18,0,0.0,18.8501,27,5,4,91,51,1009,2,2,0,1,12.6297,18.8668,2
4.89,54,1,413.386,17.9419,27,5,10,95,60,1008,1,2,0,0,37.0663,72.3546,2
5.7,60,2,594.115,0.0,27,5,10,95,60,1008,1,2,0,0,43.6984,93.0253,2
6.83,36,0,75.058,0.0,27,5,10,95,60,1008,1,2,0,0,17.2465,22.5661,2
5.33,18,0,354.802,0.0,27,5,10,95,60,1008,1,2,0,0,35.1855,82.1064,2
3.4,60,0,68.7865,0.0,27,5,10,95,60,1008,1,2,0,0,26.1973,37.9249,2
5.29,42,2,0.0,18.8501,27,5,10,95,60,1008,1,2,0,0,12.6297,18.8668,2
6.0,30,0,264.519,9.7462,27,5,10,95,60,1008,1,2,0,0,26.4389,51.7822,2
3.5,60,3,594.115,0.0,27,8,1,74,29,1010,3,2,0,0,43.6984,51.0771,2
4.29,49,1,413.386,17.9419,27,8,1,74,29,1010,3,2,0,0,37.0663,58.0883,2
3.6,60,3,354.802,0.0,27,8,1,74,29,1010,3,2,0,0,35.1855,37.8722,2
4.2,60,1,183.552,0.0,27,8,1,74,29,1010,3,2,0,0,20.1545,20.6891,2
3.5,60,2,235.698,0.0,27,8,1,74,29,1010,3,2,0,0,13.8605,46.0288,2
4.86,42,0,594.115,0.0,24,4,3,95,47,1010,2,1,1,1,43.6984,93.0253,2
4.6,30,0,413.386,17.9419,24,4,3,95,47,1010,2,1,1,1,37.0663,72.3546,2
4.57,42,2,354.802,0.0,24,4,3,95,47,1010,2,1,1,1,35.1855,82.1064,2
4.13,48,2,58.5243,0.0,24,4,3,95,47,1010,2,1,1,1,9.39425,22.1115,2
5.07,45,0,105.123,30.9399,24,4,3,95,47,1010,2,1,1,1,23.9232,53.84,2
2.33,54,2,594.115,0.0,28,3,11,89,66,1010,1,2,0,0,43.6984,93.0253,2
3.44,54,2,413.386,17.9419,28,3,11,89,66,1010,1,2,0,0,37.0663,72.3546,2
2.5,48,1,354.802,0.0,28,3,11,89,66,1010,1,2,0,0,35.1855,82.1064,2
3.65,46,5,441.988,19.0567,28,3,11,89,66,1010,1,2,0,0,29.0246,85.9906,2
5.44,54,2,594.115,0.0,23,6,3,95,45,1008,2,1,1,1,43.6984,93.0253,2
5.22,54,0,413.386,17.9419,23,6,3,95,45,1008,2,1,1,1,37.0663,72.3546,2
4.8,60,1,354.802,0.0,23,6,3,95,45,1008,2,1,1,1,35.1855,82.1064,2
4.0,54,3,441.988,19.0567,23,6,3,95,45,1008,2,1,1,1,29.0246,85.9906,2
4.07,59,3,105.123,30.9399,23,6,3,95,45,1008,2,1,1,1,23.9232,53.84,2
3.9,60,1,594.115,29.2376,13,13,0,56,44,1022,3,2,0,0,20.5008,79.1412,3
6.0,60,1,413.386,47.8475,13,13,0,56,44,1022,3,2,0,0,22.9209,70.4721,3
5.75,48,5,441.988,17.9622,13,13,0,56,44,1022,3,2,0,0,13.18,47.0055,3
4.0,54,0,68.7865,26.2859,13,13,0,56,44,1022,3,2,0,0,17.9165,19.8315,3
3.89,54,1,105.123,36.8008,13,13,0,56,44,1022,3,2,0,0,17.7774,19.8435,3
4.25,24,0,264.519,19.259,13,13,0,56,44,1022,3,2,0,0,20.9627,64.7436,3
4.43,46,1,594.115,29.2376,15,15,0,77,47,1023,3,1,1,1,25.0992,79.1412,3
6.0,48,2,413.386,47.8475,15,15,0,77,47,1023,3,1,1,1,18.5488,70.4721,3
4.88,48,2,441.988,17.9622,15,15,0,77,47,1023,3,1,1,1,20.7557,47.0055,3
4.29,42,2,68.7865,26.2859,15,15,0,77,47,1023,3,1,1,1,8.333,19.8315,3
7.57,42,2,105.123,36.8008,15,15,0,77,47,1023,3,1,1,1,9.93265,19.8435,3
5.17,36,0,594.115,29.2376,20,15,0,89,67,1019,3,1,0,1,19.2237,79.1412,3
5.88,48,2,58.5243,23.8935,20,15,0,89,67,1019,3,1,0,1,10.368,10.9412,3
4.07,28,0,441.988,17.9622,20,15,0,89,67,1019,3,1,0,1,11.8309,47.0055,3
10.0,6,0,122.804,21.1663,20,15,0,89,67,1019,3,1,0,1,3.0727,63.9574,3
