Name;Catches;Run Outs;Match_Id
Senanayake;1;0;518967
Herath;2;0;518968
Thirimanne;1;0;518968
†Sangakkara;1;0;518968
Jayawardene;1;0;518968
Dilshan;1;0;518969
Maharoof;0;1;518969
Herath;0;1;518969
†Sangakkara;2;0;518970
Herath;1;0;518970
Dilshan;0;1;518970
Jayawardene;1;0;518970
Maharoof;1;0;518970
sub (SMSM Senanayake);1;0;518970
Tharanga;1;0;535795
Jayawardene;1;0;535795
Thirimanne;1;0;535795
Chandimal;1;0;535796
Tharanga;2;0;535796
Maharoof;1;0;535796
Thirimanne;1;0;535799
Kapugedera;1;0;535799
†Sangakkara;1;2;562439
Mathews;0;1;562439
Perera;1;0;562440
†Sangakkara;4;0;562440
Tharanga;1;0;562440
†Sangakkara;1;0;562441
Kulasekara;2;0;562442
†Sangakkara;3;0;562442
Chandimal;1;0;562442
Jayawardene;1;0;562442
Perera;0;1;562442
Thirimanne;1;0;562442
Chandimal;1;0;562443
Thirimanne;1;1;562443
Perera;1;0;562443
Jayawardene;1;0;562443
Tharanga;1;0;562443
Perera;0;1;564781
sub (SMSM Senanayake);2;0;564781
Thirimanne;1;0;564781
†Sangakkara;4;1;564782
Perera;2;0;564782
Udana;0;1;564782
Udana;0;1;564783
sub (SMSM Senanayake);1;0;564783
Herath;1;0;564783
sub (SMSM Senanayake);1;0;564784
Malinga;1;0;564785
Perera;1;0;564785
Thirimanne;1;0;564785
†Chandimal;1;0;564785
†Sangakkara;1;0;582188
Jayawardene;1;0;582188
Mathews;1;0;582188
Perera;1;0;582188
Jayawardene;1;0;582189
Mendis;0;1;582189
Mathews;1;0;582189
Tharanga;1;0;582190
Kulasekara;0;1;582190
Mendis;0;1;582190
Chandimal;1;0;582190
†Sangakkara;1;0;582190
†Chandimal;2;1;573014
BMAJ Mendis;1;1;573014
BAW Mendis;1;0;573014
BMAJ Mendis;1;0;573015
Thirimanne;2;0;573015
Dilshan;0;1;573015
†MDKJ Perera;4;0;573015
Eranga;1;0;573016
Jayawardene;1;0;573016
†MDKJ Perera;2;0;573016
Dilshan;1;0;573016
Mendis;1;0;573016
†Chandimal;1;0;573017
Thirimanne;1;0;573017
NLTC Perera;1;0;573017
Kulasekara;1;0;573017
NLTC Perera;1;1;573018
Thirimanne;1;0;573018
Chandimal;0;1;602474
†Sangakkara;1;1;602474
MDKJ Perera;1;0;602474
Dilshan;1;0;602474
Chandimal;1;0;602476
†Sangakkara;2;0;602476
NLTC Perera;1;1;602476
Jayawardene;1;0;578617
†Sangakkara;1;0;578617
NLTC Perera;0;1;578617
Perera;1;0;578621
Jayawardene;1;0;578621
†Sangakkara;1;0;578621
†Sangakkara;2;0;578625
Kulasekara;1;1;578625
Eranga;1;0;578625
Dilshan;2;0;578625
†Sangakkara;0;1;566947
Chandimal;1;0;597923
Jayawardene;1;0;597923
Malinga;0;1;597923
Kulasekara;0;1;597923
Mathews;1;1;597925
Tharanga;1;0;597925
Malinga;2;1;597925
†Sangakkara;1;1;597925
Jayawardene;0;1;597925
Eranga;2;0;597927
Jayawardene;1;0;597927
Mendis;1;0;597927
Thirimanne;1;0;597927
†Sangakkara;1;0;597927
Malinga;1;0;597927
Jayawardene;1;0;597928
†Sangakkara;3;0;597929
Jayawardene;1;0;597929
sub (SMSM Senanayake);1;0;597929
†Sangakkara;2;1;635653
Chandimal;1;0;635653
Tharanga;1;0;635653
Perera;1;0;635653
Thirimanne;1;0;635653
†Sangakkara;2;0;635654
†Sangakkara;3;1;635655
Chandimal;0;1;635655
†Sangakkara;2;1;635656
Thirimanne;1;0;635656
Dilshan;1;0;635656
†Sangakkara;2;0;635657
Mathews;3;0;635657
Senanayake;1;0;668963
†Sangakkara;2;1;668963
Thirimanne;1;0;668963
Dilshan;1;0;668963
Herath;1;0;668965
†Sangakkara;0;1;668965
Senanayake;1;0;668965
Senanayake;1;0;657637
Chandimal;1;0;657637
NLTC Perera;0;1;657637
†Sangakkara;0;1;657637
Karunaratne;0;1;657639
†Sangakkara;0;1;657639
Chandimal;1;0;657639
Malinga;0;1;657641
Senanayake;1;0;657641
Karunaratne;1;0;657641
Senanayake;1;0;657643
Malinga;1;0;657645
Priyanjan;1;0;657645
Dilshan;2;0;657645
†Sangakkara;1;0;657645
Mendis;0;1;657645
Senanayake;0;1;657645
Mathews;2;1;690355
Malinga;0;2;690355
†Sangakkara;2;2;690355
Dilshan;1;0;690355
Priyanjan;1;0;690355
Vithanage;1;0;690355
Senanayake;0;1;690355
Senanayake;3;0;690357
†Sangakkara;2;0;690357
Vithanage;1;0;690357
MDKJ Perera;0;1;690357
Priyanjan;0;1;690357
NLTC Perera;1;0;690357
sub (AK Perera);1;0;690357
†Chandimal;1;0;690359
AK Perera;1;0;690359
Vithanage;0;1;690359
Senanayake;1;0;690359
Prasad;1;0;690359
Priyanjan;1;0;690359
Thirimanne;1;0;690359
Mathews;1;0;710291
de Silva;2;0;710291
Senanayake;1;0;710291
†Sangakkara;1;0;710291
Chandimal;1;0;710291
Thirimanne;1;0;710297
MDKJ Perera;1;0;710297
de Silva;1;0;710297
†Sangakkara;0;1;710297
de Silva;1;0;710303
†Sangakkara;1;0;710303
Thirimanne;1;0;710303
Mathews;1;0;710303
NLTC Perera;1;0;710303
Thirimanne;1;0;710309
Mathews;1;0;710309
Jayawardene;1;0;710309
NLTC Perera;1;0;710311
†Sangakkara;2;0;710311
MDKJ Perera;1;0;710311
Priyanjan;1;0;710311
Perera;1;0;706767
†Chandimal;1;1;706767
Senanayake;1;1;706767
†Sangakkara;1;0;667889
Malinga;1;0;667889
Chandimal;1;0;667889
†Sangakkara;2;0;667891
Chandimal;1;0;667891
Senanayake;1;0;667891
Kulasekara;1;0;667891
Jayawardene;1;0;667895
†Sangakkara;1;1;667895
Mendis;1;0;667895
Thirimanne;1;0;667895
Malinga;0;1;667895
Dilshan;1;0;667895
†Sangakkara;2;0;667897
Mendis;1;1;667897
Malinga;1;0;667897
Jayawardene;1;0;667897
Senanayake;0;1;667897
Perera;0;1;667897
Kulasekara;1;0;730083
Dilshan;1;0;730083
Senanayake;2;0;730085
†Sangakkara;3;0;730085
sub (NLTC Perera);1;0;730085
Kulasekara;1;0;730085
Senanayake;1;0;730087
Mendis;2;0;730087
Priyanjan;1;0;730087
Kulasekara;1;0;745159
Malinga;1;0;745159
†Sangakkara;1;0;745159
Priyanjan;1;0;745159
†Sangakkara;2;0;745161
Herath;2;0;745161
Kulasekara;2;0;745161
Mathews;1;0;745161
Perera;2;0;745163
Jayawardene;2;0;745163
Dilshan;0;1;745163
Malinga;1;0;745163
†Sangakkara;2;0;745163
Jayawardene;1;0;792289
Perera;2;0;792289
Jayawardene;1;0;792291
Priyanjan;1;0;792291
Randiv;1;0;792291
Jayawardene;1;0;792293
†Sangakkara;1;1;792293
Mathews;0;1;792293
Gamage;1;0;792293
Jayawardene;2;0;792295
Prasanna;0;1;792295
†Chandimal;0;1;792295
†Chandimal;0;2;792297
Eranga;0;1;792297
Mathews;1;0;792297
BMAJ Mendis;1;0;750663
Jayawardene;1;0;750663
†Sangakkara;1;2;750663
MDKJ Perera;1;0;750663
MDKJ Perera;1;0;750665
NLTC Perera;1;0;750665
Thirimanne;1;0;750665
Mathews;1;0;750665
†Sangakkara;0;1;750665
†Sangakkara;2;1;750667
Herath;0;1;750667
BAW Mendis;1;0;750667
NLTC Perera;1;0;750667
†Sangakkara;2;0;750669
Jayawardene;2;0;750669
MDKJ Perera;1;0;750669
NLTC Perera;2;0;750669
BAW Mendis;1;0;750671
Thirimanne;1;0;750671
NLTC Perera;1;0;750671
†Sangakkara;4;0;750673
Thirimanne;0;1;750673
Dilshan;2;0;750673
Jayawardene;1;0;750675
Prasanna;1;0;750675
†Sangakkara;1;1;750675
Chandimal;1;0;750675
Dilshan;1;0;749781
†Sangakkara;0;2;749781
Jayawardene;1;0;749781
Mathews;1;0;749781
Mathews;1;1;749783
Mendis;1;1;749783
†Sangakkara;1;4;749783
Perera;1;0;749783
Dilshan;0;1;749783
Jayawardene;0;1;749783
Thirimanne;1;0;749783
Kulasekara;1;0;749785
†Sangakkara;2;0;749787
Perera;1;0;749787
Thirimanne;1;0;749787
Dilshan;0;1;749787
†Sangakkara;2;0;749789
Karunaratne;1;0;749789
†Sangakkara;1;2;749791
Perera;2;0;749791
Prasad;0;3;749791
Karunaratne;1;1;749791
Jayawardene;1;0;749793
Chandimal;1;0;749793
†Sangakkara;2;1;749793
Kulasekara;0;1;749793
†Sangakkara;1;1;656399
Mendis;1;0;656399
Karunaratne;1;0;656399
Thirimanne;1;0;656399
Lakmal;1;0;656399
Herath;2;0;656421
Thirimanne;1;0;656421
Mendis;2;0;656421
Mathews;1;0;656421
Perera;1;0;656421
Lakmal;1;0;656421
Mathews;0;1;656433
†Sangakkara;2;1;656433
Jayawardene;1;0;656433
Herath;1;0;656433
Malinga;1;0;656433
Lakmal;1;0;656441
Dilshan;3;0;656441
†Sangakkara;0;1;656461
Prasanna;1;0;656461
Perera;2;2;656461
Malinga;1;0;656461
Chandimal;1;0;656461
Mathews;0;2;656461
Malinga;1;0;656467
Thirimanne;2;0;656467
NLTC Perera;2;0;656467
Kulasekara;1;0;656467
†Sangakkara;2;0;656467
Kulasekara;1;0;656483
†Chandimal;2;0;860269
NLTC Perera;1;0;860269
Siriwardana;2;0;860271
Mathews;1;0;860271
Pathirana;1;0;860273
Tharanga;0;1;860273
NLTC Perera;0;2;860273
MDKJ Perera;1;0;860273
sub (SMSM Senanayake);1;0;860275
Perera;1;0;860275
†Chandimal;1;0;860275
Mathews;0;1;860277
†Chandimal;1;1;860277
Lakmal;0;1;860277
Thirimanne;1;0;860277
Senanayake;2;0;860277
NLTC Perera;2;0;860277
Dilshan;1;0;915777
Gunathilaka;1;0;915777
†Perera;0;1;915777
†Perera;1;2;915779
Siriwardana;1;0;915779
Dilshan;1;0;915779
Thirimanne;0;1;915779
Mendis;0;1;915779
Chandimal;1;0;915779
Malinga;0;2;915779
Mathews;0;1;915779
Dilshan;2;0;915781
†Perera;3;0;915781
Chandimal;1;0;915781
Kulasekara;1;0;914207
Lakmal;1;0;914207
Dilshan;1;0;914211
Pradeep;1;0;914211
Chameera;1;1;914211
Mathews;1;0;914211
Kapugedera;1;0;914211
sub (SMSM Senanayake);1;0;914211
†Chandimal;1;0;914213
Chameera;1;0;914213
Perera;1;0;914215
†Chandimal;2;0;914215
Siriwardana;1;0;914215
Dilshan;1;0;914215
Perera;1;0;913619
†Chandimal;3;1;913619
Mathews;2;0;913621
†Chandimal;1;0;913621
Gunathilaka;2;0;913621
Mendis;2;0;913621
Maharoof;1;0;913621
Perera;1;0;913623
†Chandimal;1;0;913623
Gunathilaka;1;0;913623
Shanaka;1;0;913623
Mendis;1;0;913623
†Chandimal;1;0;913627
†Chandimal;1;0;913629
Pradeep;1;0;913629
Gunathilaka;1;0;913629
Perera;1;0;913631
†Chandimal;0;1;913631
Mendis;1;0;913631
Shanaka;1;0;913631
Pradeep;0;1;913631
†MDKJ Perera;1;1;995457
Mathews;1;0;995457
sub (MD Gunathilaka);2;0;995457
Dilshan;1;0;995457
Sandakan;1;0;995457
†Chandimal;1;1;995459
MDK Perera;1;0;995459
Gunathilaka;1;0;995459
Dilshan;2;0;995459
Mathews;1;0;995459
Dilshan;1;0;995461
Chandimal;1;0;995461
†MDKJ Perera;0;1;995461
MDK Perera;1;0;995461
Prasanna;1;0;995461
de Silva;1;0;995465
†MDKJ Perera;1;0;995465
Gunathilaka;1;0;995465
Lakmal;1;0;995465
Mendis;2;0;1059710
Pathirana;1;0;1059710
†Dickwella;1;1;1059710
Kulasekara;1;0;1059710
Jayasuriya;1;0;1059710
Perera;1;0;1059711
Kulasekara;0;2;1059711
†Dickwella;2;0;1059711
de Silva;1;0;1059711
Lakmal;1;0;1059711
Mendis;0;1;1059713
†Dickwella;0;1;1059713
Tharanga;1;1;1059714
Mendis;0;1;1059714
†Dickwella;1;1;1059714
Pradeep;0;1;1059714
de Silva;1;0;1059714
Pathirana;2;0;1059716
de Silva;2;0;1059716
Vandersay;1;0;1059716
Mendis;1;0;1059716
†Dickwella;1;0;1059716
Weerakkody;1;0;936159
Gunaratne;1;0;936159
Lakmal;1;0;936161
Mendis;2;0;936161
†Chandimal;1;0;936161
DM de Silva;1;0;936161
Pathirana;0;1;936163
Madushanka;0;1;936163
de Silva;1;0;936163
Gunaratne;2;0;936165
Tharanga;1;0;936165
Mendis;1;0;936165
Weerakkody;1;0;936167
Mendis;1;0;936167
Lakmal;1;0;936167
Kumara;1;0;936167
†Dickwella;1;0;936167
Gunaratne;1;0;936167
Gunathilaka;1;0;1083446
†Chandimal;1;0;1083446
Tharanga;1;0;1083446
Sandakan;2;0;1083446
Kulasekara;1;0;1083448
†Chandimal;2;1;1083448
Gunathilaka;1;0;1083448
Tharanga;1;0;1083448
Prasanna;1;0;1083448
Gunaratne;1;0;1083448
Mendis;0;1;1022351
†Dickwella;1;1;1022351
Chandimal;1;0;1022351
Kapugedera;1;0;1022351
Prasanna;1;0;1022351
Tharanga;0;1;1022351
NLTC Perera;1;0;1022361
Mendis;1;0;1022361
†Dickwella;1;0;1022361
Chandimal;1;0;1022361
MDKJ Perera;1;0;1022361
Mendis;1;0;1022369
Gunaratne;1;0;1022369
de Silva;1;0;1022369
Pradeep;1;0;1022369
†Dickwella;2;0;1022369
Perera;0;1;1022369
†Dickwella;1;0;1104478
Gunaratne;1;0;1104478
Tharanga;1;0;1104478
Gunaratne;1;0;1104479
†Dickwella;2;0;1104479
Pradeep;2;0;1104479
Pradeep;1;0;1104480
Tharanga;1;0;1104480
Mendis;1;0;1104480
Sandakan;0;1;1104480
Mathews;1;0;1104481
†Dickwella;1;1;1104481
de Silva;1;0;1104481
Gunathilaka;1;0;1104481
Kulasekara;1;0;1104482
de Silva;1;0;1104482
Mendis;2;0;1104482
Malinga;1;0;1104482
Kapugedera;0;1;1109605
Mathews;1;0;1109606
†Dickwella;0;1;1109606
Chameera;1;0;1109607
Thirimanne;1;0;1109607
†Dickwella;1;0;1109608
Pushpakumara;1;0;1109608
Munaweera;1;0;1109608
de Silva;2;0;1109608
Pushpakumara;1;0;1109609
Munaweera;1;0;1109609
Tharanga;1;0;1109609
†Dickwella;1;0;1109609
Dananjaya;2;0;1120286
Mendis;1;0;1120286
Perera;1;0;1120286
Tharanga;1;0;1120286
Mendis;2;0;1120287
Siriwardana;1;0;1120287
†Dickwella;2;0;1120287
Dananjaya;1;1;1120287
†Dickwella;1;1;1120288
†Dickwella;0;1;1120289
Gamage;1;0;1120289
†Dickwella;1;0;1120290
†Dickwella;2;1;1122726
Mathews;2;0;1122726
Gunathilaka;1;0;1122726
Thirimanne;2;0;1122727
sub (PC de Silva);1;0;1122727
Lakmal;1;0;1122728
sub (MD Gunathilaka);1;0;1130738
Mendis;1;0;1130738
Mathews;1;0;1130738
Tharanga;1;0;1130738
Dananjaya;1;0;1130738
†Dickwella;2;0;1130739
Gunaratne;1;0;1130739
NLTC Perera;1;0;1130739
Dananjaya;1;0;1130739
Tharanga;3;0;1130740
†Dickwella;2;1;1130740
Mendis;1;1;1130740
Gunathilaka;1;1;1130742
Mendis;1;0;1130742
Chameera;1;0;1130742
sub (DSK Madushanka);1;0;1130742
†Dickwella;2;0;1130742
Tharanga;1;0;1130742
Dananjaya;2;0;1130743
Perera;0;1;1130743
Gunaratne;1;1;1130743
Tharanga;2;0;1130743
Mendis;1;0;1130743
Lakmal;1;0;1142584
Mathews;1;0;1142584
Lakmal;1;0;1142585
Dananjaya;2;0;1142585
†MDKJ Perera;1;0;1142585
Mendis;2;0;1142585
MDKJ Perera;1;0;1142586
Lakmal;1;0;1142586
de Silva;2;0;1142586
Kumara;1;0;1142587
de Silva;2;0;1142587
Shanaka;0;1;1142587
Mathews;1;0;1142587
Dananjaya;1;0;1142588
de Silva;2;0;1142588
†Dickwella;1;0;1142588
Lakmal;1;0;1142588
Mendis;2;1;1153243
†MDKJ Perera;2;1;1153243
de Silva;1;0;1153243
Lakmal;1;0;1153243
Tharanga;1;0;1153243
NLTC Perera;2;0;1153245
Dananjaya;1;0;1153245
sub (S Samarawickrama);1;0;1140379
†Dickwella;1;0;1140379
Dananjaya;2;0;1140380
Malinga;1;0;1140380
de Silva;1;0;1140380
Perera;1;0;1140381
†Dickwella;0;1;1140382
Mendis;1;0;1140383
Samarawickrama;1;0;1140383
†Dickwella;1;0;1140383
Perera;1;0;1140383
Chandimal;1;0;1140383
Sandakan;1;0;1140383
Sandakan;2;0;1153840
Prasanna;1;0;1153840
NLTC Perera;1;1;1153840
MDKJ Perera;1;0;1153840
†Dickwella;2;1;1153841
NLTC Perera;0;2;1153841
Sandakan;1;1;1153841
MDKJ Perera;0;1;1153841
Pradeep;0;1;1153841
Mendis;1;0;1153842
de Silva;2;0;1153842
†Dickwella;1;0;1144167
†Dickwella;2;2;1144168
Dananjaya;1;0;1144168
Rajitha;1;0;1144168
WIA Fernando;1;0;1144168
†Dickwella;2;0;1144169
Malinga;1;0;1144169
Tharanga;1;0;1144170
NLTC Perera;1;0;1144170
de Silva;1;0;1144170
PARP Perera;1;0;1144170
WIA Fernando;1;0;1144171
†Mendis;1;0;1144171
Fernando;2;0;1169332
Thirimanne;1;0;1169332
†BKG Mendis;1;0;1169332
Karunaratne;1;1;1169332
Perera;0;1;1169332
de Silva;0;2;1169332
Karunaratne;1;1;1144489
NLTC Perera;1;0;1144489
Mathews;1;0;1144489
†MDKJ Perera;1;0;1144489
Karunaratne;1;0;1144502
Udana;1;2;1144502
Siriwardana;1;0;1144502
BKG Mendis;1;0;1144509
†MDKJ Perera;4;0;1144509
Udana;2;0;1144509
NLTC Perera;1;0;1144509
Vandersay;1;0;1144521
†Perera;2;0;1144521
de Silva;0;1;1144521
sub (BMAJ Mendis);1;0;1144521
Udana;0;2;1144521
Rajitha;0;1;1144521
†MDKJ Perera;1;0;1144526
Mathews;1;0;1144526
Mendis;2;1;1193504
sub (PWH de Silva);1;0;1193504
Fernando;1;0;1193504
NLTC Perera;1;0;1193504
Mendis;1;0;1193505
de Silva;0;1;1193505
†Perera;1;2;1193505
Karunaratne;1;0;1193505
Pradeep;0;1;1193505
Fernando;1;0;1193506
†Perera;2;2;1193506
Mendis;1;0;1193506
Kumara;1;0;1193506
sub (DM de Silva);2;0;1193506
Karunaratne;0;1;1193506
Udana;1;0;1198487
de Silva;1;1;1198487
†Samarawickrama;0;1;1198487
Pradeep;0;2;1198487
Thirimanne;0;1;1198487
BOP Fernando;1;0;1198487
Shanaka;1;0;1198488
