Name;Overs;Maidens;Runs;Wickets;Econ;Dots;4s;6s;Wd;Nb;Match_Id
Suraj Randiv;9;1;40;0;4.44;34;4;1;2;0;455236
Thilina Kandamby;3;0;14;0;4.67;9;1;0;0;0;455236
Nuwan Kulasekara;9;0;44;1;4.89;27;3;0;2;0;455237
Lasith Malinga;10;0;57;2;5.70;30;5;0;6;1;455237
Farveez Maharoof;6;0;41;0;6.83;18;5;1;0;0;455237
Angelo Mathews;3;1;16;0;5.33;11;3;0;0;0;455237
Muttiah Muralitharan;10;0;34;0;3.40;35;3;0;0;0;455237
Thilina Kandamby;7;0;37;2;5.29;14;2;0;0;0;455237
Tillakaratne Dilshan;5;0;30;0;6.00;13;3;0;1;0;455237
Lasith Malinga;10;1;35;3;3.50;40;1;0;4;3;456664
Nuwan Kulasekara;8.1;1;35;1;4.29;31;5;0;1;0;456664
Angelo Mathews;10;1;36;3;3.60;43;4;0;1;0;456664
Ajantha Mendis;10;0;42;1;4.20;33;1;1;1;0;456664
Rangana Herath;10;0;35;2;3.50;32;1;0;0;0;456664
Lasith Malinga;7;0;34;0;4.86;24;4;0;0;2;456663
Nuwan Kulasekara;5;0;23;0;4.60;18;2;0;1;0;456663
Angelo Mathews;7;1;32;2;4.57;29;4;1;0;1;456663
Dilhara Fernando;8;0;33;2;4.13;28;3;0;0;2;456663
Suraj Randiv;7.3;0;38;0;5.07;21;2;1;0;1;456663
Lasith Malinga;9;1;21;2;2.33;43;2;0;2;0;456666
Nuwan Kulasekara;9;2;31;2;3.44;39;4;0;1;0;456666
Angelo Mathews;8;3;20;1;2.50;38;3;0;1;0;456666
Thisara Perera;7.4;1;28;5;3.65;35;3;1;1;0;456666
Lasith Malinga;9;0;49;2;5.44;28;5;0;1;2;456668
Nuwan Kulasekara;9;0;47;0;5.22;37;7;1;2;0;456668
Angelo Mathews;10;0;48;1;4.80;33;5;0;2;2;456668
Thisara Perera;9;2;36;3;4.00;34;3;1;2;0;456668
Suraj Randiv;9.5;1;40;3;4.07;38;2;2;1;0;456668
Lasith Malinga;10;0;39;1;3.90;35;1;0;3;0;446957
Nuwan Kulasekara;10;0;60;1;6.00;26;6;0;0;0;446957
Thisara Perera;8;0;46;5;5.75;21;4;0;1;0;446957
Muttiah Muralitharan;9;0;36;0;4.00;28;2;0;0;0;446957
Suraj Randiv;9;0;35;1;3.89;25;1;0;0;0;446957
Tillakaratne Dilshan;4;0;17;0;4.25;8;0;0;0;0;446957
Lasith Malinga;7.4;0;34;1;4.43;25;1;0;2;0;446958
Nuwan Kulasekara;8;1;48;2;6.00;25;3;1;0;0;446958
Thisara Perera;8;0;39;2;4.88;23;1;1;1;0;446958
Muttiah Muralitharan;7;0;30;2;4.29;17;1;0;0;0;446958
Suraj Randiv;7;0;53;2;7.57;12;2;1;0;0;446958
Lasith Malinga;6;0;31;0;5.17;23;2;0;5;0;446959
Dilhara Fernando;8;0;47;2;5.88;31;4;0;3;5;446959
Thisara Perera;4.4;1;19;0;4.07;20;3;0;0;0;446959
Jeevan Mendis;1;0;10;0;10.00;1;1;0;0;0;446959
Suraj Randiv;2;0;11;0;5.50;7;0;1;0;0;446959
Lasith Malinga;10;0;51;3;5.10;29;4;0;2;0;464990
Nuwan Kulasekara;10;2;35;1;3.50;39;1;1;0;0;464990
Angelo Mathews;7;0;35;0;5.00;21;2;1;0;0;464990
Muttiah Muralitharan;10;0;42;0;4.20;34;3;0;0;0;464990
Ajantha Mendis;9;0;50;0;5.56;22;2;1;2;0;464990
Chamara Kapugedera;2;0;11;0;5.50;4;1;0;0;0;464990
Tillakaratne Dilshan;2;0;19;0;9.50;1;0;1;0;0;464990
Lasith Malinga;10;0;30;3;3.00;40;1;0;2;0;464991
Nuwan Kulasekara;10;1;42;2;4.20;36;2;1;1;0;464991
Angelo Mathews;4;0;20;0;5.00;16;4;0;0;0;464991
Muttiah Muralitharan;10;2;42;2;4.20;36;0;2;3;0;464991
Tillakaratne Dilshan;7;0;27;0;3.86;26;1;0;1;0;464991
Rangana Herath;9;1;33;1;3.67;33;1;1;1;0;464991
Dilhara Fernando;10;1;45;2;4.50;36;4;1;2;0;464992
Thisara Perera;9;2;36;3;4.00;36;4;0;0;0;464992
Angelo Mathews;6;0;33;0;5.50;16;3;0;2;0;464992
Ajantha Mendis;10;1;46;4;4.60;31;2;0;1;0;464992
Chamara Kapugedera;1;0;7;0;7.00;3;1;0;1;0;464992
Tillakaratne Dilshan;3;0;25;0;8.33;5;1;1;0;0;464992
Rangana Herath;10;0;54;1;5.40;29;2;2;1;0;464992
Nuwan Kulasekara;6;2;16;3;2.67;26;2;0;0;0;433560
Thisara Perera;7;0;24;3;3.43;30;3;0;0;0;433560
Ajantha Mendis;7.5;3;18;1;2.30;37;2;0;1;0;433560
Muttiah Muralitharan;9;0;38;2;4.22;37;2;2;3;1;433560
Tillakaratne Dilshan;5;0;14;0;2.80;17;0;0;0;0;433560
Thilan Samaraweera;2;0;4;1;2.00;8;0;0;0;0;433560
Nuwan Kulasekara;10;1;64;0;6.40;33;9;1;1;0;433567
Thisara Perera;9;0;62;2;6.89;28;9;0;2;0;433567
Angelo Mathews;10;0;56;1;5.60;25;5;0;0;0;433567
Muttiah Muralitharan;10;0;35;1;3.50;28;0;0;2;0;433567
Rangana Herath;10;0;46;2;4.60;26;1;0;0;0;433567
