Name;Overs;Maidens;Runs;Wickets;Econ;Dots;4s;6s;Wd;Nb;Match_Id
Farveez Maharoof;10;0;40;3;4.00;31;1;1;0;0;518970
Rangana Herath;10;0;36;3;3.60;33;3;0;0;0;518970
Nuwan Kulasekara;10;0;67;0;6.70;26;7;1;1;0;535795
Suranga Lakmal;10;1;67;1;6.70;25;8;0;2;0;535795
Tillakaratne Dilshan;10;0;54;0;5.40;18;3;0;0;0;535795
Seekkuge Prasanna;9;0;45;0;5.00;20;2;0;1;0;535795
Farveez Maharoof;10;0;57;2;5.70;23;3;1;2;0;535795
Chamara Kapugedera;1;0;7;0;7.00;2;1;0;0;0;535795
Lasith Malinga;8;1;44;0;5.50;26;6;0;0;0;535796
Nuwan Kulasekara;7;2;22;0;3.14;31;3;0;0;0;535796
Suranga Lakmal;8;1;37;2;4.63;31;5;0;0;2;535796
Seekkuge Prasanna;7.5;1;49;1;6.26;26;5;2;0;0;535796
Farveez Maharoof;7;0;23;1;3.29;28;0;1;2;0;535796
Tillakaratne Dilshan;2;0;13;0;6.50;5;2;0;0;0;535796
Lasith Malinga;8;0;29;0;3.63;28;2;0;3;0;535799
Nuwan Kulasekara;6;0;30;2;5.00;23;5;0;1;0;535799
Suranga Lakmal;7.1;0;44;1;6.14;24;6;0;3;0;535799
Sachithra Senanayake;8;0;38;2;4.75;28;4;0;0;0;535799
Farveez Maharoof;6;0;46;0;7.67;12;5;0;0;0;535799
Tillakaratne Dilshan;2;0;12;0;6.00;4;1;0;0;0;535799
Lasith Malinga;7;2;24;1;3.43;33;4;0;0;1;562439
Nuwan Kulasekara;9;3;29;1;3.22;44;4;0;3;0;562439
Angelo Mathews;6;1;18;0;3.00;31;3;0;1;0;562439
Thisara Perera;6.1;0;31;0;5.03;24;4;0;2;0;562439
Rangana Herath;6;0;18;1;3.00;26;1;1;0;0;562439
Nuwan Kulasekara;8.2;1;33;2;3.96;33;4;0;0;0;562440
Lasith Malinga;8;1;40;2;5.00;26;5;0;0;0;562440
Angelo Mathews;10;0;48;0;4.80;33;4;1;0;0;562440
Thisara Perera;10;0;44;6;4.40;34;5;0;0;0;562440
Rangana Herath;10;1;37;0;3.70;29;1;0;0;0;562440
Lasith Malinga;3;0;9;1;3.00;13;1;0;0;0;562441
Nuwan Kulasekara;3;1;3;1;1.00;16;0;0;0;0;562441
Angelo Mathews;0.2;0;0;0;0.00;2;0;0;0;0;562441
Lasith Malinga;7;0;30;2;4.29;26;3;0;2;0;562442
Nuwan Kulasekara;9;0;36;1;4.00;38;4;0;5;0;562442
Angelo Mathews;9;0;33;1;3.67;29;1;0;2;0;562442
Sajeewa Weerakoon;10;0;49;1;4.90;19;0;0;1;0;562442
Thisara Perera;10;1;42;4;4.20;34;3;1;1;0;562442
Lasith Malinga;10;1;52;1;5.20;35;8;0;1;0;562443
Nuwan Kulasekara;10;1;53;2;5.30;33;7;0;0;0;562443
Angelo Mathews;10;0;41;0;4.10;35;5;0;0;0;562443
Tillakaratne Dilshan;3;0;12;0;4.00;6;0;0;0;0;562443
Thisara Perera;8;0;54;1;6.75;19;4;2;1;0;562443
Jeevan Mendis;9;0;30;2;3.33;26;0;0;1;0;562443
Nuwan Kulasekara;5;0;20;1;4.00;22;3;0;1;0;564781
Lasith Malinga;10;0;83;0;8.30;18;8;2;0;2;564781
Angelo Mathews;10;0;58;1;5.80;24;4;0;1;0;564781
Thisara Perera;10;0;70;3;7.00;21;8;0;0;0;564781
Tillakaratne Dilshan;5;0;28;0;5.60;5;0;0;0;0;564781
Rangana Herath;10;0;52;0;5.20;22;3;0;1;0;564781
Lasith Malinga;7.3;0;36;2;4.80;25;3;0;0;0;564782
Isuru Udana;6;0;42;0;7.00;15;3;0;5;0;564782
Thisara Perera;8;3;19;3;2.38;39;3;0;0;0;564782
Angelo Mathews;7;2;14;3;2.00;32;1;0;0;0;564782
Rangana Herath;5;0;21;1;4.20;13;1;0;0;0;564782
Lasith Malinga;10;0;60;2;6.00;27;6;1;0;0;564783
Thisara Perera;9;0;57;1;6.33;22;5;0;0;0;564783
Isuru Udana;6;0;42;0;7.00;15;4;0;4;0;564783
Angelo Mathews;8.4;0;49;0;5.65;23;5;0;0;0;564783
Rangana Herath;9;0;36;1;4.00;22;0;0;0;0;564783
Tillakaratne Dilshan;3;0;14;0;4.67;8;1;0;0;0;564783
Jeevan Mendis;4;0;19;0;4.75;8;1;0;0;0;564783
Lasith Malinga;8;1;41;1;5.13;25;3;0;2;0;564784
Thisara Perera;6;0;51;0;8.50;18;8;1;1;0;564784
Angelo Mathews;6;1;18;1;3.00;25;1;0;0;0;564784
Nuwan Pradeep;8;0;52;1;6.50;26;4;1;1;2;564784
Rangana Herath;7;0;44;0;6.29;17;5;0;0;0;564784
Jeevan Mendis;6;0;37;1;6.17;14;2;0;0;0;564784
Tillakaratne Dilshan;1.2;0;10;0;7.50;2;1;0;0;0;564784
Lasith Malinga;10;0;64;3;6.40;24;8;0;1;0;564785
Thisara Perera;10;0;53;1;5.30;32;4;1;3;0;564785
Angelo Mathews;5;0;29;0;5.80;17;4;0;0;0;564785
Nuwan Pradeep;10;0;63;2;6.30;26;8;0;0;0;564785
Sachithra Senanayake;10;0;50;1;5.00;25;2;0;1;0;564785
Jeevan Mendis;5;0;25;0;5.00;10;1;0;0;0;564785
Lasith Malinga;10;0;39;2;3.90;36;2;0;1;0;582188
Nuwan Kulasekara;10;1;50;1;5.00;38;5;1;2;0;582188
Angelo Mathews;7;0;38;1;5.43;16;2;0;1;0;582188
Thisara Perera;7;0;52;1;7.43;18;5;2;0;0;582188
Rangana Herath;10;0;28;1;2.80;39;1;0;1;0;582188
Jeevan Mendis;6;0;34;0;5.67;13;3;0;1;0;582188
Lasith Malinga;7;0;40;1;5.71;23;3;1;0;0;582189
Nuwan Kulasekara;7;1;45;1;6.43;21;4;1;1;0;582189
Angelo Mathews;5;0;15;1;3.00;20;1;0;1;0;582189
Thisara Perera;4;0;22;0;5.50;14;2;1;1;0;582189
Jeevan Mendis;5;0;34;2;6.80;12;3;0;3;0;582189
Tillakaratne Dilshan;2;0;9;0;4.50;3;0;0;0;0;582189
Rangana Herath;3;0;20;0;6.67;4;2;0;0;0;582189
Lasith Malinga;6;1;38;0;6.33;18;4;1;0;0;582190
Nuwan Kulasekara;5;1;17;2;3.40;21;1;0;3;0;582190
Angelo Mathews;6;0;19;0;3.17;25;2;0;0;0;582190
Thisara Perera;5;0;16;1;3.20;17;1;0;0;0;582190
Rangana Herath;6;0;23;1;3.83;19;0;1;1;0;582190
Jeevan Mendis;4;0;15;3;3.75;14;1;0;1;0;582190
Nuwan Kulasekara;10;0;53;1;5.30;28;4;0;0;0;573014
Lasith Malinga;10;1;61;1;6.10;27;7;0;2;0;573014
Angelo Mathews;8;0;46;1;5.75;22;6;0;0;0;573014
Ajantha Mendis;10;0;62;1;6.20;28;4;1;3;0;573014
Tillakaratne Dilshan;4;0;17;0;4.25;8;0;0;0;0;573014
Thisara Perera;4;0;28;0;7.00;11;5;0;0;0;573014
Jeevan Mendis;4;0;33;0;8.25;8;3;1;0;0;573014
Nuwan Kulasekara;9;0;24;1;2.67;39;1;0;1;0;573015
Angelo Mathews;10;1;24;2;2.40;46;2;0;1;0;573015
Thisara Perera;9;0;40;2;4.44;38;3;2;1;0;573015
Lasith Malinga;9;0;32;3;3.56;37;4;0;0;0;573015
Ajantha Mendis;7.5;0;41;1;5.23;27;4;0;1;0;573015
Jeevan Mendis;2;0;7;0;3.50;5;0;0;0;0;573015
Angelo Mathews;4;0;10;1;2.50;19;1;0;0;0;573016
Nuwan Kulasekara;10;2;22;5;2.20;50;1;0;3;0;573016
Lasith Malinga;7;2;14;3;2.00;34;1;0;0;0;573016
Thisara Perera;3;0;14;0;4.67;10;2;0;0;0;573016
Shaminda Eranga;2.4;0;12;1;4.50;11;2;0;0;0;573016
Angelo Mathews;10;1;50;0;5.00;35;5;0;0;0;573017
Nuwan Kulasekara;10;2;30;3;3.00;45;2;0;1;0;573017
Lasith Malinga;10;2;33;2;3.30;44;4;0;1;0;573017
Thisara Perera;10;0;64;2;6.40;25;7;0;0;0;573017
Rangana Herath;10;0;37;2;3.70;35;2;0;0;0;573017
Tillakaratne Dilshan;7;3;22;1;3.14;30;3;0;0;0;573018
Nuwan Kulasekara;10;1;57;1;5.70;26;3;1;0;0;573018
Angelo Mathews;7;0;44;0;6.29;17;5;0;0;0;573018
Lasith Malinga;10;1;49;1;4.90;29;4;0;1;0;573018
Rangana Herath;10;2;34;0;3.40;35;2;0;0;0;573018
Thisara Perera;6;0;39;1;6.50;18;4;0;1;0;573018
Lasith Malinga;10;0;51;2;5.10;28;3;1;1;1;602474
Nuwan Kulasekara;9;0;67;1;7.44;23;7;1;2;0;602474
Thisara Perera;8;0;45;1;5.63;26;7;0;1;0;602474
Angelo Mathews;9;1;36;2;4.00;32;4;0;0;0;602474
Sachithra Senanayake;10;0;46;1;4.60;36;0;2;2;0;602474
Tillakaratne Dilshan;4;0;12;0;3.00;13;0;0;0;0;602474
Nuwan Kulasekara;4;1;29;0;7.25;14;4;0;1;0;602476
Lasith Malinga;6;0;29;2;4.83;23;4;0;2;0;602476
Angelo Mathews;5;0;39;2;7.80;11;6;0;0;0;602476
Sachithra Senanayake;6;0;26;2;4.33;19;2;0;1;0;602476
Thisara Perera;5;0;44;0;8.80;10;7;0;1;0;602476
Lasith Malinga;10;2;34;4;3.40;44;4;0;2;0;578617
Shaminda Eranga;8;0;45;2;5.63;27;6;0;1;0;578617
Rangana Herath;10;0;36;1;3.60;36;2;0;0;0;578617
Tillakaratne Dilshan;6.3;1;12;1;1.85;30;0;0;1;0;578617
Thisara Perera;2;0;4;0;2.00;9;0;0;0;0;578617
Nuwan Kulasekara;10;0;42;1;4.20;35;4;0;0;0;578621
Lasith Malinga;10;2;58;2;5.80;30;7;0;1;0;578621
Shaminda Eranga;10;0;80;2;8.00;20;5;3;2;0;578621
Angelo Mathews;6;0;28;0;4.67;18;2;0;0;0;578621
Rangana Herath;10;0;46;2;4.60;18;0;0;0;0;578621
Tillakaratne Dilshan;4;0;29;0;7.25;5;2;0;0;0;578621
Shaminda Eranga;8;1;40;1;5.00;31;7;0;1;0;578625
Nuwan Kulasekara;9;0;42;3;4.67;33;4;1;3;0;578625
Lasith Malinga;9;0;60;1;6.67;22;4;0;5;1;578625
Rangana Herath;10;0;48;2;4.80;31;2;1;3;0;578625
Angelo Mathews;3;0;21;1;7.00;9;4;0;0;0;578625
Tillakaratne Dilshan;3.3;0;11;1;3.14;12;0;0;0;0;578625
Nuwan Kulasekara;10;0;45;0;4.50;39;6;0;3;0;566947
Lasith Malinga;8;0;54;0;6.75;22;5;1;1;0;566947
Thisara Perera;6;0;25;0;4.17;22;3;0;0;0;566947
Angelo Mathews;4;0;10;1;2.50;17;0;0;0;0;566947
Rangana Herath;4;0;14;0;3.50;14;0;0;1;0;566947
Jeevan Mendis;3;0;28;1;9.33;5;1;1;0;0;566947
Lasith Malinga;7;0;34;0;4.86;27;4;1;1;0;597923
Nuwan Kulasekara;8;1;39;1;4.88;34;5;2;0;0;597923
Ajantha Mendis;10;0;53;1;5.30;37;2;3;3;0;597923
Angelo Mathews;5;0;28;0;5.60;14;2;1;0;0;597923
Rangana Herath;6;0;37;1;6.17;21;4;2;0;0;597923
Jeevan Mendis;1.5;1;7;0;3.82;9;0;1;0;0;597923
Nuwan Kulasekara;9;0;37;1;4.11;34;5;0;1;0;597925
Angelo Mathews;8;2;23;1;2.88;31;1;0;0;0;597925
Sachithra Senanayake;10;0;46;2;4.60;32;4;0;2;0;597925
Rangana Herath;10;0;37;3;3.70;32;1;1;0;0;597925
Lasith Malinga;7.5;0;40;2;5.11;26;4;0;1;0;597925
Nuwan Kulasekara;1.5;0;8;0;4.36;6;1;0;0;0;597927
Shaminda Eranga;8;0;46;3;5.75;30;7;1;1;0;597927
Lahiru Thirimanne;4.1;0;16;0;3.84;12;1;0;0;0;597927
Angelo Mathews;8;1;29;4;3.63;34;1;1;2;0;597927
Sachithra Senanayake;9;0;41;0;4.56;29;1;2;0;0;597927
Lasith Malinga;8;2;42;2;5.25;27;5;0;2;0;597927
Jeevan Mendis;2;0;8;0;4.00;9;0;1;0;0;597927
Shaminda Eranga;6;0;27;0;4.50;21;3;0;1;0;597928
Dilhara Lokuhettige;8;0;40;0;5.00;25;4;0;1;2;597928
Angelo Mathews;5;1;5;1;1.00;25;0;0;0;0;597928
Lasith Malinga;3;1;7;0;2.33;14;1;0;0;0;597928
Rangana Herath;6;0;32;2;5.33;17;0;2;0;0;597928
Jeevan Mendis;1;0;4;0;4.00;3;0;0;1;0;597928
Shaminda Eranga;9.4;2;50;2;5.17;37;4;2;1;0;597929
Suranga Lakmal;10;1;33;1;3.30;41;1;1;3;0;597929
Angelo Mathews;10;1;38;1;3.80;38;3;0;0;0;597929
Lasith Malinga;10;1;58;1;5.80;34;7;1;3;0;597929
Rangana Herath;10;2;20;4;2.00;45;1;0;0;0;597929
Lasith Malinga;4;1;21;1;5.25;16;4;0;0;0;635653
Shaminda Eranga;5;0;27;1;5.40;18;5;0;0;0;635653
Thisara Perera;7;0;31;3;4.43;26;4;0;1;0;635653
Rangana Herath;8.5;1;25;3;2.83;36;0;1;1;0;635653
Tillakaratne Dilshan;5;0;11;2;2.20;21;0;0;0;0;635653
Jehan Mubarak;2;0;14;0;7.00;2;1;0;0;0;635653
Lasith Malinga;3;0;17;1;5.67;10;1;0;1;0;635654
Shaminda Eranga;4;0;21;0;5.25;18;4;0;2;0;635654
Thisara Perera;4;0;23;1;5.75;14;3;0;0;0;635654
Rangana Herath;4;0;16;2;4.00;12;1;0;1;0;635654
Tillakaratne Dilshan;5;0;20;1;4.00;14;1;0;0;0;635654
Jehan Mubarak;1;0;5;0;5.00;3;0;0;0;0;635654
Lasith Malinga;10;0;57;1;5.70;33;5;2;1;0;635655
Angelo Mathews;5;1;17;0;3.40;24;3;0;0;0;635655
Tillakaratne Dilshan;10;0;39;0;3.90;28;1;0;1;0;635655
Thisara Perera;8;0;51;2;6.38;23;3;3;0;0;635655
Ajantha Mendis;10;0;35;3;3.50;29;1;0;0;0;635655
Rangana Herath;7;1;21;0;3.00;27;2;0;0;0;635655
Lasith Malinga;9;0;52;3;5.78;29;7;0;0;0;635656
Angelo Mathews;7;1;31;0;4.43;29;6;0;0;0;635656
Ajantha Mendis;9.4;0;51;4;5.28;29;1;3;0;0;635656
Thisara Perera;3;0;22;0;7.33;7;3;0;0;0;635656
Rangana Herath;10;0;38;1;3.80;30;0;0;0;0;635656
Tillakaratne Dilshan;10;0;40;2;4.00;28;2;0;0;0;635656
Suranga Lakmal;5.5;0;22;3;3.77;28;4;0;1;0;635657
Angelo Mathews;4;0;32;0;8.00;10;5;0;0;0;635657
Sachithra Senanayake;10;2;29;2;2.90;43;3;0;0;0;635657
Tillakaratne Dilshan;10;0;41;1;4.10;36;4;0;3;0;635657
Thisara Perera;5;1;17;1;3.40;20;0;1;1;0;635657
Ajantha Mendis;9;2;36;3;4.00;38;4;0;2;0;635657
Lasith Malinga;2.2;0;8;1;3.43;11;0;0;1;0;668961
Nuwan Kulasekara;2;1;3;0;1.50;12;0;0;1;0;668961
Lasith Malinga;5;0;42;0;8.40;12;5;1;3;0;668963
Nuwan Kulasekara;5;0;34;4;6.80;17;7;0;0;0;668963
Angelo Mathews;5;0;35;0;7.00;8;3;0;0;0;668963
Sachithra Senanayake;4;0;31;2;7.75;12;4;1;0;0;668963
Tillakaratne Dilshan;1;0;13;0;13.00;2;3;0;0;0;668963
Rangana Herath;3;0;43;0;14.33;3;2;4;0;0;668963
Sachithra Senanayake;5;1;14;2;2.80;25;3;0;0;0;668965
Nuwan Kulasekara;4;1;20;1;5.00;18;3;0;3;0;668965
Angelo Mathews;1;0;4;0;4.00;3;0;0;0;0;668965
Rangana Herath;6;0;25;3;4.17;20;3;0;0;0;668965
Tillakaratne Dilshan;6;0;31;0;5.17;15;1;1;0;0;668965
Lasith Malinga;3;0;31;0;10.33;3;3;0;1;0;668965
Suranga Lakmal;10;0;73;2;7.30;27;5;4;1;0;657637
Lasith Malinga;10;1;59;0;5.90;23;4;1;0;0;657637
Sachithra Senanayake;9;1;46;0;5.11;30;2;3;0;0;657637
Thisara Perera;6;0;53;1;8.83;12;4;3;0;0;657637
Angelo Mathews;5;0;29;0;5.80;11;2;0;0;0;657637
Seekkuge Prasanna;8;0;39;1;4.88;29;1;2;2;0;657637
Tillakaratne Dilshan;2;0;19;0;9.50;3;1;1;0;0;657637
Nuwan Kulasekara;10;0;56;1;5.60;30;2;1;4;0;657639
Lasith Malinga;10;0;78;1;7.80;17;4;2;1;1;657639
Thisara Perera;2.4;0;19;0;7.13;9;3;0;0;0;657639
Angelo Mathews;3.4;0;17;0;4.64;10;0;0;1;0;657639
Seekkuge Prasanna;10;0;45;1;4.50;32;1;1;1;0;657639
Sachithra Senanayake;10;0;42;0;4.20;27;2;0;0;0;657639
Dimuth Karunaratne;1.4;0;11;0;6.60;3;1;0;0;0;657639
Tillakaratne Dilshan;2;0;13;0;6.50;6;2;0;0;0;657639
Nuwan Kulasekara;10;1;67;1;6.70;33;5;4;0;0;657641
Lasith Malinga;10;0;58;1;5.80;30;6;1;1;0;657641
Sachithra Senanayake;10;0;58;0;5.80;25;2;2;3;0;657641
Thisara Perera;8;0;58;2;7.25;21;3;3;1;0;657641
Seekkuge Prasanna;8;0;46;0;5.75;21;3;1;0;0;657641
Angelo Mathews;4;0;29;0;7.25;6;3;0;1;0;657641
Nuwan Kulasekara;4;0;28;0;7.00;14;5;0;0;0;657643
Lasith Malinga;7;0;40;0;5.71;23;4;1;0;0;657643
Suranga Lakmal;9;0;49;1;5.44;25;5;0;0;0;657643
Angelo Mathews;6;0;15;1;2.50;27;2;0;0;0;657643
Sachithra Senanayake;10;0;49;0;4.90;30;3;1;0;0;657643
Kithuruwan Vithanage;1;0;10;0;10.00;2;2;0;0;0;657643
Tillakaratne Dilshan;3.1;0;25;0;7.89;5;2;1;0;0;657643
Ashan Priyanjan;1;0;5;0;5.00;6;0;0;1;0;657643
Angelo Mathews;10;1;26;1;2.60;46;3;0;1;0;657645
Suranga Lakmal;7.3;0;42;3;5.60;26;6;1;0;0;657645
Sachithra Senanayake;10;1;44;0;4.40;28;2;0;3;0;657645
Lasith Malinga;10;0;57;4;5.70;30;2;2;2;0;657645
Ajantha Mendis;10;1;42;1;4.20;31;1;0;3;0;657645
Tillakaratne Dilshan;2;0;11;0;5.50;6;1;0;1;0;657645
Lasith Malinga;8;1;37;1;4.63;34;4;1;2;1;690355
Nuwan Kulasekara;6;0;38;0;6.33;16;4;1;0;0;690355
Angelo Mathews;7.2;1;21;3;2.86;30;2;0;0;0;690355
Sachithra Senanayake;9;0;33;2;3.67;35;3;0;0;0;690355
Thisara Perera;9;1;35;1;3.89;38;2;2;0;0;690355
Lasith Malinga;8;2;45;2;5.63;30;6;1;2;1;690357
Angelo Mathews;8;1;44;0;5.50;26;5;1;0;0;690357
Sachithra Senanayake;8;0;33;2;4.13;27;1;1;1;0;690357
Thisara Perera;6;0;40;2;6.67;18;4;1;3;0;690357
Ajantha Mendis;8;0;43;2;5.38;24;2;2;0;0;690357
Ashan Priyanjan;5;0;17;1;3.40;13;0;0;0;0;690357
Suranga Lakmal;10;3;24;2;2.40;44;2;0;1;0;690359
Thisara Perera;9;0;39;1;4.33;32;5;0;2;0;690359
Dhammika Prasad;10;0;49;3;4.90;35;6;0;2;0;690359
Sachithra Senanayake;9;0;46;1;5.11;23;1;2;1;0;690359
Ashan Priyanjan;6;0;42;0;7.00;7;3;0;1;0;690359
Angelo Perera;3;0;17;0;5.67;7;2;0;0;0;690359
Angelo Mathews;3;0;21;0;7.00;6;1;1;0;0;690359
Lasith Malinga;9.5;0;52;5;5.29;32;7;0;1;0;710291
Suranga Lakmal;9;1;65;2;7.22;30;9;2;0;0;710291
Sachithra Senanayake;9;0;47;1;5.22;25;2;2;0;0;710291
Chaturanga de Silva;10;1;56;1;5.60;32;5;0;2;0;710291
Thisara Perera;6;0;36;0;6.00;14;2;1;0;0;710291
Angelo Mathews;5;1;25;1;5.00;17;1;1;1;0;710291
Lasith Malinga;10;0;58;1;5.80;22;5;0;1;0;710297
Angelo Mathews;3.2;1;9;0;2.70;15;1;0;0;0;710297
Sachithra Senanayake;10;0;41;3;4.10;32;4;0;0;0;710297
Thisara Perera;6.4;0;40;0;6.00;14;3;1;0;0;710297
Ajantha Mendis;10;0;60;4;6.00;26;3;2;4;0;710297
Chaturanga de Silva;10;0;51;1;5.10;24;1;2;1;0;710297
Lasith Malinga;5;0;23;0;4.60;21;2;0;4;0;710303
Suranga Lakmal;7;2;30;2;4.29;31;4;1;0;0;710303
Thisara Perera;10;2;29;3;2.90;45;4;0;0;0;710303
Chaturanga de Silva;9.4;1;29;2;3.00;39;1;1;0;0;710303
Ajantha Mendis;7;2;11;3;1.57;33;0;0;1;0;710303
Suranga Lakmal;10;0;32;2;3.20;36;2;0;1;0;710309
Thisara Perera;8;0;29;2;3.63;31;3;0;1;0;710309
Sachithra Senanayake;10;1;37;0;3.70;36;3;0;1;0;710309
Chaturanga de Silva;10;0;33;1;3.30;36;1;1;0;0;710309
Ajantha Mendis;9;0;55;2;6.11;20;4;0;2;0;710309
Ashan Priyanjan;3;0;11;2;3.67;11;1;0;0;0;710309
Lasith Malinga;10;0;56;5;5.60;25;6;0;0;0;710311
Suranga Lakmal;10;2;41;0;4.10;37;3;1;1;0;710311
Sachithra Senanayake;9;0;54;0;6.00;24;5;1;0;0;710311
Thisara Perera;10;1;66;0;6.60;24;4;3;2;0;710311
Angelo Mathews;7;1;23;0;3.29;26;1;0;1;0;710311
Chaturanga de Silva;4;0;19;0;4.75;11;2;0;0;0;710311
Suranga Lakmal;8;1;29;3;3.63;33;4;0;1;0;706767
Nuwan Kulasekara;8;3;30;2;3.75;37;5;0;0;0;706767
Angelo Mathews;2;0;6;0;3.00;9;1;0;0;0;706767
Sachithra Senanayake;7.5;1;27;1;3.45;32;3;0;0;0;706767
Ajantha Mendis;10;1;27;3;2.70;41;0;0;2;0;706767
Ashan Priyanjan;3;0;11;0;3.67;11;1;0;1;0;706767
Kithuruwan Vithanage;1;0;7;0;7.00;2;1;0;0;0;706767
Lasith Malinga;8;0;71;0;8.88;18;5;3;4;0;667889
Nuwan Kulasekara;8;1;60;2;7.50;24;9;1;0;0;667889
Suranga Lakmal;6;0;34;0;5.67;16;2;1;0;0;667889
Thisara Perera;3;0;25;0;8.33;6;1;1;0;0;667889
Angelo Mathews;6;0;25;1;4.17;18;1;0;1;0;667889
Sachithra Senanayake;8;0;30;3;3.75;22;0;0;0;0;667889
Nuwan Kulasekara;6;3;15;3;2.50;29;1;0;0;0;667891
Lasith Malinga;4;1;17;1;4.25;17;1;0;0;1;667891
Dhammika Prasad;6;0;36;1;6.00;26;4;2;4;0;667891
Sachithra Senanayake;7.1;1;13;4;1.81;36;1;0;0;0;667891
Angelo Mathews;2;0;9;1;4.50;7;1;0;1;0;667891
Tillakaratne Dilshan;1;0;6;0;6.00;3;1;0;0;0;667891
Nuwan Kulasekara;3;0;14;0;4.67;13;1;0;2;0;667893
Lasith Malinga;3;0;13;0;4.33;11;1;0;0;0;667893
Rangana Herath;3.1;0;29;0;9.16;6;3;1;0;0;667893
Sachithra Senanayake;1;0;8;0;8.00;3;0;0;0;0;667893
Ashan Priyanjan;2;0;9;0;4.50;7;1;0;0;0;667893
Nuwan Kulasekara;10;0;81;0;8.10;23;7;3;0;0;667895
Lasith Malinga;10;2;52;3;5.20;33;3;1;1;1;667895
Angelo Mathews;7;1;30;1;4.29;23;2;0;1;0;667895
Sachithra Senanayake;10;0;49;1;4.90;23;1;0;0;0;667895
Ajantha Mendis;10;0;60;2;6.00;23;3;0;1;0;667895
Ashan Priyanjan;3;0;15;0;5.00;5;0;0;0;0;667895
Nuwan Kulasekara;5;0;22;0;4.40;20;2;0;0;0;667897
Lasith Malinga;9.1;0;50;3;5.45;24;4;0;3;0;667897
Sachithra Senanayake;10;0;36;1;3.60;36;2;0;0;0;667897
Ajantha Mendis;9;0;50;2;5.56;22;2;0;2;1;667897
Tillakaratne Dilshan;5;0;17;0;3.40;15;0;0;0;0;667897
Ashan Priyanjan;4;0;18;1;4.50;14;0;1;1;0;667897
Angelo Mathews;6;0;23;1;3.83;23;1;0;3;0;667897
Lasith Malinga;7;0;52;0;7.43;13;4;1;1;0;730083
Nuwan Kulasekara;6;0;26;0;4.33;26;2;1;0;1;730083
Sachithra Senanayake;10;0;49;1;4.90;24;2;1;1;0;730083
Angelo Mathews;6;1;30;1;5.00;16;1;1;1;0;730083
Ajantha Mendis;10;0;61;3;6.10;27;5;0;4;0;730083
Ashan Priyanjan;7;0;47;0;6.71;13;3;1;0;0;730083
Tillakaratne Dilshan;4;0;31;0;7.75;5;3;0;0;0;730083
Lasith Malinga;6;1;24;4;4.00;25;3;0;2;0;730085
Nuwan Kulasekara;5;0;39;0;7.80;16;8;0;0;0;730085
Sachithra Senanayake;7;1;36;1;5.14;26;5;0;4;0;730085
Angelo Mathews;3;1;11;0;3.67;11;1;0;0;0;730085
Ajantha Mendis;6.1;2;18;2;2.92;24;1;0;0;0;730085
Tillakaratne Dilshan;10;0;40;3;4.00;30;1;0;1;0;730085
Ashan Priyanjan;1;0;8;0;8.00;3;1;0;1;0;730085
Lasith Malinga;10;0;85;0;8.50;24;12;2;0;0;730087
Sachithra Senanayake;10;0;66;1;6.60;32;5;3;2;0;730087
Angelo Mathews;6;0;43;0;7.17;14;4;0;2;0;730087
Ajantha Mendis;7;0;48;2;6.86;16;2;2;1;0;730087
Rangana Herath;10;0;48;2;4.80;28;2;1;0;0;730087
Tillakaratne Dilshan;7;0;42;0;6.00;12;4;0;0;0;730087
Lasith Malinga;9;0;60;1;6.67;22;7;0;2;0;745159
Nuwan Kulasekara;8.5;0;56;0;6.34;26;7;0;0;0;745159
Angelo Mathews;9;0;48;2;5.33;25;3;0;1;0;745159
Thisara Perera;7;0;43;2;6.14;16;5;0;0;0;745159
Rangana Herath;9;0;49;1;5.44;27;5;0;0;0;745159
Tillakaratne Dilshan;2;0;17;0;8.50;2;2;0;0;0;745159
Nuwan Kulasekara;4;1;23;0;5.75;16;4;0;0;0;745161
Lasith Malinga;6.5;0;56;2;8.20;18;10;0;1;0;745161
Rangana Herath;10;2;38;2;3.80;36;3;1;0;0;745161
Angelo Mathews;2;0;15;0;7.50;6;2;0;1;0;745161
Seekkuge Prasanna;10;0;36;2;3.60;35;2;0;0;0;745161
Thisara Perera;3;0;19;3;6.33;9;3;0;0;0;745161
Tillakaratne Dilshan;5;0;25;1;5.00;11;1;0;0;0;745161
Ashan Priyanjan;3;0;17;0;5.67;8;2;0;0;0;745161
Dhammika Prasad;6;0;25;2;4.17;26;3;0;3;1;745163
Lasith Malinga;7;2;17;1;2.43;33;2;0;1;0;745163
Angelo Mathews;5;0;11;0;2.20;20;0;0;0;0;745163
Rangana Herath;2.1;0;6;1;2.77;7;0;0;0;0;745163
Thisara Perera;8;1;34;4;4.25;30;3;1;2;0;745163
Seekkuge Prasanna;4;1;8;1;2.00;20;1;0;0;0;745163
Dhammika Prasad;9;0;60;0;6.67;28;7;2;1;0;792289
Lahiru Gamage;9;1;59;1;6.56;30;9;0;1;2;792289
Angelo Mathews;4;0;33;0;8.25;11;3;2;1;0;792289
Thisara Perera;7;0;51;0;7.29;18;6;1;1;0;792289
Suraj Randiv;10;0;78;3;7.80;20;4;4;1;0;792289
Seekkuge Prasanna;6;0;47;0;7.83;10;4;1;0;0;792289
Tillakaratne Dilshan;3;0;19;0;6.33;6;2;0;0;0;792289
